PWS ID,PWS Name,Contaminant,Result (µg/L),Collection Date,Facility Name,Sample Point Name,PWS Size,Facility Water Type,State,Result > Health-Based Ref Conc
AR0000004,FORREST CITY WATERWORKS,4:2 FTS,< MRL,2/8/2023,Plant #3,Tap @ Well #10,L,GW,AR,N/A
AR0000004,FORREST CITY WATERWORKS,6:2 FTS,< MRL,2/8/2023,Plant #3,Tap @ Well #10,L,GW,AR,N/A
AR0000004,FORREST CITY WATERWORKS,8:2 FTS,< MRL,2/8/2023,Plant #3,Tap @ Well #10,L,GW,AR,N/A
AR0000004,FORREST CITY WATERWORKS,9Cl-PF3ONS,< MRL,2/8/2023,Plant #3,Tap @ Well #10,L,GW,AR,N/A
AR0000004,FORREST CITY WATERWORKS,11Cl-PF3OUdS,< MRL,2/8/2023,Plant #3,Tap @ Well #10,L,GW,AR,N/A
AR0000004,FORREST CITY WATERWORKS,ADONA,< MRL,2/8/2023,Plant #3,Tap @ Well #10,L,GW,AR,N/A
AR0000004,FORREST CITY WATERWORKS,HFPO-DA,< MRL,2/8/2023,Plant #3,Tap @ Well #10,L,GW,AR,N/A
AR0000004,FORREST CITY WATERWORKS,lithium,9.15,2/8/2023,Plant #3,Tap @ Well #10,L,GW,AR,N
AR0000004,FORREST CITY WATERWORKS,NEtFOSAA,< MRL,2/8/2023,Plant #3,Tap @ Well #10,L,GW,AR,N/A
AR0000004,FORREST CITY WATERWORKS,NFDHA,< MRL,2/8/2023,Plant #3,Tap @ Well #10,L,GW,AR,N/A
AR0000004,FORREST CITY WATERWORKS,NMeFOSAA,< MRL,2/8/2023,Plant #3,Tap @ Well #10,L,GW,AR,N/A
AR0000004,FORREST CITY WATERWORKS,PFBA,< MRL,2/8/2023,Plant #3,Tap @ Well #10,L,GW,AR,N/A
AR0000004,FORREST CITY WATERWORKS,PFBS,< MRL,2/8/2023,Plant #3,Tap @ Well #10,L,GW,AR,N/A
AR0000004,FORREST CITY WATERWORKS,PFDA,< MRL,2/8/2023,Plant #3,Tap @ Well #10,L,GW,AR,N/A
AR0000004,FORREST CITY WATERWORKS,PFDoA,< MRL,2/8/2023,Plant #3,Tap @ Well #10,L,GW,AR,N/A
AR0000004,FORREST CITY WATERWORKS,PFEESA,< MRL,2/8/2023,Plant #3,Tap @ Well #10,L,GW,AR,N/A
AR0000004,FORREST CITY WATERWORKS,PFHpA,< MRL,2/8/2023,Plant #3,Tap @ Well #10,L,GW,AR,N/A
AR0000004,FORREST CITY WATERWORKS,PFHpS,< MRL,2/8/2023,Plant #3,Tap @ Well #10,L,GW,AR,N/A
AR0000004,FORREST CITY WATERWORKS,PFHxA,< MRL,2/8/2023,Plant #3,Tap @ Well #10,L,GW,AR,N/A
AR0000004,FORREST CITY WATERWORKS,PFHxS,< MRL,2/8/2023,Plant #3,Tap @ Well #10,L,GW,AR,N/A
AR0000004,FORREST CITY WATERWORKS,PFMBA,< MRL,2/8/2023,Plant #3,Tap @ Well #10,L,GW,AR,N/A
AR0000004,FORREST CITY WATERWORKS,PFMPA,< MRL,2/8/2023,Plant #3,Tap @ Well #10,L,GW,AR,N/A
AR0000004,FORREST CITY WATERWORKS,PFNA,< MRL,2/8/2023,Plant #3,Tap @ Well #10,L,GW,AR,N/A
AR0000004,FORREST CITY WATERWORKS,PFOA,< MRL,2/8/2023,Plant #3,Tap @ Well #10,L,GW,AR,N/A
AR0000004,FORREST CITY WATERWORKS,PFOS,< MRL,2/8/2023,Plant #3,Tap @ Well #10,L,GW,AR,N/A
AR0000004,FORREST CITY WATERWORKS,PFPeA,< MRL,2/8/2023,Plant #3,Tap @ Well #10,L,GW,AR,N/A
AR0000004,FORREST CITY WATERWORKS,PFPeS,< MRL,2/8/2023,Plant #3,Tap @ Well #10,L,GW,AR,N/A
AR0000004,FORREST CITY WATERWORKS,PFTA,< MRL,2/8/2023,Plant #3,Tap @ Well #10,L,GW,AR,N/A
AR0000004,FORREST CITY WATERWORKS,PFTrDA,< MRL,2/8/2023,Plant #3,Tap @ Well #10,L,GW,AR,N/A
AR0000004,FORREST CITY WATERWORKS,PFUnA,< MRL,2/8/2023,Plant #3,Tap @ Well #10,L,GW,AR,N/A
AR0000004,FORREST CITY WATERWORKS,4:2 FTS,< MRL,8/9/2023,Plant #3,Tap @ Well #10,L,GW,AR,N/A
AR0000004,FORREST CITY WATERWORKS,6:2 FTS,< MRL,8/9/2023,Plant #3,Tap @ Well #10,L,GW,AR,N/A
AR0000004,FORREST CITY WATERWORKS,8:2 FTS,< MRL,8/9/2023,Plant #3,Tap @ Well #10,L,GW,AR,N/A
AR0000004,FORREST CITY WATERWORKS,9Cl-PF3ONS,< MRL,8/9/2023,Plant #3,Tap @ Well #10,L,GW,AR,N/A
