PWS ID,PWS Name,Contaminant,Result (µg/L),Collection Date,Facility Name,Sample Point Name,PWS Size,Facility Water Type,State,Result > Health-Based Ref Conc
AZ0401004,EAGAR TOWN OF,4:2 FTS,< MRL,6/19/2023,GWTP,EPTDS @ GWTP 380,S,GW,AZ,N/A
AZ0401004,EAGAR TOWN OF,4:2 FTS,< MRL,6/19/2023,Well 55-586713,WL-55-586713 - Nicoll,S,GW,AZ,N/A
AZ0401004,EAGAR TOWN OF,4:2 FTS,< MRL,6/19/2023,Well 55-232248,WL-55-232248 - Hall,S,GW,AZ,N/A
AZ0401004,EAGAR TOWN OF,4:2 FTS,< MRL,6/19/2023,Well 55-209094,WL-55-209094 - River Run 2,S,GW,AZ,N/A
AZ0401004,EAGAR TOWN OF,4:2 FTS,< MRL,6/19/2023,Well 55-213971,WL-55-213971 - Kennedy,S,GW,AZ,N/A
AZ0401004,EAGAR TOWN OF,4:2 FTS,< MRL,6/19/2023,Well 55-525542,WL-55-525542 - Ramsey Park,S,GW,AZ,N/A
AZ0401004,EAGAR TOWN OF,6:2 FTS,< MRL,6/19/2023,GWTP,EPTDS @ GWTP 380,S,GW,AZ,N/A
AZ0401004,EAGAR TOWN OF,6:2 FTS,< MRL,6/19/2023,Well 55-586713,WL-55-586713 - Nicoll,S,GW,AZ,N/A
AZ0401004,EAGAR TOWN OF,6:2 FTS,< MRL,6/19/2023,Well 55-232248,WL-55-232248 - Hall,S,GW,AZ,N/A
AZ0401004,EAGAR TOWN OF,6:2 FTS,< MRL,6/19/2023,Well 55-209094,WL-55-209094 - River Run 2,S,GW,AZ,N/A
AZ0401004,EAGAR TOWN OF,6:2 FTS,< MRL,6/19/2023,Well 55-213971,WL-55-213971 - Kennedy,S,GW,AZ,N/A
AZ0401004,EAGAR TOWN OF,6:2 FTS,< MRL,6/19/2023,Well 55-525542,WL-55-525542 - Ramsey Park,S,GW,AZ,N/A
AZ0401004,EAGAR TOWN OF,8:2 FTS,< MRL,6/19/2023,GWTP,EPTDS @ GWTP 380,S,GW,AZ,N/A
AZ0401004,EAGAR TOWN OF,8:2 FTS,< MRL,6/19/2023,Well 55-586713,WL-55-586713 - Nicoll,S,GW,AZ,N/A
AZ0401004,EAGAR TOWN OF,8:2 FTS,< MRL,6/19/2023,Well 55-232248,WL-55-232248 - Hall,S,GW,AZ,N/A
AZ0401004,EAGAR TOWN OF,8:2 FTS,< MRL,6/19/2023,Well 55-209094,WL-55-209094 - River Run 2,S,GW,AZ,N/A
AZ0401004,EAGAR TOWN OF,8:2 FTS,< MRL,6/19/2023,Well 55-213971,WL-55-213971 - Kennedy,S,GW,AZ,N/A
AZ0401004,EAGAR TOWN OF,8:2 FTS,< MRL,6/19/2023,Well 55-525542,WL-55-525542 - Ramsey Park,S,GW,AZ,N/A
AZ0401004,EAGAR TOWN OF,9Cl-PF3ONS,< MRL,6/19/2023,GWTP,EPTDS @ GWTP 380,S,GW,AZ,N/A
AZ0401004,EAGAR TOWN OF,9Cl-PF3ONS,< MRL,6/19/2023,Well 55-586713,WL-55-586713 - Nicoll,S,GW,AZ,N/A
AZ0401004,EAGAR TOWN OF,9Cl-PF3ONS,< MRL,6/19/2023,Well 55-232248,WL-55-232248 - Hall,S,GW,AZ,N/A
AZ0401004,EAGAR TOWN OF,9Cl-PF3ONS,< MRL,6/19/2023,Well 55-209094,WL-55-209094 - River Run 2,S,GW,AZ,N/A
AZ0401004,EAGAR TOWN OF,9Cl-PF3ONS,< MRL,6/19/2023,Well 55-213971,WL-55-213971 - Kennedy,S,GW,AZ,N/A
AZ0401004,EAGAR TOWN OF,9Cl-PF3ONS,< MRL,6/19/2023,Well 55-525542,WL-55-525542 - Ramsey Park,S,GW,AZ,N/A
AZ0401004,EAGAR TOWN OF,11Cl-PF3OUdS,< MRL,6/19/2023,GWTP,EPTDS @ GWTP 380,S,GW,AZ,N/A
AZ0401004,EAGAR TOWN OF,11Cl-PF3OUdS,< MRL,6/19/2023,Well 55-586713,WL-55-586713 - Nicoll,S,GW,AZ,N/A
AZ0401004,EAGAR TOWN OF,11Cl-PF3OUdS,< MRL,6/19/2023,Well 55-232248,WL-55-232248 - Hall,S,GW,AZ,N/A
AZ0401004,EAGAR TOWN OF,11Cl-PF3OUdS,< MRL,6/19/2023,Well 55-209094,WL-55-209094 - River Run 2,S,GW,AZ,N/A
AZ0401004,EAGAR TOWN OF,11Cl-PF3OUdS,< MRL,6/19/2023,Well 55-213971,WL-55-213971 - Kennedy,S,GW,AZ,N/A
AZ0401004,EAGAR TOWN OF,11Cl-PF3OUdS,< MRL,6/19/2023,Well 55-525542,WL-55-525542 - Ramsey Park,S,GW,AZ,N/A
AZ0401004,EAGAR TOWN OF,ADONA,< MRL,6/19/2023,GWTP,EPTDS @ GWTP 380,S,GW,AZ,N/A
AZ0401004,EAGAR TOWN OF,ADONA,< MRL,6/19/2023,Well 55-586713,WL-55-586713 - Nicoll,S,GW,AZ,N/A
AZ0401004,EAGAR TOWN OF,ADONA,< MRL,6/19/2023,Well 55-232248,WL-55-232248 - Hall,S,GW,AZ,N/A
AZ0401004,EAGAR TOWN OF,ADONA,< MRL,6/19/2023,Well 55-209094,WL-55-209094 - River Run 2,S,GW,AZ,N/A
AZ0401004,EAGAR TOWN OF,ADONA,< MRL,6/19/2023,Well 55-213971,WL-55-213971 - Kennedy,S,GW,AZ,N/A
AZ0401004,EAGAR TOWN OF,ADONA,< MRL,6/19/2023,Well 55-525542,WL-55-525542 - Ramsey Park,S,GW,AZ,N/A
AZ0401004,EAGAR TOWN OF,HFPO-DA,< MRL,6/19/2023,GWTP,EPTDS @ GWTP 380,S,GW,AZ,N/A
AZ0401004,EAGAR TOWN OF,HFPO-DA,< MRL,6/19/2023,Well 55-586713,WL-55-586713 - Nicoll,S,GW,AZ,N/A
AZ0401004,EAGAR TOWN OF,HFPO-DA,< MRL,6/19/2023,Well 55-232248,WL-55-232248 - Hall,S,GW,AZ,N/A
AZ0401004,EAGAR TOWN OF,HFPO-DA,< MRL,6/19/2023,Well 55-209094,WL-55-209094 - River Run 2,S,GW,AZ,N/A
AZ0401004,EAGAR TOWN OF,HFPO-DA,< MRL,6/19/2023,Well 55-213971,WL-55-213971 - Kennedy,S,GW,AZ,N/A
AZ0401004,EAGAR TOWN OF,HFPO-DA,< MRL,6/19/2023,Well 55-525542,WL-55-525542 - Ramsey Park,S,GW,AZ,N/A
AZ0401004,EAGAR TOWN OF,lithium,< MRL,6/19/2023,GWTP,EPTDS @ GWTP 380,S,GW,AZ,N
AZ0401004,EAGAR TOWN OF,lithium,60.5,6/19/2023,Well 55-586713,WL-55-586713 - Nicoll,S,GW,AZ,Y
AZ0401004,EAGAR TOWN OF,lithium,142,6/19/2023,Well 55-232248,WL-55-232248 - Hall,S,GW,AZ,Y
AZ0401004,EAGAR TOWN OF,lithium,118,6/19/2023,Well 55-209094,WL-55-209094 - River Run 2,S,GW,AZ,Y
AZ0401004,EAGAR TOWN OF,lithium,54.8,6/19/2023,Well 55-213971,WL-55-213971 - Kennedy,S,GW,AZ,Y
AZ0401004,EAGAR TOWN OF,lithium,43.3,6/19/2023,Well 55-525542,WL-55-525542 - Ramsey Park,S,GW,AZ,Y
AZ0401004,EAGAR TOWN OF,NEtFOSAA,< MRL,6/19/2023,GWTP,EPTDS @ GWTP 380,S,GW,AZ,N/A
AZ0401004,EAGAR TOWN OF,NEtFOSAA,< MRL,6/19/2023,Well 55-586713,WL-55-586713 - Nicoll,S,GW,AZ,N/A
AZ0401004,EAGAR TOWN OF,NEtFOSAA,< MRL,6/19/2023,Well 55-232248,WL-55-232248 - Hall,S,GW,AZ,N/A
AZ0401004,EAGAR TOWN OF,NEtFOSAA,< MRL,6/19/2023,Well 55-209094,WL-55-209094 - River Run 2,S,GW,AZ,N/A
AZ0401004,EAGAR TOWN OF,NEtFOSAA,< MRL,6/19/2023,Well 55-213971,WL-55-213971 - Kennedy,S,GW,AZ,N/A
AZ0401004,EAGAR TOWN OF,NEtFOSAA,< MRL,6/19/2023,Well 55-525542,WL-55-525542 - Ramsey Park,S,GW,AZ,N/A
AZ0401004,EAGAR TOWN OF,NFDHA,< MRL,6/19/2023,GWTP,EPTDS @ GWTP 380,S,GW,AZ,N/A
AZ0401004,EAGAR TOWN OF,NFDHA,< MRL,6/19/2023,Well 55-586713,WL-55-586713 - Nicoll,S,GW,AZ,N/A
AZ0401004,EAGAR TOWN OF,NFDHA,< MRL,6/19/2023,Well 55-232248,WL-55-232248 - Hall,S,GW,AZ,N/A
AZ0401004,EAGAR TOWN OF,NFDHA,< MRL,6/19/2023,Well 55-209094,WL-55-209094 - River Run 2,S,GW,AZ,N/A
AZ0401004,EAGAR TOWN OF,NFDHA,< MRL,6/19/2023,Well 55-213971,WL-55-213971 - Kennedy,S,GW,AZ,N/A
AZ0401004,EAGAR TOWN OF,NFDHA,< MRL,6/19/2023,Well 55-525542,WL-55-525542 - Ramsey Park,S,GW,AZ,N/A
AZ0401004,EAGAR TOWN OF,NMeFOSAA,< MRL,6/19/2023,GWTP,EPTDS @ GWTP 380,S,GW,AZ,N/A
AZ0401004,EAGAR TOWN OF,NMeFOSAA,< MRL,6/19/2023,Well 55-586713,WL-55-586713 - Nicoll,S,GW,AZ,N/A
AZ0401004,EAGAR TOWN OF,NMeFOSAA,< MRL,6/19/2023,Well 55-232248,WL-55-232248 - Hall,S,GW,AZ,N/A
AZ0401004,EAGAR TOWN OF,NMeFOSAA,< MRL,6/19/2023,Well 55-209094,WL-55-209094 - River Run 2,S,GW,AZ,N/A
AZ0401004,EAGAR TOWN OF,NMeFOSAA,< MRL,6/19/2023,Well 55-213971,WL-55-213971 - Kennedy,S,GW,AZ,N/A
AZ0401004,EAGAR TOWN OF,NMeFOSAA,< MRL,6/19/2023,Well 55-525542,WL-55-525542 - Ramsey Park,S,GW,AZ,N/A
AZ0401004,EAGAR TOWN OF,PFBA,< MRL,6/19/2023,GWTP,EPTDS @ GWTP 380,S,GW,AZ,N/A
AZ0401004,EAGAR TOWN OF,PFBA,< MRL,6/19/2023,Well 55-586713,WL-55-586713 - Nicoll,S,GW,AZ,N/A
AZ0401004,EAGAR TOWN OF,PFBA,< MRL,6/19/2023,Well 55-232248,WL-55-232248 - Hall,S,GW,AZ,N/A
AZ0401004,EAGAR TOWN OF,PFBA,< MRL,6/19/2023,Well 55-209094,WL-55-209094 - River Run 2,S,GW,AZ,N/A
AZ0401004,EAGAR TOWN OF,PFBA,< MRL,6/19/2023,Well 55-213971,WL-55-213971 - Kennedy,S,GW,AZ,N/A
AZ0401004,EAGAR TOWN OF,PFBA,< MRL,6/19/2023,Well 55-525542,WL-55-525542 - Ramsey Park,S,GW,AZ,N/A
AZ0401004,EAGAR TOWN OF,PFBS,< MRL,6/19/2023,GWTP,EPTDS @ GWTP 380,S,GW,AZ,N/A
AZ0401004,EAGAR TOWN OF,PFBS,< MRL,6/19/2023,Well 55-586713,WL-55-586713 - Nicoll,S,GW,AZ,N/A
AZ0401004,EAGAR TOWN OF,PFBS,< MRL,6/19/2023,Well 55-232248,WL-55-232248 - Hall,S,GW,AZ,N/A
AZ0401004,EAGAR TOWN OF,PFBS,< MRL,6/19/2023,Well 55-209094,WL-55-209094 - River Run 2,S,GW,AZ,N/A
AZ0401004,EAGAR TOWN OF,PFBS,0.0031,6/19/2023,Well 55-213971,WL-55-213971 - Kennedy,S,GW,AZ,N/A
AZ0401004,EAGAR TOWN OF,PFBS,< MRL,6/19/2023,Well 55-525542,WL-55-525542 - Ramsey Park,S,GW,AZ,N/A
AZ0401004,EAGAR TOWN OF,PFDA,< MRL,6/19/2023,GWTP,EPTDS @ GWTP 380,S,GW,AZ,N/A
AZ0401004,EAGAR TOWN OF,PFDA,< MRL,6/19/2023,Well 55-586713,WL-55-586713 - Nicoll,S,GW,AZ,N/A
AZ0401004,EAGAR TOWN OF,PFDA,< MRL,6/19/2023,Well 55-232248,WL-55-232248 - Hall,S,GW,AZ,N/A
AZ0401004,EAGAR TOWN OF,PFDA,< MRL,6/19/2023,Well 55-209094,WL-55-209094 - River Run 2,S,GW,AZ,N/A
AZ0401004,EAGAR TOWN OF,PFDA,< MRL,6/19/2023,Well 55-213971,WL-55-213971 - Kennedy,S,GW,AZ,N/A
AZ0401004,EAGAR TOWN OF,PFDA,< MRL,6/19/2023,Well 55-525542,WL-55-525542 - Ramsey Park,S,GW,AZ,N/A
AZ0401004,EAGAR TOWN OF,PFDoA,< MRL,6/19/2023,GWTP,EPTDS @ GWTP 380,S,GW,AZ,N/A
AZ0401004,EAGAR TOWN OF,PFDoA,< MRL,6/19/2023,Well 55-586713,WL-55-586713 - Nicoll,S,GW,AZ,N/A
AZ0401004,EAGAR TOWN OF,PFDoA,< MRL,6/19/2023,Well 55-232248,WL-55-232248 - Hall,S,GW,AZ,N/A
AZ0401004,EAGAR TOWN OF,PFDoA,< MRL,6/19/2023,Well 55-209094,WL-55-209094 - River Run 2,S,GW,AZ,N/A
AZ0401004,EAGAR TOWN OF,PFDoA,< MRL,6/19/2023,Well 55-213971,WL-55-213971 - Kennedy,S,GW,AZ,N/A
AZ0401004,EAGAR TOWN OF,PFDoA,< MRL,6/19/2023,Well 55-525542,WL-55-525542 - Ramsey Park,S,GW,AZ,N/A
AZ0401004,EAGAR TOWN OF,PFEESA,< MRL,6/19/2023,GWTP,EPTDS @ GWTP 380,S,GW,AZ,N/A
AZ0401004,EAGAR TOWN OF,PFEESA,< MRL,6/19/2023,Well 55-586713,WL-55-586713 - Nicoll,S,GW,AZ,N/A
AZ0401004,EAGAR TOWN OF,PFEESA,< MRL,6/19/2023,Well 55-232248,WL-55-232248 - Hall,S,GW,AZ,N/A
AZ0401004,EAGAR TOWN OF,PFEESA,< MRL,6/19/2023,Well 55-209094,WL-55-209094 - River Run 2,S,GW,AZ,N/A
AZ0401004,EAGAR TOWN OF,PFEESA,< MRL,6/19/2023,Well 55-213971,WL-55-213971 - Kennedy,S,GW,AZ,N/A
AZ0401004,EAGAR TOWN OF,PFEESA,< MRL,6/19/2023,Well 55-525542,WL-55-525542 - Ramsey Park,S,GW,AZ,N/A
AZ0401004,EAGAR TOWN OF,PFHpA,< MRL,6/19/2023,GWTP,EPTDS @ GWTP 380,S,GW,AZ,N/A
AZ0401004,EAGAR TOWN OF,PFHpA,< MRL,6/19/2023,Well 55-586713,WL-55-586713 - Nicoll,S,GW,AZ,N/A
AZ0401004,EAGAR TOWN OF,PFHpA,< MRL,6/19/2023,Well 55-232248,WL-55-232248 - Hall,S,GW,AZ,N/A
AZ0401004,EAGAR TOWN OF,PFHpA,< MRL,6/19/2023,Well 55-209094,WL-55-209094 - River Run 2,S,GW,AZ,N/A
AZ0401004,EAGAR TOWN OF,PFHpA,< MRL,6/19/2023,Well 55-213971,WL-55-213971 - Kennedy,S,GW,AZ,N/A
AZ0401004,EAGAR TOWN OF,PFHpA,< MRL,6/19/2023,Well 55-525542,WL-55-525542 - Ramsey Park,S,GW,AZ,N/A
AZ0401004,EAGAR TOWN OF,PFHpS,< MRL,6/19/2023,GWTP,EPTDS @ GWTP 380,S,GW,AZ,N/A
AZ0401004,EAGAR TOWN OF,PFHpS,< MRL,6/19/2023,Well 55-586713,WL-55-586713 - Nicoll,S,GW,AZ,N/A
AZ0401004,EAGAR TOWN OF,PFHpS,< MRL,6/19/2023,Well 55-232248,WL-55-232248 - Hall,S,GW,AZ,N/A
AZ0401004,EAGAR TOWN OF,PFHpS,< MRL,6/19/2023,Well 55-209094,WL-55-209094 - River Run 2,S,GW,AZ,N/A
AZ0401004,EAGAR TOWN OF,PFHpS,< MRL,6/19/2023,Well 55-213971,WL-55-213971 - Kennedy,S,GW,AZ,N/A
AZ0401004,EAGAR TOWN OF,PFHpS,< MRL,6/19/2023,Well 55-525542,WL-55-525542 - Ramsey Park,S,GW,AZ,N/A
AZ0401004,EAGAR TOWN OF,PFHxA,< MRL,6/19/2023,GWTP,EPTDS @ GWTP 380,S,GW,AZ,N/A
AZ0401004,EAGAR TOWN OF,PFHxA,< MRL,6/19/2023,Well 55-586713,WL-55-586713 - Nicoll,S,GW,AZ,N/A
AZ0401004,EAGAR TOWN OF,PFHxA,< MRL,6/19/2023,Well 55-232248,WL-55-232248 - Hall,S,GW,AZ,N/A
AZ0401004,EAGAR TOWN OF,PFHxA,< MRL,6/19/2023,Well 55-209094,WL-55-209094 - River Run 2,S,GW,AZ,N/A
AZ0401004,EAGAR TOWN OF,PFHxA,< MRL,6/19/2023,Well 55-213971,WL-55-213971 - Kennedy,S,GW,AZ,N/A
AZ0401004,EAGAR TOWN OF,PFHxA,< MRL,6/19/2023,Well 55-525542,WL-55-525542 - Ramsey Park,S,GW,AZ,N/A
AZ0401004,EAGAR TOWN OF,PFHxS,< MRL,6/19/2023,GWTP,EPTDS @ GWTP 380,S,GW,AZ,N/A
AZ0401004,EAGAR TOWN OF,PFHxS,< MRL,6/19/2023,Well 55-586713,WL-55-586713 - Nicoll,S,GW,AZ,N/A
AZ0401004,EAGAR TOWN OF,PFHxS,< MRL,6/19/2023,Well 55-232248,WL-55-232248 - Hall,S,GW,AZ,N/A
AZ0401004,EAGAR TOWN OF,PFHxS,< MRL,6/19/2023,Well 55-209094,WL-55-209094 - River Run 2,S,GW,AZ,N/A
AZ0401004,EAGAR TOWN OF,PFHxS,< MRL,6/19/2023,Well 55-213971,WL-55-213971 - Kennedy,S,GW,AZ,N/A
AZ0401004,EAGAR TOWN OF,PFHxS,< MRL,6/19/2023,Well 55-525542,WL-55-525542 - Ramsey Park,S,GW,AZ,N/A
AZ0401004,EAGAR TOWN OF,PFMBA,< MRL,6/19/2023,GWTP,EPTDS @ GWTP 380,S,GW,AZ,N/A
AZ0401004,EAGAR TOWN OF,PFMBA,< MRL,6/19/2023,Well 55-586713,WL-55-586713 - Nicoll,S,GW,AZ,N/A
AZ0401004,EAGAR TOWN OF,PFMBA,< MRL,6/19/2023,Well 55-232248,WL-55-232248 - Hall,S,GW,AZ,N/A
AZ0401004,EAGAR TOWN OF,PFMBA,< MRL,6/19/2023,Well 55-209094,WL-55-209094 - River Run 2,S,GW,AZ,N/A
AZ0401004,EAGAR TOWN OF,PFMBA,< MRL,6/19/2023,Well 55-213971,WL-55-213971 - Kennedy,S,GW,AZ,N/A
AZ0401004,EAGAR TOWN OF,PFMBA,< MRL,6/19/2023,Well 55-525542,WL-55-525542 - Ramsey Park,S,GW,AZ,N/A
AZ0401004,EAGAR TOWN OF,PFMPA,< MRL,6/19/2023,GWTP,EPTDS @ GWTP 380,S,GW,AZ,N/A
AZ0401004,EAGAR TOWN OF,PFMPA,< MRL,6/19/2023,Well 55-586713,WL-55-586713 - Nicoll,S,GW,AZ,N/A
AZ0401004,EAGAR TOWN OF,PFMPA,< MRL,6/19/2023,Well 55-232248,WL-55-232248 - Hall,S,GW,AZ,N/A
AZ0401004,EAGAR TOWN OF,PFMPA,< MRL,6/19/2023,Well 55-209094,WL-55-209094 - River Run 2,S,GW,AZ,N/A
AZ0401004,EAGAR TOWN OF,PFMPA,< MRL,6/19/2023,Well 55-213971,WL-55-213971 - Kennedy,S,GW,AZ,N/A
AZ0401004,EAGAR TOWN OF,PFMPA,< MRL,6/19/2023,Well 55-525542,WL-55-525542 - Ramsey Park,S,GW,AZ,N/A
AZ0401004,EAGAR TOWN OF,PFNA,< MRL,6/19/2023,GWTP,EPTDS @ GWTP 380,S,GW,AZ,N/A
AZ0401004,EAGAR TOWN OF,PFNA,< MRL,6/19/2023,Well 55-586713,WL-55-586713 - Nicoll,S,GW,AZ,N/A
AZ0401004,EAGAR TOWN OF,PFNA,< MRL,6/19/2023,Well 55-232248,WL-55-232248 - Hall,S,GW,AZ,N/A
AZ0401004,EAGAR TOWN OF,PFNA,< MRL,6/19/2023,Well 55-209094,WL-55-209094 - River Run 2,S,GW,AZ,N/A
AZ0401004,EAGAR TOWN OF,PFNA,< MRL,6/19/2023,Well 55-213971,WL-55-213971 - Kennedy,S,GW,AZ,N/A
AZ0401004,EAGAR TOWN OF,PFNA,< MRL,6/19/2023,Well 55-525542,WL-55-525542 - Ramsey Park,S,GW,AZ,N/A
AZ0401004,EAGAR TOWN OF,PFOA,< MRL,6/19/2023,GWTP,EPTDS @ GWTP 380,S,GW,AZ,N/A
AZ0401004,EAGAR TOWN OF,PFOA,< MRL,6/19/2023,Well 55-586713,WL-55-586713 - Nicoll,S,GW,AZ,N/A
AZ0401004,EAGAR TOWN OF,PFOA,< MRL,6/19/2023,Well 55-232248,WL-55-232248 - Hall,S,GW,AZ,N/A
AZ0401004,EAGAR TOWN OF,PFOA,< MRL,6/19/2023,Well 55-209094,WL-55-209094 - River Run 2,S,GW,AZ,N/A
