PWS ID,PWS Name,Contaminant,Result (µg/L),Collection Date,Facility Name,Sample Point Name,PWS Size,Facility Water Type,State,Result > Health-Based Ref Conc
CO0101025,BRIGHTON CITY OF,4:2 FTS,< MRL,1/17/2024,Storage Tank for CT 8 MG,Entry Point,L,GU,CO,N/A
CO0101025,BRIGHTON CITY OF,4:2 FTS,< MRL,1/17/2024,Storage Tank for CT 3 MG,Entry Point,L,GU,CO,N/A
CO0101025,BRIGHTON CITY OF,4:2 FTS,< MRL,1/17/2024,Thornton Connection,EP from Thornton,L,SW,CO,N/A
CO0101025,BRIGHTON CITY OF,6:2 FTS,< MRL,1/17/2024,Storage Tank for CT 8 MG,Entry Point,L,GU,CO,N/A
CO0101025,BRIGHTON CITY OF,6:2 FTS,< MRL,1/17/2024,Storage Tank for CT 3 MG,Entry Point,L,GU,CO,N/A
CO0101025,BRIGHTON CITY OF,6:2 FTS,< MRL,1/17/2024,Thornton Connection,EP from Thornton,L,SW,CO,N/A
CO0101025,BRIGHTON CITY OF,8:2 FTS,< MRL,1/17/2024,Storage Tank for CT 8 MG,Entry Point,L,GU,CO,N/A
CO0101025,BRIGHTON CITY OF,8:2 FTS,< MRL,1/17/2024,Storage Tank for CT 3 MG,Entry Point,L,GU,CO,N/A
CO0101025,BRIGHTON CITY OF,8:2 FTS,< MRL,1/17/2024,Thornton Connection,EP from Thornton,L,SW,CO,N/A
CO0101025,BRIGHTON CITY OF,9Cl-PF3ONS,< MRL,1/17/2024,Storage Tank for CT 8 MG,Entry Point,L,GU,CO,N/A
CO0101025,BRIGHTON CITY OF,9Cl-PF3ONS,< MRL,1/17/2024,Storage Tank for CT 3 MG,Entry Point,L,GU,CO,N/A
CO0101025,BRIGHTON CITY OF,9Cl-PF3ONS,< MRL,1/17/2024,Thornton Connection,EP from Thornton,L,SW,CO,N/A
CO0101025,BRIGHTON CITY OF,11Cl-PF3OUdS,< MRL,1/17/2024,Storage Tank for CT 8 MG,Entry Point,L,GU,CO,N/A
CO0101025,BRIGHTON CITY OF,11Cl-PF3OUdS,< MRL,1/17/2024,Storage Tank for CT 3 MG,Entry Point,L,GU,CO,N/A
CO0101025,BRIGHTON CITY OF,11Cl-PF3OUdS,< MRL,1/17/2024,Thornton Connection,EP from Thornton,L,SW,CO,N/A
CO0101025,BRIGHTON CITY OF,ADONA,< MRL,1/17/2024,Storage Tank for CT 8 MG,Entry Point,L,GU,CO,N/A
CO0101025,BRIGHTON CITY OF,ADONA,< MRL,1/17/2024,Storage Tank for CT 3 MG,Entry Point,L,GU,CO,N/A
CO0101025,BRIGHTON CITY OF,ADONA,< MRL,1/17/2024,Thornton Connection,EP from Thornton,L,SW,CO,N/A
CO0101025,BRIGHTON CITY OF,HFPO-DA,< MRL,1/17/2024,Storage Tank for CT 8 MG,Entry Point,L,GU,CO,N/A
CO0101025,BRIGHTON CITY OF,HFPO-DA,< MRL,1/17/2024,Storage Tank for CT 3 MG,Entry Point,L,GU,CO,N/A
CO0101025,BRIGHTON CITY OF,HFPO-DA,< MRL,1/17/2024,Thornton Connection,EP from Thornton,L,SW,CO,N/A
CO0101025,BRIGHTON CITY OF,lithium,14.4,1/17/2024,Storage Tank for CT 8 MG,Entry Point,L,GU,CO,N
CO0101025,BRIGHTON CITY OF,lithium,14.6,1/17/2024,Storage Tank for CT 3 MG,Entry Point,L,GU,CO,N
CO0101025,BRIGHTON CITY OF,lithium,24.6,1/17/2024,Thornton Connection,EP from Thornton,L,SW,CO,Y
CO0101025,BRIGHTON CITY OF,NEtFOSAA,< MRL,1/17/2024,Storage Tank for CT 8 MG,Entry Point,L,GU,CO,N/A
CO0101025,BRIGHTON CITY OF,NEtFOSAA,< MRL,1/17/2024,Storage Tank for CT 3 MG,Entry Point,L,GU,CO,N/A
CO0101025,BRIGHTON CITY OF,NEtFOSAA,< MRL,1/17/2024,Thornton Connection,EP from Thornton,L,SW,CO,N/A
CO0101025,BRIGHTON CITY OF,NFDHA,< MRL,1/17/2024,Storage Tank for CT 8 MG,Entry Point,L,GU,CO,N/A
CO0101025,BRIGHTON CITY OF,NFDHA,< MRL,1/17/2024,Storage Tank for CT 3 MG,Entry Point,L,GU,CO,N/A
CO0101025,BRIGHTON CITY OF,NFDHA,< MRL,1/17/2024,Thornton Connection,EP from Thornton,L,SW,CO,N/A
CO0101025,BRIGHTON CITY OF,NMeFOSAA,< MRL,1/17/2024,Storage Tank for CT 8 MG,Entry Point,L,GU,CO,N/A
CO0101025,BRIGHTON CITY OF,NMeFOSAA,< MRL,1/17/2024,Storage Tank for CT 3 MG,Entry Point,L,GU,CO,N/A
CO0101025,BRIGHTON CITY OF,NMeFOSAA,< MRL,1/17/2024,Thornton Connection,EP from Thornton,L,SW,CO,N/A
CO0101025,BRIGHTON CITY OF,PFBA,0.0050,1/17/2024,Storage Tank for CT 8 MG,Entry Point,L,GU,CO,N/A
CO0101025,BRIGHTON CITY OF,PFBA,0.0051,1/17/2024,Storage Tank for CT 3 MG,Entry Point,L,GU,CO,N/A
CO0101025,BRIGHTON CITY OF,PFBA,< MRL,1/17/2024,Thornton Connection,EP from Thornton,L,SW,CO,N/A
CO0101025,BRIGHTON CITY OF,PFBS,0.0055,1/17/2024,Storage Tank for CT 8 MG,Entry Point,L,GU,CO,N/A
CO0101025,BRIGHTON CITY OF,PFBS,0.0056,1/17/2024,Storage Tank for CT 3 MG,Entry Point,L,GU,CO,N/A
CO0101025,BRIGHTON CITY OF,PFBS,< MRL,1/17/2024,Thornton Connection,EP from Thornton,L,SW,CO,N/A
CO0101025,BRIGHTON CITY OF,PFDA,< MRL,1/17/2024,Storage Tank for CT 8 MG,Entry Point,L,GU,CO,N/A
CO0101025,BRIGHTON CITY OF,PFDA,< MRL,1/17/2024,Storage Tank for CT 3 MG,Entry Point,L,GU,CO,N/A
CO0101025,BRIGHTON CITY OF,PFDA,< MRL,1/17/2024,Thornton Connection,EP from Thornton,L,SW,CO,N/A
CO0101025,BRIGHTON CITY OF,PFDoA,< MRL,1/17/2024,Storage Tank for CT 8 MG,Entry Point,L,GU,CO,N/A
CO0101025,BRIGHTON CITY OF,PFDoA,< MRL,1/17/2024,Storage Tank for CT 3 MG,Entry Point,L,GU,CO,N/A
CO0101025,BRIGHTON CITY OF,PFDoA,< MRL,1/17/2024,Thornton Connection,EP from Thornton,L,SW,CO,N/A
CO0101025,BRIGHTON CITY OF,PFEESA,< MRL,1/17/2024,Storage Tank for CT 8 MG,Entry Point,L,GU,CO,N/A
CO0101025,BRIGHTON CITY OF,PFEESA,< MRL,1/17/2024,Storage Tank for CT 3 MG,Entry Point,L,GU,CO,N/A
CO0101025,BRIGHTON CITY OF,PFEESA,< MRL,1/17/2024,Thornton Connection,EP from Thornton,L,SW,CO,N/A
CO0101025,BRIGHTON CITY OF,PFHpA,< MRL,1/17/2024,Storage Tank for CT 8 MG,Entry Point,L,GU,CO,N/A
CO0101025,BRIGHTON CITY OF,PFHpA,< MRL,1/17/2024,Storage Tank for CT 3 MG,Entry Point,L,GU,CO,N/A
CO0101025,BRIGHTON CITY OF,PFHpA,< MRL,1/17/2024,Thornton Connection,EP from Thornton,L,SW,CO,N/A
CO0101025,BRIGHTON CITY OF,PFHpS,< MRL,1/17/2024,Storage Tank for CT 8 MG,Entry Point,L,GU,CO,N/A
CO0101025,BRIGHTON CITY OF,PFHpS,< MRL,1/17/2024,Storage Tank for CT 3 MG,Entry Point,L,GU,CO,N/A
CO0101025,BRIGHTON CITY OF,PFHpS,< MRL,1/17/2024,Thornton Connection,EP from Thornton,L,SW,CO,N/A
CO0101025,BRIGHTON CITY OF,PFHxA,0.0057,1/17/2024,Storage Tank for CT 8 MG,Entry Point,L,GU,CO,N/A
CO0101025,BRIGHTON CITY OF,PFHxA,0.006,1/17/2024,Storage Tank for CT 3 MG,Entry Point,L,GU,CO,N/A
CO0101025,BRIGHTON CITY OF,PFHxA,0.0037,1/17/2024,Thornton Connection,EP from Thornton,L,SW,CO,N/A
CO0101025,BRIGHTON CITY OF,PFHxS,0.0052,1/17/2024,Storage Tank for CT 8 MG,Entry Point,L,GU,CO,N/A
CO0101025,BRIGHTON CITY OF,PFHxS,0.0052,1/17/2024,Storage Tank for CT 3 MG,Entry Point,L,GU,CO,N/A
CO0101025,BRIGHTON CITY OF,PFHxS,< MRL,1/17/2024,Thornton Connection,EP from Thornton,L,SW,CO,N/A
