PWS ID,PWS Name,Contaminant,Result (µg/L),Collection Date,Facility Name,Sample Point Name,PWS Size,Facility Water Type,State,Result > Health-Based Ref Conc
CT0050062,STERLING ENGINEERING CORP.,4:2 FTS,< MRL,2/8/2023,Well,Sample Tap at Well Head,S,GW,CT,N/A
CT0050062,STERLING ENGINEERING CORP.,6:2 FTS,< MRL,2/8/2023,Well,Sample Tap at Well Head,S,GW,CT,N/A
CT0050062,STERLING ENGINEERING CORP.,8:2 FTS,< MRL,2/8/2023,Well,Sample Tap at Well Head,S,GW,CT,N/A
CT0050062,STERLING ENGINEERING CORP.,9Cl-PF3ONS,< MRL,2/8/2023,Well,Sample Tap at Well Head,S,GW,CT,N/A
CT0050062,STERLING ENGINEERING CORP.,11Cl-PF3OUdS,< MRL,2/8/2023,Well,Sample Tap at Well Head,S,GW,CT,N/A
CT0050062,STERLING ENGINEERING CORP.,ADONA,< MRL,2/8/2023,Well,Sample Tap at Well Head,S,GW,CT,N/A
CT0050062,STERLING ENGINEERING CORP.,HFPO-DA,< MRL,2/8/2023,Well,Sample Tap at Well Head,S,GW,CT,N/A
CT0050062,STERLING ENGINEERING CORP.,lithium,< MRL,2/8/2023,Well,Sample Tap at Well Head,S,GW,CT,N
CT0050062,STERLING ENGINEERING CORP.,NEtFOSAA,< MRL,2/8/2023,Well,Sample Tap at Well Head,S,GW,CT,N/A
CT0050062,STERLING ENGINEERING CORP.,NFDHA,< MRL,2/8/2023,Well,Sample Tap at Well Head,S,GW,CT,N/A
CT0050062,STERLING ENGINEERING CORP.,NMeFOSAA,< MRL,2/8/2023,Well,Sample Tap at Well Head,S,GW,CT,N/A
CT0050062,STERLING ENGINEERING CORP.,PFBA,< MRL,2/8/2023,Well,Sample Tap at Well Head,S,GW,CT,N/A
CT0050062,STERLING ENGINEERING CORP.,PFBS,< MRL,2/8/2023,Well,Sample Tap at Well Head,S,GW,CT,N/A
CT0050062,STERLING ENGINEERING CORP.,PFDA,< MRL,2/8/2023,Well,Sample Tap at Well Head,S,GW,CT,N/A
CT0050062,STERLING ENGINEERING CORP.,PFDoA,< MRL,2/8/2023,Well,Sample Tap at Well Head,S,GW,CT,N/A
CT0050062,STERLING ENGINEERING CORP.,PFEESA,< MRL,2/8/2023,Well,Sample Tap at Well Head,S,GW,CT,N/A
CT0050062,STERLING ENGINEERING CORP.,PFHpA,< MRL,2/8/2023,Well,Sample Tap at Well Head,S,GW,CT,N/A
CT0050062,STERLING ENGINEERING CORP.,PFHpS,< MRL,2/8/2023,Well,Sample Tap at Well Head,S,GW,CT,N/A
CT0050062,STERLING ENGINEERING CORP.,PFHxA,< MRL,2/8/2023,Well,Sample Tap at Well Head,S,GW,CT,N/A
CT0050062,STERLING ENGINEERING CORP.,PFHxS,< MRL,2/8/2023,Well,Sample Tap at Well Head,S,GW,CT,N/A
CT0050062,STERLING ENGINEERING CORP.,PFMBA,< MRL,2/8/2023,Well,Sample Tap at Well Head,S,GW,CT,N/A
CT0050062,STERLING ENGINEERING CORP.,PFMPA,< MRL,2/8/2023,Well,Sample Tap at Well Head,S,GW,CT,N/A
CT0050062,STERLING ENGINEERING CORP.,PFNA,< MRL,2/8/2023,Well,Sample Tap at Well Head,S,GW,CT,N/A
CT0050062,STERLING ENGINEERING CORP.,PFOA,< MRL,2/8/2023,Well,Sample Tap at Well Head,S,GW,CT,N/A
CT0050062,STERLING ENGINEERING CORP.,PFOS,< MRL,2/8/2023,Well,Sample Tap at Well Head,S,GW,CT,N/A
CT0050062,STERLING ENGINEERING CORP.,PFPeA,< MRL,2/8/2023,Well,Sample Tap at Well Head,S,GW,CT,N/A
CT0050062,STERLING ENGINEERING CORP.,PFPeS,< MRL,2/8/2023,Well,Sample Tap at Well Head,S,GW,CT,N/A
CT0050062,STERLING ENGINEERING CORP.,PFTA,< MRL,2/8/2023,Well,Sample Tap at Well Head,S,GW,CT,N/A
CT0050062,STERLING ENGINEERING CORP.,PFTrDA,< MRL,2/8/2023,Well,Sample Tap at Well Head,S,GW,CT,N/A
CT0050062,STERLING ENGINEERING CORP.,PFUnA,< MRL,2/8/2023,Well,Sample Tap at Well Head,S,GW,CT,N/A
CT0050062,STERLING ENGINEERING CORP.,4:2 FTS,< MRL,8/28/2023,Well,Sample Tap at Well Head,S,GW,CT,N/A
CT0050062,STERLING ENGINEERING CORP.,6:2 FTS,< MRL,8/28/2023,Well,Sample Tap at Well Head,S,GW,CT,N/A
CT0050062,STERLING ENGINEERING CORP.,8:2 FTS,< MRL,8/28/2023,Well,Sample Tap at Well Head,S,GW,CT,N/A
CT0050062,STERLING ENGINEERING CORP.,9Cl-PF3ONS,< MRL,8/28/2023,Well,Sample Tap at Well Head,S,GW,CT,N/A
CT0050062,STERLING ENGINEERING CORP.,11Cl-PF3OUdS,< MRL,8/28/2023,Well,Sample Tap at Well Head,S,GW,CT,N/A
CT0050062,STERLING ENGINEERING CORP.,ADONA,< MRL,8/28/2023,Well,Sample Tap at Well Head,S,GW,CT,N/A
CT0050062,STERLING ENGINEERING CORP.,HFPO-DA,< MRL,8/28/2023,Well,Sample Tap at Well Head,S,GW,CT,N/A
