PWS ID,PWS Name,Contaminant,Result (µg/L),Collection Date,Facility Name,Sample Point Name,PWS Size,Facility Water Type,State,Result > Health-Based Ref Conc
FL6510050,ALOHA GARDENS UTILITIES,lithium,< MRL,3/7/2023,PLANT #8,WELL 8 PLANT,S,GW,FL,N
FL6510050,ALOHA GARDENS UTILITIES,4:2 FTS,< MRL,3/27/2023,PLANT #8,WELL 8 PLANT,S,GW,FL,N/A
FL6510050,ALOHA GARDENS UTILITIES,6:2 FTS,< MRL,3/27/2023,PLANT #8,WELL 8 PLANT,S,GW,FL,N/A
FL6510050,ALOHA GARDENS UTILITIES,8:2 FTS,< MRL,3/27/2023,PLANT #8,WELL 8 PLANT,S,GW,FL,N/A
FL6510050,ALOHA GARDENS UTILITIES,9Cl-PF3ONS,< MRL,3/27/2023,PLANT #8,WELL 8 PLANT,S,GW,FL,N/A
FL6510050,ALOHA GARDENS UTILITIES,11Cl-PF3OUdS,< MRL,3/27/2023,PLANT #8,WELL 8 PLANT,S,GW,FL,N/A
FL6510050,ALOHA GARDENS UTILITIES,ADONA,< MRL,3/27/2023,PLANT #8,WELL 8 PLANT,S,GW,FL,N/A
FL6510050,ALOHA GARDENS UTILITIES,HFPO-DA,< MRL,3/27/2023,PLANT #8,WELL 8 PLANT,S,GW,FL,N/A
FL6510050,ALOHA GARDENS UTILITIES,NEtFOSAA,< MRL,3/27/2023,PLANT #8,WELL 8 PLANT,S,GW,FL,N/A
FL6510050,ALOHA GARDENS UTILITIES,NFDHA,< MRL,3/27/2023,PLANT #8,WELL 8 PLANT,S,GW,FL,N/A
FL6510050,ALOHA GARDENS UTILITIES,NMeFOSAA,< MRL,3/27/2023,PLANT #8,WELL 8 PLANT,S,GW,FL,N/A
FL6510050,ALOHA GARDENS UTILITIES,PFBA,0.0061,3/27/2023,PLANT #8,WELL 8 PLANT,S,GW,FL,N/A
FL6510050,ALOHA GARDENS UTILITIES,PFBS,0.0104,3/27/2023,PLANT #8,WELL 8 PLANT,S,GW,FL,N/A
FL6510050,ALOHA GARDENS UTILITIES,PFDA,< MRL,3/27/2023,PLANT #8,WELL 8 PLANT,S,GW,FL,N/A
FL6510050,ALOHA GARDENS UTILITIES,PFDoA,< MRL,3/27/2023,PLANT #8,WELL 8 PLANT,S,GW,FL,N/A
FL6510050,ALOHA GARDENS UTILITIES,PFEESA,< MRL,3/27/2023,PLANT #8,WELL 8 PLANT,S,GW,FL,N/A
FL6510050,ALOHA GARDENS UTILITIES,PFHpA,< MRL,3/27/2023,PLANT #8,WELL 8 PLANT,S,GW,FL,N/A
FL6510050,ALOHA GARDENS UTILITIES,PFHpS,< MRL,3/27/2023,PLANT #8,WELL 8 PLANT,S,GW,FL,N/A
FL6510050,ALOHA GARDENS UTILITIES,PFHxA,< MRL,3/27/2023,PLANT #8,WELL 8 PLANT,S,GW,FL,N/A
FL6510050,ALOHA GARDENS UTILITIES,PFHxS,0.0037,3/27/2023,PLANT #8,WELL 8 PLANT,S,GW,FL,N/A
FL6510050,ALOHA GARDENS UTILITIES,PFMBA,< MRL,3/27/2023,PLANT #8,WELL 8 PLANT,S,GW,FL,N/A
FL6510050,ALOHA GARDENS UTILITIES,PFMPA,< MRL,3/27/2023,PLANT #8,WELL 8 PLANT,S,GW,FL,N/A
FL6510050,ALOHA GARDENS UTILITIES,PFNA,< MRL,3/27/2023,PLANT #8,WELL 8 PLANT,S,GW,FL,N/A
FL6510050,ALOHA GARDENS UTILITIES,PFOA,< MRL,3/27/2023,PLANT #8,WELL 8 PLANT,S,GW,FL,N/A
FL6510050,ALOHA GARDENS UTILITIES,PFOS,0.0318,3/27/2023,PLANT #8,WELL 8 PLANT,S,GW,FL,N/A
FL6510050,ALOHA GARDENS UTILITIES,PFPeA,< MRL,3/27/2023,PLANT #8,WELL 8 PLANT,S,GW,FL,N/A
FL6510050,ALOHA GARDENS UTILITIES,PFPeS,< MRL,3/27/2023,PLANT #8,WELL 8 PLANT,S,GW,FL,N/A
FL6510050,ALOHA GARDENS UTILITIES,PFTA,< MRL,3/27/2023,PLANT #8,WELL 8 PLANT,S,GW,FL,N/A
FL6510050,ALOHA GARDENS UTILITIES,PFTrDA,< MRL,3/27/2023,PLANT #8,WELL 8 PLANT,S,GW,FL,N/A
FL6510050,ALOHA GARDENS UTILITIES,PFUnA,< MRL,3/27/2023,PLANT #8,WELL 8 PLANT,S,GW,FL,N/A
FL6510050,ALOHA GARDENS UTILITIES,lithium,< MRL,9/13/2023,PLANT #8,WELL 8 PLANT,S,GW,FL,N
FL6510050,ALOHA GARDENS UTILITIES,NEtFOSAA,< MRL,9/13/2023,PLANT #8,WELL 8 PLANT,S,GW,FL,N/A
FL6510050,ALOHA GARDENS UTILITIES,NMeFOSAA,< MRL,9/13/2023,PLANT #8,WELL 8 PLANT,S,GW,FL,N/A
FL6510050,ALOHA GARDENS UTILITIES,PFTA,< MRL,9/13/2023,PLANT #8,WELL 8 PLANT,S,GW,FL,N/A
FL6510050,ALOHA GARDENS UTILITIES,PFTrDA,< MRL,9/13/2023,PLANT #8,WELL 8 PLANT,S,GW,FL,N/A
FL6510050,ALOHA GARDENS UTILITIES,4:2 FTS,< MRL,10/10/2023,PLANT #8,WELL 8 PLANT,S,GW,FL,N/A
FL6510050,ALOHA GARDENS UTILITIES,6:2 FTS,< MRL,10/10/2023,PLANT #8,WELL 8 PLANT,S,GW,FL,N/A
FL6510050,ALOHA GARDENS UTILITIES,8:2 FTS,< MRL,10/10/2023,PLANT #8,WELL 8 PLANT,S,GW,FL,N/A
FL6510050,ALOHA GARDENS UTILITIES,9Cl-PF3ONS,< MRL,10/10/2023,PLANT #8,WELL 8 PLANT,S,GW,FL,N/A
FL6510050,ALOHA GARDENS UTILITIES,11Cl-PF3OUdS,< MRL,10/10/2023,PLANT #8,WELL 8 PLANT,S,GW,FL,N/A
FL6510050,ALOHA GARDENS UTILITIES,ADONA,< MRL,10/10/2023,PLANT #8,WELL 8 PLANT,S,GW,FL,N/A
