PWS ID,PWS Name,Contaminant,Result (µg/L),Collection Date,Facility Name,Sample Point Name,PWS Size,Facility Water Type,State,Result > Health-Based Ref Conc
GA0010000,BAXLEY,4:2 FTS,< MRL,3/15/2023,BAXLEY,465 FAIR ST WELL #3 PLANT,S,GW,GA,N/A
GA0010000,BAXLEY,4:2 FTS,< MRL,3/15/2023,BAXLEY,267 FOREST IND. BLVD WELL #4 PLANT,S,GW,GA,N/A
GA0010000,BAXLEY,4:2 FTS,< MRL,3/15/2023,BAXLEY,WEST INDUSTRIAL PARK WELL #5 PLANT,S,GW,GA,N/A
GA0010000,BAXLEY,6:2 FTS,< MRL,3/15/2023,BAXLEY,465 FAIR ST WELL #3 PLANT,S,GW,GA,N/A
GA0010000,BAXLEY,6:2 FTS,< MRL,3/15/2023,BAXLEY,267 FOREST IND. BLVD WELL #4 PLANT,S,GW,GA,N/A
GA0010000,BAXLEY,6:2 FTS,< MRL,3/15/2023,BAXLEY,WEST INDUSTRIAL PARK WELL #5 PLANT,S,GW,GA,N/A
GA0010000,BAXLEY,8:2 FTS,< MRL,3/15/2023,BAXLEY,465 FAIR ST WELL #3 PLANT,S,GW,GA,N/A
GA0010000,BAXLEY,8:2 FTS,< MRL,3/15/2023,BAXLEY,267 FOREST IND. BLVD WELL #4 PLANT,S,GW,GA,N/A
GA0010000,BAXLEY,8:2 FTS,< MRL,3/15/2023,BAXLEY,WEST INDUSTRIAL PARK WELL #5 PLANT,S,GW,GA,N/A
GA0010000,BAXLEY,9Cl-PF3ONS,< MRL,3/15/2023,BAXLEY,465 FAIR ST WELL #3 PLANT,S,GW,GA,N/A
GA0010000,BAXLEY,9Cl-PF3ONS,< MRL,3/15/2023,BAXLEY,267 FOREST IND. BLVD WELL #4 PLANT,S,GW,GA,N/A
GA0010000,BAXLEY,9Cl-PF3ONS,< MRL,3/15/2023,BAXLEY,WEST INDUSTRIAL PARK WELL #5 PLANT,S,GW,GA,N/A
GA0010000,BAXLEY,11Cl-PF3OUdS,< MRL,3/15/2023,BAXLEY,465 FAIR ST WELL #3 PLANT,S,GW,GA,N/A
GA0010000,BAXLEY,11Cl-PF3OUdS,< MRL,3/15/2023,BAXLEY,267 FOREST IND. BLVD WELL #4 PLANT,S,GW,GA,N/A
GA0010000,BAXLEY,11Cl-PF3OUdS,< MRL,3/15/2023,BAXLEY,WEST INDUSTRIAL PARK WELL #5 PLANT,S,GW,GA,N/A
GA0010000,BAXLEY,ADONA,< MRL,3/15/2023,BAXLEY,465 FAIR ST WELL #3 PLANT,S,GW,GA,N/A
GA0010000,BAXLEY,ADONA,< MRL,3/15/2023,BAXLEY,267 FOREST IND. BLVD WELL #4 PLANT,S,GW,GA,N/A
GA0010000,BAXLEY,ADONA,< MRL,3/15/2023,BAXLEY,WEST INDUSTRIAL PARK WELL #5 PLANT,S,GW,GA,N/A
GA0010000,BAXLEY,HFPO-DA,< MRL,3/15/2023,BAXLEY,465 FAIR ST WELL #3 PLANT,S,GW,GA,N/A
GA0010000,BAXLEY,HFPO-DA,< MRL,3/15/2023,BAXLEY,267 FOREST IND. BLVD WELL #4 PLANT,S,GW,GA,N/A
GA0010000,BAXLEY,HFPO-DA,< MRL,3/15/2023,BAXLEY,WEST INDUSTRIAL PARK WELL #5 PLANT,S,GW,GA,N/A
GA0010000,BAXLEY,lithium,< MRL,3/15/2023,BAXLEY,465 FAIR ST WELL #3 PLANT,S,GW,GA,N
GA0010000,BAXLEY,lithium,< MRL,3/15/2023,BAXLEY,267 FOREST IND. BLVD WELL #4 PLANT,S,GW,GA,N
GA0010000,BAXLEY,lithium,< MRL,3/15/2023,BAXLEY,WEST INDUSTRIAL PARK WELL #5 PLANT,S,GW,GA,N
GA0010000,BAXLEY,NEtFOSAA,< MRL,3/15/2023,BAXLEY,465 FAIR ST WELL #3 PLANT,S,GW,GA,N/A
GA0010000,BAXLEY,NEtFOSAA,< MRL,3/15/2023,BAXLEY,267 FOREST IND. BLVD WELL #4 PLANT,S,GW,GA,N/A
GA0010000,BAXLEY,NEtFOSAA,< MRL,3/15/2023,BAXLEY,WEST INDUSTRIAL PARK WELL #5 PLANT,S,GW,GA,N/A
GA0010000,BAXLEY,NFDHA,< MRL,3/15/2023,BAXLEY,465 FAIR ST WELL #3 PLANT,S,GW,GA,N/A
GA0010000,BAXLEY,NFDHA,< MRL,3/15/2023,BAXLEY,267 FOREST IND. BLVD WELL #4 PLANT,S,GW,GA,N/A
GA0010000,BAXLEY,NFDHA,< MRL,3/15/2023,BAXLEY,WEST INDUSTRIAL PARK WELL #5 PLANT,S,GW,GA,N/A
GA0010000,BAXLEY,NMeFOSAA,< MRL,3/15/2023,BAXLEY,465 FAIR ST WELL #3 PLANT,S,GW,GA,N/A
GA0010000,BAXLEY,NMeFOSAA,< MRL,3/15/2023,BAXLEY,267 FOREST IND. BLVD WELL #4 PLANT,S,GW,GA,N/A
GA0010000,BAXLEY,NMeFOSAA,< MRL,3/15/2023,BAXLEY,WEST INDUSTRIAL PARK WELL #5 PLANT,S,GW,GA,N/A
GA0010000,BAXLEY,PFBA,< MRL,3/15/2023,BAXLEY,465 FAIR ST WELL #3 PLANT,S,GW,GA,N/A
GA0010000,BAXLEY,PFBA,< MRL,3/15/2023,BAXLEY,267 FOREST IND. BLVD WELL #4 PLANT,S,GW,GA,N/A
GA0010000,BAXLEY,PFBA,< MRL,3/15/2023,BAXLEY,WEST INDUSTRIAL PARK WELL #5 PLANT,S,GW,GA,N/A
GA0010000,BAXLEY,PFBS,< MRL,3/15/2023,BAXLEY,465 FAIR ST WELL #3 PLANT,S,GW,GA,N/A
GA0010000,BAXLEY,PFBS,< MRL,3/15/2023,BAXLEY,267 FOREST IND. BLVD WELL #4 PLANT,S,GW,GA,N/A
GA0010000,BAXLEY,PFBS,< MRL,3/15/2023,BAXLEY,WEST INDUSTRIAL PARK WELL #5 PLANT,S,GW,GA,N/A
GA0010000,BAXLEY,PFDA,< MRL,3/15/2023,BAXLEY,465 FAIR ST WELL #3 PLANT,S,GW,GA,N/A
GA0010000,BAXLEY,PFDA,< MRL,3/15/2023,BAXLEY,267 FOREST IND. BLVD WELL #4 PLANT,S,GW,GA,N/A
GA0010000,BAXLEY,PFDA,< MRL,3/15/2023,BAXLEY,WEST INDUSTRIAL PARK WELL #5 PLANT,S,GW,GA,N/A
GA0010000,BAXLEY,PFDoA,< MRL,3/15/2023,BAXLEY,465 FAIR ST WELL #3 PLANT,S,GW,GA,N/A
GA0010000,BAXLEY,PFDoA,< MRL,3/15/2023,BAXLEY,267 FOREST IND. BLVD WELL #4 PLANT,S,GW,GA,N/A
GA0010000,BAXLEY,PFDoA,< MRL,3/15/2023,BAXLEY,WEST INDUSTRIAL PARK WELL #5 PLANT,S,GW,GA,N/A
GA0010000,BAXLEY,PFEESA,< MRL,3/15/2023,BAXLEY,465 FAIR ST WELL #3 PLANT,S,GW,GA,N/A
GA0010000,BAXLEY,PFEESA,< MRL,3/15/2023,BAXLEY,267 FOREST IND. BLVD WELL #4 PLANT,S,GW,GA,N/A
GA0010000,BAXLEY,PFEESA,< MRL,3/15/2023,BAXLEY,WEST INDUSTRIAL PARK WELL #5 PLANT,S,GW,GA,N/A
GA0010000,BAXLEY,PFHpA,< MRL,3/15/2023,BAXLEY,465 FAIR ST WELL #3 PLANT,S,GW,GA,N/A
GA0010000,BAXLEY,PFHpA,< MRL,3/15/2023,BAXLEY,267 FOREST IND. BLVD WELL #4 PLANT,S,GW,GA,N/A
