PWS ID,PWS Name,Contaminant,Result (µg/L),Collection Date,Facility Name,Sample Point Name,PWS Size,Facility Water Type,State,Result > Health-Based Ref Conc
HI0000117,HAWAIIAN BEACHES,4:2 FTS,< MRL,1/17/2023,Treatment Plant,HAWAIIAN BEACHES WELLS 1 & 2 CHLORINATOR,S,GW,HI,N/A
HI0000117,HAWAIIAN BEACHES,6:2 FTS,< MRL,1/17/2023,Treatment Plant,HAWAIIAN BEACHES WELLS 1 & 2 CHLORINATOR,S,GW,HI,N/A
HI0000117,HAWAIIAN BEACHES,8:2 FTS,< MRL,1/17/2023,Treatment Plant,HAWAIIAN BEACHES WELLS 1 & 2 CHLORINATOR,S,GW,HI,N/A
HI0000117,HAWAIIAN BEACHES,9Cl-PF3ONS,< MRL,1/17/2023,Treatment Plant,HAWAIIAN BEACHES WELLS 1 & 2 CHLORINATOR,S,GW,HI,N/A
HI0000117,HAWAIIAN BEACHES,11Cl-PF3OUdS,< MRL,1/17/2023,Treatment Plant,HAWAIIAN BEACHES WELLS 1 & 2 CHLORINATOR,S,GW,HI,N/A
HI0000117,HAWAIIAN BEACHES,ADONA,< MRL,1/17/2023,Treatment Plant,HAWAIIAN BEACHES WELLS 1 & 2 CHLORINATOR,S,GW,HI,N/A
HI0000117,HAWAIIAN BEACHES,HFPO-DA,< MRL,1/17/2023,Treatment Plant,HAWAIIAN BEACHES WELLS 1 & 2 CHLORINATOR,S,GW,HI,N/A
HI0000117,HAWAIIAN BEACHES,lithium,< MRL,1/17/2023,Treatment Plant,HAWAIIAN BEACHES WELLS 1 & 2 CHLORINATOR,S,GW,HI,N
HI0000117,HAWAIIAN BEACHES,NEtFOSAA,< MRL,1/17/2023,Treatment Plant,HAWAIIAN BEACHES WELLS 1 & 2 CHLORINATOR,S,GW,HI,N/A
HI0000117,HAWAIIAN BEACHES,NFDHA,< MRL,1/17/2023,Treatment Plant,HAWAIIAN BEACHES WELLS 1 & 2 CHLORINATOR,S,GW,HI,N/A
HI0000117,HAWAIIAN BEACHES,NMeFOSAA,< MRL,1/17/2023,Treatment Plant,HAWAIIAN BEACHES WELLS 1 & 2 CHLORINATOR,S,GW,HI,N/A
HI0000117,HAWAIIAN BEACHES,PFBA,< MRL,1/17/2023,Treatment Plant,HAWAIIAN BEACHES WELLS 1 & 2 CHLORINATOR,S,GW,HI,N/A
HI0000117,HAWAIIAN BEACHES,PFBS,< MRL,1/17/2023,Treatment Plant,HAWAIIAN BEACHES WELLS 1 & 2 CHLORINATOR,S,GW,HI,N/A
HI0000117,HAWAIIAN BEACHES,PFDA,< MRL,1/17/2023,Treatment Plant,HAWAIIAN BEACHES WELLS 1 & 2 CHLORINATOR,S,GW,HI,N/A
HI0000117,HAWAIIAN BEACHES,PFDoA,< MRL,1/17/2023,Treatment Plant,HAWAIIAN BEACHES WELLS 1 & 2 CHLORINATOR,S,GW,HI,N/A
HI0000117,HAWAIIAN BEACHES,PFEESA,< MRL,1/17/2023,Treatment Plant,HAWAIIAN BEACHES WELLS 1 & 2 CHLORINATOR,S,GW,HI,N/A
HI0000117,HAWAIIAN BEACHES,PFHpA,< MRL,1/17/2023,Treatment Plant,HAWAIIAN BEACHES WELLS 1 & 2 CHLORINATOR,S,GW,HI,N/A
HI0000117,HAWAIIAN BEACHES,PFHpS,< MRL,1/17/2023,Treatment Plant,HAWAIIAN BEACHES WELLS 1 & 2 CHLORINATOR,S,GW,HI,N/A
HI0000117,HAWAIIAN BEACHES,PFHxA,< MRL,1/17/2023,Treatment Plant,HAWAIIAN BEACHES WELLS 1 & 2 CHLORINATOR,S,GW,HI,N/A
HI0000117,HAWAIIAN BEACHES,PFHxS,< MRL,1/17/2023,Treatment Plant,HAWAIIAN BEACHES WELLS 1 & 2 CHLORINATOR,S,GW,HI,N/A
HI0000117,HAWAIIAN BEACHES,PFMBA,< MRL,1/17/2023,Treatment Plant,HAWAIIAN BEACHES WELLS 1 & 2 CHLORINATOR,S,GW,HI,N/A
HI0000117,HAWAIIAN BEACHES,PFMPA,< MRL,1/17/2023,Treatment Plant,HAWAIIAN BEACHES WELLS 1 & 2 CHLORINATOR,S,GW,HI,N/A
HI0000117,HAWAIIAN BEACHES,PFNA,< MRL,1/17/2023,Treatment Plant,HAWAIIAN BEACHES WELLS 1 & 2 CHLORINATOR,S,GW,HI,N/A
HI0000117,HAWAIIAN BEACHES,PFOA,< MRL,1/17/2023,Treatment Plant,HAWAIIAN BEACHES WELLS 1 & 2 CHLORINATOR,S,GW,HI,N/A
HI0000117,HAWAIIAN BEACHES,PFOS,< MRL,1/17/2023,Treatment Plant,HAWAIIAN BEACHES WELLS 1 & 2 CHLORINATOR,S,GW,HI,N/A
HI0000117,HAWAIIAN BEACHES,PFPeA,< MRL,1/17/2023,Treatment Plant,HAWAIIAN BEACHES WELLS 1 & 2 CHLORINATOR,S,GW,HI,N/A
HI0000117,HAWAIIAN BEACHES,PFPeS,< MRL,1/17/2023,Treatment Plant,HAWAIIAN BEACHES WELLS 1 & 2 CHLORINATOR,S,GW,HI,N/A
HI0000117,HAWAIIAN BEACHES,PFTA,< MRL,1/17/2023,Treatment Plant,HAWAIIAN BEACHES WELLS 1 & 2 CHLORINATOR,S,GW,HI,N/A
HI0000117,HAWAIIAN BEACHES,PFTrDA,< MRL,1/17/2023,Treatment Plant,HAWAIIAN BEACHES WELLS 1 & 2 CHLORINATOR,S,GW,HI,N/A
HI0000117,HAWAIIAN BEACHES,PFUnA,< MRL,1/17/2023,Treatment Plant,HAWAIIAN BEACHES WELLS 1 & 2 CHLORINATOR,S,GW,HI,N/A
HI0000117,HAWAIIAN BEACHES,4:2 FTS,< MRL,7/18/2023,Treatment Plant,HAWAIIAN BEACHES WELLS 1 & 2 CHLORINATOR,S,GW,HI,N/A
HI0000117,HAWAIIAN BEACHES,6:2 FTS,< MRL,7/18/2023,Treatment Plant,HAWAIIAN BEACHES WELLS 1 & 2 CHLORINATOR,S,GW,HI,N/A
HI0000117,HAWAIIAN BEACHES,8:2 FTS,< MRL,7/18/2023,Treatment Plant,HAWAIIAN BEACHES WELLS 1 & 2 CHLORINATOR,S,GW,HI,N/A
HI0000117,HAWAIIAN BEACHES,9Cl-PF3ONS,< MRL,7/18/2023,Treatment Plant,HAWAIIAN BEACHES WELLS 1 & 2 CHLORINATOR,S,GW,HI,N/A
