PWS ID,PWS Name,Contaminant,Result (µg/L),Collection Date,Facility Name,Sample Point Name,PWS Size,Facility Water Type,State,Result > Health-Based Ref Conc
ID1090065,KANIKSU SHORES ESTATES,4:2 FTS,< MRL,1/16/2024,Storage Tank,Sample Tap At Well House,S,GW,ID,N/A
ID1090065,KANIKSU SHORES ESTATES,6:2 FTS,< MRL,1/16/2024,Storage Tank,Sample Tap At Well House,S,GW,ID,N/A
ID1090065,KANIKSU SHORES ESTATES,8:2 FTS,< MRL,1/16/2024,Storage Tank,Sample Tap At Well House,S,GW,ID,N/A
ID1090065,KANIKSU SHORES ESTATES,9Cl-PF3ONS,< MRL,1/16/2024,Storage Tank,Sample Tap At Well House,S,GW,ID,N/A
ID1090065,KANIKSU SHORES ESTATES,11Cl-PF3OUdS,< MRL,1/16/2024,Storage Tank,Sample Tap At Well House,S,GW,ID,N/A
ID1090065,KANIKSU SHORES ESTATES,ADONA,< MRL,1/16/2024,Storage Tank,Sample Tap At Well House,S,GW,ID,N/A
ID1090065,KANIKSU SHORES ESTATES,HFPO-DA,< MRL,1/16/2024,Storage Tank,Sample Tap At Well House,S,GW,ID,N/A
ID1090065,KANIKSU SHORES ESTATES,NEtFOSAA,< MRL,1/16/2024,Storage Tank,Sample Tap At Well House,S,GW,ID,N/A
ID1090065,KANIKSU SHORES ESTATES,NFDHA,< MRL,1/16/2024,Storage Tank,Sample Tap At Well House,S,GW,ID,N/A
ID1090065,KANIKSU SHORES ESTATES,NMeFOSAA,< MRL,1/16/2024,Storage Tank,Sample Tap At Well House,S,GW,ID,N/A
ID1090065,KANIKSU SHORES ESTATES,PFBA,< MRL,1/16/2024,Storage Tank,Sample Tap At Well House,S,GW,ID,N/A
ID1090065,KANIKSU SHORES ESTATES,PFBS,< MRL,1/16/2024,Storage Tank,Sample Tap At Well House,S,GW,ID,N/A
ID1090065,KANIKSU SHORES ESTATES,PFDA,< MRL,1/16/2024,Storage Tank,Sample Tap At Well House,S,GW,ID,N/A
ID1090065,KANIKSU SHORES ESTATES,PFDoA,< MRL,1/16/2024,Storage Tank,Sample Tap At Well House,S,GW,ID,N/A
