PWS ID,PWS Name,Contaminant,Result (µg/L),Collection Date,Facility Name,Sample Point Name,PWS Size,Facility Water Type,State,Result > Health-Based Ref Conc
IL0015300,MILL CREEK PWD,4:2 FTS,< MRL,6/6/2023,MILL CREEK PWD,TP02 - TREATMENT PLANT,S,GW,IL,N/A
IL0015300,MILL CREEK PWD,6:2 FTS,< MRL,6/6/2023,MILL CREEK PWD,TP02 - TREATMENT PLANT,S,GW,IL,N/A
IL0015300,MILL CREEK PWD,8:2 FTS,< MRL,6/6/2023,MILL CREEK PWD,TP02 - TREATMENT PLANT,S,GW,IL,N/A
IL0015300,MILL CREEK PWD,9Cl-PF3ONS,< MRL,6/6/2023,MILL CREEK PWD,TP02 - TREATMENT PLANT,S,GW,IL,N/A
IL0015300,MILL CREEK PWD,11Cl-PF3OUdS,< MRL,6/6/2023,MILL CREEK PWD,TP02 - TREATMENT PLANT,S,GW,IL,N/A
IL0015300,MILL CREEK PWD,ADONA,< MRL,6/6/2023,MILL CREEK PWD,TP02 - TREATMENT PLANT,S,GW,IL,N/A
IL0015300,MILL CREEK PWD,HFPO-DA,< MRL,6/6/2023,MILL CREEK PWD,TP02 - TREATMENT PLANT,S,GW,IL,N/A
IL0015300,MILL CREEK PWD,lithium,17,6/6/2023,MILL CREEK PWD,TP02 - TREATMENT PLANT,S,GW,IL,Y
IL0015300,MILL CREEK PWD,NEtFOSAA,< MRL,6/6/2023,MILL CREEK PWD,TP02 - TREATMENT PLANT,S,GW,IL,N/A
IL0015300,MILL CREEK PWD,NFDHA,< MRL,6/6/2023,MILL CREEK PWD,TP02 - TREATMENT PLANT,S,GW,IL,N/A
IL0015300,MILL CREEK PWD,NMeFOSAA,< MRL,6/6/2023,MILL CREEK PWD,TP02 - TREATMENT PLANT,S,GW,IL,N/A
IL0015300,MILL CREEK PWD,PFBA,< MRL,6/6/2023,MILL CREEK PWD,TP02 - TREATMENT PLANT,S,GW,IL,N/A
IL0015300,MILL CREEK PWD,PFBS,< MRL,6/6/2023,MILL CREEK PWD,TP02 - TREATMENT PLANT,S,GW,IL,N/A
IL0015300,MILL CREEK PWD,PFDA,< MRL,6/6/2023,MILL CREEK PWD,TP02 - TREATMENT PLANT,S,GW,IL,N/A
IL0015300,MILL CREEK PWD,PFDoA,< MRL,6/6/2023,MILL CREEK PWD,TP02 - TREATMENT PLANT,S,GW,IL,N/A
IL0015300,MILL CREEK PWD,PFEESA,< MRL,6/6/2023,MILL CREEK PWD,TP02 - TREATMENT PLANT,S,GW,IL,N/A
IL0015300,MILL CREEK PWD,PFHpA,< MRL,6/6/2023,MILL CREEK PWD,TP02 - TREATMENT PLANT,S,GW,IL,N/A
IL0015300,MILL CREEK PWD,PFHpS,< MRL,6/6/2023,MILL CREEK PWD,TP02 - TREATMENT PLANT,S,GW,IL,N/A
