PWS ID,PWS Name,Contaminant,Result (µg/L),Collection Date,Facility Name,Sample Point Name,PWS Size,Facility Water Type,State,Result > Health-Based Ref Conc
IN2100018,CHARLESTOWN/RIVER RIDGE,4:2 FTS,< MRL,1/10/2024,Treatment Plant#1,Post-treatment Sample Tap,S,GW,IN,N/A
IN2100018,CHARLESTOWN/RIVER RIDGE,6:2 FTS,< MRL,1/10/2024,Treatment Plant#1,Post-treatment Sample Tap,S,GW,IN,N/A
IN2100018,CHARLESTOWN/RIVER RIDGE,8:2 FTS,< MRL,1/10/2024,Treatment Plant#1,Post-treatment Sample Tap,S,GW,IN,N/A
IN2100018,CHARLESTOWN/RIVER RIDGE,9Cl-PF3ONS,< MRL,1/10/2024,Treatment Plant#1,Post-treatment Sample Tap,S,GW,IN,N/A
IN2100018,CHARLESTOWN/RIVER RIDGE,11Cl-PF3OUdS,< MRL,1/10/2024,Treatment Plant#1,Post-treatment Sample Tap,S,GW,IN,N/A
IN2100018,CHARLESTOWN/RIVER RIDGE,ADONA,< MRL,1/10/2024,Treatment Plant#1,Post-treatment Sample Tap,S,GW,IN,N/A
IN2100018,CHARLESTOWN/RIVER RIDGE,HFPO-DA,< MRL,1/10/2024,Treatment Plant#1,Post-treatment Sample Tap,S,GW,IN,N/A
IN2100018,CHARLESTOWN/RIVER RIDGE,lithium,< MRL,1/10/2024,Treatment Plant#1,Post-treatment Sample Tap,S,GW,IN,N
IN2100018,CHARLESTOWN/RIVER RIDGE,NEtFOSAA,< MRL,1/10/2024,Treatment Plant#1,Post-treatment Sample Tap,S,GW,IN,N/A
IN2100018,CHARLESTOWN/RIVER RIDGE,NFDHA,< MRL,1/10/2024,Treatment Plant#1,Post-treatment Sample Tap,S,GW,IN,N/A
IN2100018,CHARLESTOWN/RIVER RIDGE,NMeFOSAA,< MRL,1/10/2024,Treatment Plant#1,Post-treatment Sample Tap,S,GW,IN,N/A
IN2100018,CHARLESTOWN/RIVER RIDGE,PFBA,< MRL,1/10/2024,Treatment Plant#1,Post-treatment Sample Tap,S,GW,IN,N/A
IN2100018,CHARLESTOWN/RIVER RIDGE,PFBS,< MRL,1/10/2024,Treatment Plant#1,Post-treatment Sample Tap,S,GW,IN,N/A
IN2100018,CHARLESTOWN/RIVER RIDGE,PFDA,< MRL,1/10/2024,Treatment Plant#1,Post-treatment Sample Tap,S,GW,IN,N/A
