PWS ID,PWS Name,Contaminant,Result (µg/L),Collection Date,Facility Name,Sample Point Name,PWS Size,Facility Water Type,State,Result > Health-Based Ref Conc
IA0400900,RATHBUN REGIONAL WATER ASSN (RATHBUN),lithium,< MRL,11/15/2023,Chariton River @ Plant after Treatment,Plant Tap,L,SW,IA,N
IA0400900,RATHBUN REGIONAL WATER ASSN (RATHBUN),lithium,< MRL,11/15/2023,Rathbun Lake Caisson @ Plant After Treatment,Plant Tap,L,SW,IA,N
IA0400900,RATHBUN REGIONAL WATER ASSN (RATHBUN),NEtFOSAA,< MRL,11/15/2023,Chariton River @ Plant after Treatment,Plant Tap,L,SW,IA,N/A
IA0400900,RATHBUN REGIONAL WATER ASSN (RATHBUN),NEtFOSAA,< MRL,11/15/2023,Rathbun Lake Caisson @ Plant After Treatment,Plant Tap,L,SW,IA,N/A
IA0400900,RATHBUN REGIONAL WATER ASSN (RATHBUN),NMeFOSAA,< MRL,11/15/2023,Chariton River @ Plant after Treatment,Plant Tap,L,SW,IA,N/A
IA0400900,RATHBUN REGIONAL WATER ASSN (RATHBUN),NMeFOSAA,< MRL,11/15/2023,Rathbun Lake Caisson @ Plant After Treatment,Plant Tap,L,SW,IA,N/A
IA0400900,RATHBUN REGIONAL WATER ASSN (RATHBUN),PFTA,< MRL,11/15/2023,Chariton River @ Plant after Treatment,Plant Tap,L,SW,IA,N/A
IA0400900,RATHBUN REGIONAL WATER ASSN (RATHBUN),PFTA,< MRL,11/15/2023,Rathbun Lake Caisson @ Plant After Treatment,Plant Tap,L,SW,IA,N/A
IA0400900,RATHBUN REGIONAL WATER ASSN (RATHBUN),PFTrDA,< MRL,11/15/2023,Chariton River @ Plant after Treatment,Plant Tap,L,SW,IA,N/A
IA0400900,RATHBUN REGIONAL WATER ASSN (RATHBUN),PFTrDA,< MRL,11/15/2023,Rathbun Lake Caisson @ Plant After Treatment,Plant Tap,L,SW,IA,N/A
IA0400900,RATHBUN REGIONAL WATER ASSN (RATHBUN),lithium,< MRL,2/13/2024,Chariton River @ Plant after Treatment,Plant Tap,L,SW,IA,N
IA0400900,RATHBUN REGIONAL WATER ASSN (RATHBUN),lithium,< MRL,2/13/2024,Rathbun Lake Caisson @ Plant After Treatment,Plant Tap,L,SW,IA,N
IA0400900,RATHBUN REGIONAL WATER ASSN (RATHBUN),NEtFOSAA,< MRL,2/13/2024,Chariton River @ Plant after Treatment,Plant Tap,L,SW,IA,N/A
IA0400900,RATHBUN REGIONAL WATER ASSN (RATHBUN),NEtFOSAA,< MRL,2/13/2024,Rathbun Lake Caisson @ Plant After Treatment,Plant Tap,L,SW,IA,N/A
IA0400900,RATHBUN REGIONAL WATER ASSN (RATHBUN),NMeFOSAA,< MRL,2/13/2024,Chariton River @ Plant after Treatment,Plant Tap,L,SW,IA,N/A
IA0400900,RATHBUN REGIONAL WATER ASSN (RATHBUN),NMeFOSAA,< MRL,2/13/2024,Rathbun Lake Caisson @ Plant After Treatment,Plant Tap,L,SW,IA,N/A
IA0400900,RATHBUN REGIONAL WATER ASSN (RATHBUN),PFTA,< MRL,2/13/2024,Chariton River @ Plant after Treatment,Plant Tap,L,SW,IA,N/A
IA0400900,RATHBUN REGIONAL WATER ASSN (RATHBUN),PFTA,< MRL,2/13/2024,Rathbun Lake Caisson @ Plant After Treatment,Plant Tap,L,SW,IA,N/A
IA0400900,RATHBUN REGIONAL WATER ASSN (RATHBUN),PFTrDA,< MRL,2/13/2024,Chariton River @ Plant after Treatment,Plant Tap,L,SW,IA,N/A
IA0400900,RATHBUN REGIONAL WATER ASSN (RATHBUN),PFTrDA,< MRL,2/13/2024,Rathbun Lake Caisson @ Plant After Treatment,Plant Tap,L,SW,IA,N/A
IA0400901,RATHBUN REG WATER ASSN (FT MADISON),4:2 FTS,< MRL,12/13/2023,Sampling Station @ Booster 43,Booster #43-2462 353rd Street in Keokuk,L,SW,IA,N/A
IA0400901,RATHBUN REG WATER ASSN (FT MADISON),4:2 FTS,< MRL,12/13/2023,Sampling Station @ Booster 34,Booster #34-77 Airport Road in Fort Madison,L,GW,IA,N/A
IA0400901,RATHBUN REG WATER ASSN (FT MADISON),6:2 FTS,< MRL,12/13/2023,Sampling Station @ Booster 43,Booster #43-2462 353rd Street in Keokuk,L,SW,IA,N/A
IA0400901,RATHBUN REG WATER ASSN (FT MADISON),6:2 FTS,< MRL,12/13/2023,Sampling Station @ Booster 34,Booster #34-77 Airport Road in Fort Madison,L,GW,IA,N/A
IA0400901,RATHBUN REG WATER ASSN (FT MADISON),8:2 FTS,< MRL,12/13/2023,Sampling Station @ Booster 43,Booster #43-2462 353rd Street in Keokuk,L,SW,IA,N/A
IA0400901,RATHBUN REG WATER ASSN (FT MADISON),8:2 FTS,< MRL,12/13/2023,Sampling Station @ Booster 34,Booster #34-77 Airport Road in Fort Madison,L,GW,IA,N/A
IA0400901,RATHBUN REG WATER ASSN (FT MADISON),9Cl-PF3ONS,< MRL,12/13/2023,Sampling Station @ Booster 43,Booster #43-2462 353rd Street in Keokuk,L,SW,IA,N/A
IA0400901,RATHBUN REG WATER ASSN (FT MADISON),9Cl-PF3ONS,< MRL,12/13/2023,Sampling Station @ Booster 34,Booster #34-77 Airport Road in Fort Madison,L,GW,IA,N/A
IA0400901,RATHBUN REG WATER ASSN (FT MADISON),11Cl-PF3OUdS,< MRL,12/13/2023,Sampling Station @ Booster 43,Booster #43-2462 353rd Street in Keokuk,L,SW,IA,N/A
IA0400901,RATHBUN REG WATER ASSN (FT MADISON),11Cl-PF3OUdS,< MRL,12/13/2023,Sampling Station @ Booster 34,Booster #34-77 Airport Road in Fort Madison,L,GW,IA,N/A
IA0400901,RATHBUN REG WATER ASSN (FT MADISON),ADONA,< MRL,12/13/2023,Sampling Station @ Booster 43,Booster #43-2462 353rd Street in Keokuk,L,SW,IA,N/A
IA0400901,RATHBUN REG WATER ASSN (FT MADISON),ADONA,< MRL,12/13/2023,Sampling Station @ Booster 34,Booster #34-77 Airport Road in Fort Madison,L,GW,IA,N/A
IA0400901,RATHBUN REG WATER ASSN (FT MADISON),HFPO-DA,< MRL,12/13/2023,Sampling Station @ Booster 43,Booster #43-2462 353rd Street in Keokuk,L,SW,IA,N/A
IA0400901,RATHBUN REG WATER ASSN (FT MADISON),HFPO-DA,< MRL,12/13/2023,Sampling Station @ Booster 34,Booster #34-77 Airport Road in Fort Madison,L,GW,IA,N/A
IA0400901,RATHBUN REG WATER ASSN (FT MADISON),lithium,< MRL,12/13/2023,Sampling Station @ Booster 43,Booster #43-2462 353rd Street in Keokuk,L,SW,IA,N
IA0400901,RATHBUN REG WATER ASSN (FT MADISON),lithium,< MRL,12/13/2023,Sampling Station @ Booster 34,Booster #34-77 Airport Road in Fort Madison,L,GW,IA,N
IA0400901,RATHBUN REG WATER ASSN (FT MADISON),NEtFOSAA,< MRL,12/13/2023,Sampling Station @ Booster 43,Booster #43-2462 353rd Street in Keokuk,L,SW,IA,N/A
IA0400901,RATHBUN REG WATER ASSN (FT MADISON),NEtFOSAA,< MRL,12/13/2023,Sampling Station @ Booster 34,Booster #34-77 Airport Road in Fort Madison,L,GW,IA,N/A
IA0400901,RATHBUN REG WATER ASSN (FT MADISON),NFDHA,< MRL,12/13/2023,Sampling Station @ Booster 43,Booster #43-2462 353rd Street in Keokuk,L,SW,IA,N/A
IA0400901,RATHBUN REG WATER ASSN (FT MADISON),NFDHA,< MRL,12/13/2023,Sampling Station @ Booster 34,Booster #34-77 Airport Road in Fort Madison,L,GW,IA,N/A
IA0400901,RATHBUN REG WATER ASSN (FT MADISON),NMeFOSAA,< MRL,12/13/2023,Sampling Station @ Booster 43,Booster #43-2462 353rd Street in Keokuk,L,SW,IA,N/A
IA0400901,RATHBUN REG WATER ASSN (FT MADISON),NMeFOSAA,< MRL,12/13/2023,Sampling Station @ Booster 34,Booster #34-77 Airport Road in Fort Madison,L,GW,IA,N/A
IA0400901,RATHBUN REG WATER ASSN (FT MADISON),PFBA,0.012,12/13/2023,Sampling Station @ Booster 43,Booster #43-2462 353rd Street in Keokuk,L,SW,IA,N/A
IA0400901,RATHBUN REG WATER ASSN (FT MADISON),PFBA,< MRL,12/13/2023,Sampling Station @ Booster 34,Booster #34-77 Airport Road in Fort Madison,L,GW,IA,N/A
IA0400901,RATHBUN REG WATER ASSN (FT MADISON),PFBS,< MRL,12/13/2023,Sampling Station @ Booster 43,Booster #43-2462 353rd Street in Keokuk,L,SW,IA,N/A
IA0400901,RATHBUN REG WATER ASSN (FT MADISON),PFBS,< MRL,12/13/2023,Sampling Station @ Booster 34,Booster #34-77 Airport Road in Fort Madison,L,GW,IA,N/A
IA0400901,RATHBUN REG WATER ASSN (FT MADISON),PFDA,< MRL,12/13/2023,Sampling Station @ Booster 43,Booster #43-2462 353rd Street in Keokuk,L,SW,IA,N/A
IA0400901,RATHBUN REG WATER ASSN (FT MADISON),PFDA,< MRL,12/13/2023,Sampling Station @ Booster 34,Booster #34-77 Airport Road in Fort Madison,L,GW,IA,N/A
IA0400901,RATHBUN REG WATER ASSN (FT MADISON),PFDoA,< MRL,12/13/2023,Sampling Station @ Booster 43,Booster #43-2462 353rd Street in Keokuk,L,SW,IA,N/A
IA0400901,RATHBUN REG WATER ASSN (FT MADISON),PFDoA,< MRL,12/13/2023,Sampling Station @ Booster 34,Booster #34-77 Airport Road in Fort Madison,L,GW,IA,N/A
IA0400901,RATHBUN REG WATER ASSN (FT MADISON),PFEESA,< MRL,12/13/2023,Sampling Station @ Booster 43,Booster #43-2462 353rd Street in Keokuk,L,SW,IA,N/A
IA0400901,RATHBUN REG WATER ASSN (FT MADISON),PFEESA,< MRL,12/13/2023,Sampling Station @ Booster 34,Booster #34-77 Airport Road in Fort Madison,L,GW,IA,N/A
IA0400901,RATHBUN REG WATER ASSN (FT MADISON),PFHpA,< MRL,12/13/2023,Sampling Station @ Booster 43,Booster #43-2462 353rd Street in Keokuk,L,SW,IA,N/A
IA0400901,RATHBUN REG WATER ASSN (FT MADISON),PFHpA,< MRL,12/13/2023,Sampling Station @ Booster 34,Booster #34-77 Airport Road in Fort Madison,L,GW,IA,N/A
IA0400901,RATHBUN REG WATER ASSN (FT MADISON),PFHpS,< MRL,12/13/2023,Sampling Station @ Booster 43,Booster #43-2462 353rd Street in Keokuk,L,SW,IA,N/A
IA0400901,RATHBUN REG WATER ASSN (FT MADISON),PFHpS,< MRL,12/13/2023,Sampling Station @ Booster 34,Booster #34-77 Airport Road in Fort Madison,L,GW,IA,N/A
IA0400901,RATHBUN REG WATER ASSN (FT MADISON),PFHxA,< MRL,12/13/2023,Sampling Station @ Booster 43,Booster #43-2462 353rd Street in Keokuk,L,SW,IA,N/A
IA0400901,RATHBUN REG WATER ASSN (FT MADISON),PFHxA,< MRL,12/13/2023,Sampling Station @ Booster 34,Booster #34-77 Airport Road in Fort Madison,L,GW,IA,N/A
IA0400901,RATHBUN REG WATER ASSN (FT MADISON),PFHxS,< MRL,12/13/2023,Sampling Station @ Booster 43,Booster #43-2462 353rd Street in Keokuk,L,SW,IA,N/A
IA0400901,RATHBUN REG WATER ASSN (FT MADISON),PFHxS,< MRL,12/13/2023,Sampling Station @ Booster 34,Booster #34-77 Airport Road in Fort Madison,L,GW,IA,N/A
IA0400901,RATHBUN REG WATER ASSN (FT MADISON),PFMBA,< MRL,12/13/2023,Sampling Station @ Booster 43,Booster #43-2462 353rd Street in Keokuk,L,SW,IA,N/A
IA0400901,RATHBUN REG WATER ASSN (FT MADISON),PFMBA,< MRL,12/13/2023,Sampling Station @ Booster 34,Booster #34-77 Airport Road in Fort Madison,L,GW,IA,N/A
IA0400901,RATHBUN REG WATER ASSN (FT MADISON),PFMPA,< MRL,12/13/2023,Sampling Station @ Booster 43,Booster #43-2462 353rd Street in Keokuk,L,SW,IA,N/A
IA0400901,RATHBUN REG WATER ASSN (FT MADISON),PFMPA,< MRL,12/13/2023,Sampling Station @ Booster 34,Booster #34-77 Airport Road in Fort Madison,L,GW,IA,N/A
IA0400901,RATHBUN REG WATER ASSN (FT MADISON),PFNA,< MRL,12/13/2023,Sampling Station @ Booster 43,Booster #43-2462 353rd Street in Keokuk,L,SW,IA,N/A
IA0400901,RATHBUN REG WATER ASSN (FT MADISON),PFNA,< MRL,12/13/2023,Sampling Station @ Booster 34,Booster #34-77 Airport Road in Fort Madison,L,GW,IA,N/A
IA0400901,RATHBUN REG WATER ASSN (FT MADISON),PFOA,< MRL,12/13/2023,Sampling Station @ Booster 43,Booster #43-2462 353rd Street in Keokuk,L,SW,IA,N/A
IA0400901,RATHBUN REG WATER ASSN (FT MADISON),PFOA,< MRL,12/13/2023,Sampling Station @ Booster 34,Booster #34-77 Airport Road in Fort Madison,L,GW,IA,N/A
IA0400901,RATHBUN REG WATER ASSN (FT MADISON),PFOS,< MRL,12/13/2023,Sampling Station @ Booster 43,Booster #43-2462 353rd Street in Keokuk,L,SW,IA,N/A
IA0400901,RATHBUN REG WATER ASSN (FT MADISON),PFOS,< MRL,12/13/2023,Sampling Station @ Booster 34,Booster #34-77 Airport Road in Fort Madison,L,GW,IA,N/A
IA0400901,RATHBUN REG WATER ASSN (FT MADISON),PFPeA,< MRL,12/13/2023,Sampling Station @ Booster 43,Booster #43-2462 353rd Street in Keokuk,L,SW,IA,N/A
IA0400901,RATHBUN REG WATER ASSN (FT MADISON),PFPeA,< MRL,12/13/2023,Sampling Station @ Booster 34,Booster #34-77 Airport Road in Fort Madison,L,GW,IA,N/A
IA0400901,RATHBUN REG WATER ASSN (FT MADISON),PFPeS,< MRL,12/13/2023,Sampling Station @ Booster 43,Booster #43-2462 353rd Street in Keokuk,L,SW,IA,N/A
IA0400901,RATHBUN REG WATER ASSN (FT MADISON),PFPeS,< MRL,12/13/2023,Sampling Station @ Booster 34,Booster #34-77 Airport Road in Fort Madison,L,GW,IA,N/A
IA0400901,RATHBUN REG WATER ASSN (FT MADISON),PFTA,< MRL,12/13/2023,Sampling Station @ Booster 43,Booster #43-2462 353rd Street in Keokuk,L,SW,IA,N/A
IA0400901,RATHBUN REG WATER ASSN (FT MADISON),PFTA,< MRL,12/13/2023,Sampling Station @ Booster 34,Booster #34-77 Airport Road in Fort Madison,L,GW,IA,N/A
IA0400901,RATHBUN REG WATER ASSN (FT MADISON),PFTrDA,< MRL,12/13/2023,Sampling Station @ Booster 43,Booster #43-2462 353rd Street in Keokuk,L,SW,IA,N/A
IA0400901,RATHBUN REG WATER ASSN (FT MADISON),PFTrDA,< MRL,12/13/2023,Sampling Station @ Booster 34,Booster #34-77 Airport Road in Fort Madison,L,GW,IA,N/A
IA0400901,RATHBUN REG WATER ASSN (FT MADISON),PFUnA,< MRL,12/13/2023,Sampling Station @ Booster 43,Booster #43-2462 353rd Street in Keokuk,L,SW,IA,N/A
IA0400901,RATHBUN REG WATER ASSN (FT MADISON),PFUnA,< MRL,12/13/2023,Sampling Station @ Booster 34,Booster #34-77 Airport Road in Fort Madison,L,GW,IA,N/A
IA0688053,VINTON MUNICIPAL WATER DEPT,4:2 FTS,< MRL,3/13/2023,VINTON MUNICIPAL WATER DEPT,LAB SINK,S,GW,IA,N/A
IA0688053,VINTON MUNICIPAL WATER DEPT,6:2 FTS,< MRL,3/13/2023,VINTON MUNICIPAL WATER DEPT,LAB SINK,S,GW,IA,N/A
IA0688053,VINTON MUNICIPAL WATER DEPT,8:2 FTS,< MRL,3/13/2023,VINTON MUNICIPAL WATER DEPT,LAB SINK,S,GW,IA,N/A
IA0688053,VINTON MUNICIPAL WATER DEPT,9Cl-PF3ONS,< MRL,3/13/2023,VINTON MUNICIPAL WATER DEPT,LAB SINK,S,GW,IA,N/A
IA0688053,VINTON MUNICIPAL WATER DEPT,11Cl-PF3OUdS,< MRL,3/13/2023,VINTON MUNICIPAL WATER DEPT,LAB SINK,S,GW,IA,N/A
IA0688053,VINTON MUNICIPAL WATER DEPT,ADONA,< MRL,3/13/2023,VINTON MUNICIPAL WATER DEPT,LAB SINK,S,GW,IA,N/A
IA0688053,VINTON MUNICIPAL WATER DEPT,HFPO-DA,< MRL,3/13/2023,VINTON MUNICIPAL WATER DEPT,LAB SINK,S,GW,IA,N/A
IA0688053,VINTON MUNICIPAL WATER DEPT,lithium,< MRL,3/13/2023,VINTON MUNICIPAL WATER DEPT,LAB SINK,S,GW,IA,N
IA0688053,VINTON MUNICIPAL WATER DEPT,NEtFOSAA,< MRL,3/13/2023,VINTON MUNICIPAL WATER DEPT,LAB SINK,S,GW,IA,N/A
IA0688053,VINTON MUNICIPAL WATER DEPT,NFDHA,< MRL,3/13/2023,VINTON MUNICIPAL WATER DEPT,LAB SINK,S,GW,IA,N/A
IA0688053,VINTON MUNICIPAL WATER DEPT,NMeFOSAA,< MRL,3/13/2023,VINTON MUNICIPAL WATER DEPT,LAB SINK,S,GW,IA,N/A
IA0688053,VINTON MUNICIPAL WATER DEPT,PFBA,< MRL,3/13/2023,VINTON MUNICIPAL WATER DEPT,LAB SINK,S,GW,IA,N/A
IA0688053,VINTON MUNICIPAL WATER DEPT,PFBS,< MRL,3/13/2023,VINTON MUNICIPAL WATER DEPT,LAB SINK,S,GW,IA,N/A
IA0688053,VINTON MUNICIPAL WATER DEPT,PFDA,< MRL,3/13/2023,VINTON MUNICIPAL WATER DEPT,LAB SINK,S,GW,IA,N/A
IA0688053,VINTON MUNICIPAL WATER DEPT,PFDoA,< MRL,3/13/2023,VINTON MUNICIPAL WATER DEPT,LAB SINK,S,GW,IA,N/A
IA0688053,VINTON MUNICIPAL WATER DEPT,PFEESA,< MRL,3/13/2023,VINTON MUNICIPAL WATER DEPT,LAB SINK,S,GW,IA,N/A
IA0688053,VINTON MUNICIPAL WATER DEPT,PFHpA,< MRL,3/13/2023,VINTON MUNICIPAL WATER DEPT,LAB SINK,S,GW,IA,N/A
IA0688053,VINTON MUNICIPAL WATER DEPT,PFHpS,< MRL,3/13/2023,VINTON MUNICIPAL WATER DEPT,LAB SINK,S,GW,IA,N/A
IA0688053,VINTON MUNICIPAL WATER DEPT,PFHxA,< MRL,3/13/2023,VINTON MUNICIPAL WATER DEPT,LAB SINK,S,GW,IA,N/A
IA0688053,VINTON MUNICIPAL WATER DEPT,PFHxS,< MRL,3/13/2023,VINTON MUNICIPAL WATER DEPT,LAB SINK,S,GW,IA,N/A
IA0688053,VINTON MUNICIPAL WATER DEPT,PFMBA,< MRL,3/13/2023,VINTON MUNICIPAL WATER DEPT,LAB SINK,S,GW,IA,N/A
IA0688053,VINTON MUNICIPAL WATER DEPT,PFMPA,< MRL,3/13/2023,VINTON MUNICIPAL WATER DEPT,LAB SINK,S,GW,IA,N/A
IA0688053,VINTON MUNICIPAL WATER DEPT,PFNA,< MRL,3/13/2023,VINTON MUNICIPAL WATER DEPT,LAB SINK,S,GW,IA,N/A
IA0688053,VINTON MUNICIPAL WATER DEPT,PFOA,< MRL,3/13/2023,VINTON MUNICIPAL WATER DEPT,LAB SINK,S,GW,IA,N/A
IA0688053,VINTON MUNICIPAL WATER DEPT,PFOS,< MRL,3/13/2023,VINTON MUNICIPAL WATER DEPT,LAB SINK,S,GW,IA,N/A
IA0688053,VINTON MUNICIPAL WATER DEPT,PFPeA,< MRL,3/13/2023,VINTON MUNICIPAL WATER DEPT,LAB SINK,S,GW,IA,N/A
IA0688053,VINTON MUNICIPAL WATER DEPT,PFPeS,< MRL,3/13/2023,VINTON MUNICIPAL WATER DEPT,LAB SINK,S,GW,IA,N/A
IA0688053,VINTON MUNICIPAL WATER DEPT,PFTA,< MRL,3/13/2023,VINTON MUNICIPAL WATER DEPT,LAB SINK,S,GW,IA,N/A
IA0688053,VINTON MUNICIPAL WATER DEPT,PFTrDA,< MRL,3/13/2023,VINTON MUNICIPAL WATER DEPT,LAB SINK,S,GW,IA,N/A
IA0688053,VINTON MUNICIPAL WATER DEPT,PFUnA,< MRL,3/13/2023,VINTON MUNICIPAL WATER DEPT,LAB SINK,S,GW,IA,N/A
IA0688053,VINTON MUNICIPAL WATER DEPT,4:2 FTS,< MRL,9/11/2023,VINTON MUNICIPAL WATER DEPT,LAB SINK,S,GW,IA,N/A
IA0688053,VINTON MUNICIPAL WATER DEPT,6:2 FTS,< MRL,9/11/2023,VINTON MUNICIPAL WATER DEPT,LAB SINK,S,GW,IA,N/A
IA0688053,VINTON MUNICIPAL WATER DEPT,8:2 FTS,< MRL,9/11/2023,VINTON MUNICIPAL WATER DEPT,LAB SINK,S,GW,IA,N/A
IA0688053,VINTON MUNICIPAL WATER DEPT,9Cl-PF3ONS,< MRL,9/11/2023,VINTON MUNICIPAL WATER DEPT,LAB SINK,S,GW,IA,N/A
IA0688053,VINTON MUNICIPAL WATER DEPT,11Cl-PF3OUdS,< MRL,9/11/2023,VINTON MUNICIPAL WATER DEPT,LAB SINK,S,GW,IA,N/A
IA0688053,VINTON MUNICIPAL WATER DEPT,ADONA,< MRL,9/11/2023,VINTON MUNICIPAL WATER DEPT,LAB SINK,S,GW,IA,N/A
IA0688053,VINTON MUNICIPAL WATER DEPT,HFPO-DA,< MRL,9/11/2023,VINTON MUNICIPAL WATER DEPT,LAB SINK,S,GW,IA,N/A
IA0688053,VINTON MUNICIPAL WATER DEPT,lithium,< MRL,9/11/2023,VINTON MUNICIPAL WATER DEPT,LAB SINK,S,GW,IA,N
IA0688053,VINTON MUNICIPAL WATER DEPT,NEtFOSAA,< MRL,9/11/2023,VINTON MUNICIPAL WATER DEPT,LAB SINK,S,GW,IA,N/A
IA0688053,VINTON MUNICIPAL WATER DEPT,NFDHA,< MRL,9/11/2023,VINTON MUNICIPAL WATER DEPT,LAB SINK,S,GW,IA,N/A
IA0688053,VINTON MUNICIPAL WATER DEPT,NMeFOSAA,< MRL,9/11/2023,VINTON MUNICIPAL WATER DEPT,LAB SINK,S,GW,IA,N/A
IA0688053,VINTON MUNICIPAL WATER DEPT,PFBA,< MRL,9/11/2023,VINTON MUNICIPAL WATER DEPT,LAB SINK,S,GW,IA,N/A
IA0688053,VINTON MUNICIPAL WATER DEPT,PFBS,< MRL,9/11/2023,VINTON MUNICIPAL WATER DEPT,LAB SINK,S,GW,IA,N/A
IA0688053,VINTON MUNICIPAL WATER DEPT,PFDA,< MRL,9/11/2023,VINTON MUNICIPAL WATER DEPT,LAB SINK,S,GW,IA,N/A
IA0688053,VINTON MUNICIPAL WATER DEPT,PFDoA,< MRL,9/11/2023,VINTON MUNICIPAL WATER DEPT,LAB SINK,S,GW,IA,N/A
IA0688053,VINTON MUNICIPAL WATER DEPT,PFEESA,< MRL,9/11/2023,VINTON MUNICIPAL WATER DEPT,LAB SINK,S,GW,IA,N/A
IA0688053,VINTON MUNICIPAL WATER DEPT,PFHpA,< MRL,9/11/2023,VINTON MUNICIPAL WATER DEPT,LAB SINK,S,GW,IA,N/A
IA0688053,VINTON MUNICIPAL WATER DEPT,PFHpS,< MRL,9/11/2023,VINTON MUNICIPAL WATER DEPT,LAB SINK,S,GW,IA,N/A
IA0688053,VINTON MUNICIPAL WATER DEPT,PFHxA,< MRL,9/11/2023,VINTON MUNICIPAL WATER DEPT,LAB SINK,S,GW,IA,N/A
