PWS ID,PWS Name,Contaminant,Result (µg/L),Collection Date,Facility Name,Sample Point Name,PWS Size,Facility Water Type,State,Result > Health-Based Ref Conc
KY0020386,SCOTTSVILLE WATER DEPARTMENT,4:2 FTS,< MRL,3/8/2023,SCOTTSVILLE WATER DEPARTMENT,ENTRY POINT/PLNT TAP,S,SW,KY,N/A
KY0020386,SCOTTSVILLE WATER DEPARTMENT,6:2 FTS,< MRL,3/8/2023,SCOTTSVILLE WATER DEPARTMENT,ENTRY POINT/PLNT TAP,S,SW,KY,N/A
KY0020386,SCOTTSVILLE WATER DEPARTMENT,8:2 FTS,< MRL,3/8/2023,SCOTTSVILLE WATER DEPARTMENT,ENTRY POINT/PLNT TAP,S,SW,KY,N/A
KY0020386,SCOTTSVILLE WATER DEPARTMENT,9Cl-PF3ONS,< MRL,3/8/2023,SCOTTSVILLE WATER DEPARTMENT,ENTRY POINT/PLNT TAP,S,SW,KY,N/A
KY0020386,SCOTTSVILLE WATER DEPARTMENT,11Cl-PF3OUdS,< MRL,3/8/2023,SCOTTSVILLE WATER DEPARTMENT,ENTRY POINT/PLNT TAP,S,SW,KY,N/A
KY0020386,SCOTTSVILLE WATER DEPARTMENT,ADONA,< MRL,3/8/2023,SCOTTSVILLE WATER DEPARTMENT,ENTRY POINT/PLNT TAP,S,SW,KY,N/A
KY0020386,SCOTTSVILLE WATER DEPARTMENT,HFPO-DA,< MRL,3/8/2023,SCOTTSVILLE WATER DEPARTMENT,ENTRY POINT/PLNT TAP,S,SW,KY,N/A
KY0020386,SCOTTSVILLE WATER DEPARTMENT,lithium,< MRL,3/8/2023,SCOTTSVILLE WATER DEPARTMENT,ENTRY POINT/PLNT TAP,S,SW,KY,N
KY0020386,SCOTTSVILLE WATER DEPARTMENT,NEtFOSAA,< MRL,3/8/2023,SCOTTSVILLE WATER DEPARTMENT,ENTRY POINT/PLNT TAP,S,SW,KY,N/A
KY0020386,SCOTTSVILLE WATER DEPARTMENT,NFDHA,< MRL,3/8/2023,SCOTTSVILLE WATER DEPARTMENT,ENTRY POINT/PLNT TAP,S,SW,KY,N/A
