PWS ID,PWS Name,Contaminant,Result (µg/L),Health-Based Ref Conc (µg/L),Collection Date,Facility ID,Facility Name,Sample Point ID,Sample Point Name,Sample Event Code,Sample ID,Method ID,PWS Size,Facility Water Type,Sample Point Type,EPA Region,State,Result > Health-Based Ref Conc
LA1001001,TOWN OF CHURCH POINT WATER SYSTEM,lithium,11.9,10,2/5/2024,TP001,TOWN OF CHURCH POINT WATER SYSTEM,4BXP,125 SOUTH GUIDRY,SE1,112907P,EPA 200.7,S,GW,EP,Region 6,LA,N
LA1001002,CROWLEY WATER SYSTEM (LAWCO),4:2 FTS,< MRL,,12/5/2023,44001,Treatment for Wells,4AHU,Tap along Clay St. from Clearwell,SE1,35845993001SE1,EPA 533,L,GW,EP,Region 6,LA,N/A
LA1001002,CROWLEY WATER SYSTEM (LAWCO),6:2 FTS,< MRL,,12/5/2023,44001,Treatment for Wells,4AHU,Tap along Clay St. from Clearwell,SE1,35845993001SE1,EPA 533,L,GW,EP,Region 6,LA,N/A
LA1001002,CROWLEY WATER SYSTEM (LAWCO),8:2 FTS,< MRL,,12/5/2023,44001,Treatment for Wells,4AHU,Tap along Clay St. from Clearwell,SE1,35845993001SE1,EPA 533,L,GW,EP,Region 6,LA,N/A
LA1001002,CROWLEY WATER SYSTEM (LAWCO),9Cl-PF3ONS,< MRL,,12/5/2023,44001,Treatment for Wells,4AHU,Tap along Clay St. from Clearwell,SE1,35845993001SE1,EPA 533,L,GW,EP,Region 6,LA,N/A
LA1001002,CROWLEY WATER SYSTEM (LAWCO),11Cl-PF3OUdS,< MRL,,12/5/2023,44001,Treatment for Wells,4AHU,Tap along Clay St. from Clearwell,SE1,35845993001SE1,EPA 533,L,GW,EP,Region 6,LA,N/A
LA1001002,CROWLEY WATER SYSTEM (LAWCO),ADONA,< MRL,,12/5/2023,44001,Treatment for Wells,4AHU,Tap along Clay St. from Clearwell,SE1,35845993001SE1,EPA 533,L,GW,EP,Region 6,LA,N/A
LA1001002,CROWLEY WATER SYSTEM (LAWCO),HFPO-DA,< MRL,,12/5/2023,44001,Treatment for Wells,4AHU,Tap along Clay St. from Clearwell,SE1,35845993001SE1,EPA 533,L,GW,EP,Region 6,LA,N/A
LA1001002,CROWLEY WATER SYSTEM (LAWCO),lithium,25.9,10,12/5/2023,44001,Treatment for Wells,4AHU,Tap along Clay St. from Clearwell,SE1,35845993001SE1,EPA 200.7,L,GW,EP,Region 6,LA,Y
LA1001002,CROWLEY WATER SYSTEM (LAWCO),NEtFOSAA,< MRL,,12/5/2023,44001,Treatment for Wells,4AHU,Tap along Clay St. from Clearwell,SE1,35845993001SE1,EPA 537.1,L,GW,EP,Region 6,LA,N/A
LA1001002,CROWLEY WATER SYSTEM (LAWCO),NFDHA,< MRL,,12/5/2023,44001,Treatment for Wells,4AHU,Tap along Clay St. from Clearwell,SE1,35845993001SE1,EPA 533,L,GW,EP,Region 6,LA,N/A
LA1001002,CROWLEY WATER SYSTEM (LAWCO),NMeFOSAA,< MRL,,12/5/2023,44001,Treatment for Wells,4AHU,Tap along Clay St. from Clearwell,SE1,35845993001SE1,EPA 537.1,L,GW,EP,Region 6,LA,N/A
LA1001002,CROWLEY WATER SYSTEM (LAWCO),PFBA,< MRL,,12/5/2023,44001,Treatment for Wells,4AHU,Tap along Clay St. from Clearwell,SE1,35845993001SE1,EPA 533,L,GW,EP,Region 6,LA,N/A
LA1001002,CROWLEY WATER SYSTEM (LAWCO),PFBS,< MRL,,12/5/2023,44001,Treatment for Wells,4AHU,Tap along Clay St. from Clearwell,SE1,35845993001SE1,EPA 533,L,GW,EP,Region 6,LA,N/A
LA1001002,CROWLEY WATER SYSTEM (LAWCO),PFDA,< MRL,,12/5/2023,44001,Treatment for Wells,4AHU,Tap along Clay St. from Clearwell,SE1,35845993001SE1,EPA 533,L,GW,EP,Region 6,LA,N/A
LA1001002,CROWLEY WATER SYSTEM (LAWCO),PFDoA,< MRL,,12/5/2023,44001,Treatment for Wells,4AHU,Tap along Clay St. from Clearwell,SE1,35845993001SE1,EPA 533,L,GW,EP,Region 6,LA,N/A
LA1001002,CROWLEY WATER SYSTEM (LAWCO),PFEESA,< MRL,,12/5/2023,44001,Treatment for Wells,4AHU,Tap along Clay St. from Clearwell,SE1,35845993001SE1,EPA 533,L,GW,EP,Region 6,LA,N/A
LA1001002,CROWLEY WATER SYSTEM (LAWCO),PFHpA,< MRL,,12/5/2023,44001,Treatment for Wells,4AHU,Tap along Clay St. from Clearwell,SE1,35845993001SE1,EPA 533,L,GW,EP,Region 6,LA,N/A
LA1001002,CROWLEY WATER SYSTEM (LAWCO),PFHpS,< MRL,,12/5/2023,44001,Treatment for Wells,4AHU,Tap along Clay St. from Clearwell,SE1,35845993001SE1,EPA 533,L,GW,EP,Region 6,LA,N/A
LA1001002,CROWLEY WATER SYSTEM (LAWCO),PFHxA,< MRL,,12/5/2023,44001,Treatment for Wells,4AHU,Tap along Clay St. from Clearwell,SE1,35845993001SE1,EPA 533,L,GW,EP,Region 6,LA,N/A
LA1001002,CROWLEY WATER SYSTEM (LAWCO),PFHxS,< MRL,,12/5/2023,44001,Treatment for Wells,4AHU,Tap along Clay St. from Clearwell,SE1,35845993001SE1,EPA 533,L,GW,EP,Region 6,LA,N/A
