PWS ID,PWS Name,Contaminant,Result (µg/L),Collection Date,Facility Name,Sample Point Name,PWS Size,Facility Water Type,State,Result > Health-Based Ref Conc
ME0090070,"AUBURN WATER DISTRICT, ME",4:2 FTS,< MRL,9/19/2023,Chloramines Facility,EPTDS AWD,L,SW,ME,N/A
ME0090070,"AUBURN WATER DISTRICT, ME",6:2 FTS,< MRL,9/19/2023,Chloramines Facility,EPTDS AWD,L,SW,ME,N/A
ME0090070,"AUBURN WATER DISTRICT, ME",8:2 FTS,< MRL,9/19/2023,Chloramines Facility,EPTDS AWD,L,SW,ME,N/A
ME0090070,"AUBURN WATER DISTRICT, ME",9Cl-PF3ONS,< MRL,9/19/2023,Chloramines Facility,EPTDS AWD,L,SW,ME,N/A
ME0090070,"AUBURN WATER DISTRICT, ME",11Cl-PF3OUdS,< MRL,9/19/2023,Chloramines Facility,EPTDS AWD,L,SW,ME,N/A
ME0090070,"AUBURN WATER DISTRICT, ME",ADONA,< MRL,9/19/2023,Chloramines Facility,EPTDS AWD,L,SW,ME,N/A
ME0090070,"AUBURN WATER DISTRICT, ME",HFPO-DA,< MRL,9/19/2023,Chloramines Facility,EPTDS AWD,L,SW,ME,N/A
ME0090070,"AUBURN WATER DISTRICT, ME",lithium,< MRL,9/19/2023,Chloramines Facility,EPTDS AWD,L,SW,ME,N
ME0090070,"AUBURN WATER DISTRICT, ME",NEtFOSAA,< MRL,9/19/2023,Chloramines Facility,EPTDS AWD,L,SW,ME,N/A
ME0090070,"AUBURN WATER DISTRICT, ME",NFDHA,< MRL,9/19/2023,Chloramines Facility,EPTDS AWD,L,SW,ME,N/A
ME0090070,"AUBURN WATER DISTRICT, ME",NMeFOSAA,< MRL,9/19/2023,Chloramines Facility,EPTDS AWD,L,SW,ME,N/A
ME0090070,"AUBURN WATER DISTRICT, ME",PFBA,< MRL,9/19/2023,Chloramines Facility,EPTDS AWD,L,SW,ME,N/A
ME0090070,"AUBURN WATER DISTRICT, ME",PFBS,< MRL,9/19/2023,Chloramines Facility,EPTDS AWD,L,SW,ME,N/A
ME0090070,"AUBURN WATER DISTRICT, ME",PFDA,< MRL,9/19/2023,Chloramines Facility,EPTDS AWD,L,SW,ME,N/A
ME0090070,"AUBURN WATER DISTRICT, ME",PFDoA,< MRL,9/19/2023,Chloramines Facility,EPTDS AWD,L,SW,ME,N/A
ME0090070,"AUBURN WATER DISTRICT, ME",PFEESA,< MRL,9/19/2023,Chloramines Facility,EPTDS AWD,L,SW,ME,N/A
ME0090070,"AUBURN WATER DISTRICT, ME",PFHpA,< MRL,9/19/2023,Chloramines Facility,EPTDS AWD,L,SW,ME,N/A
ME0090070,"AUBURN WATER DISTRICT, ME",PFHpS,< MRL,9/19/2023,Chloramines Facility,EPTDS AWD,L,SW,ME,N/A
ME0090070,"AUBURN WATER DISTRICT, ME",PFHxA,< MRL,9/19/2023,Chloramines Facility,EPTDS AWD,L,SW,ME,N/A
ME0090070,"AUBURN WATER DISTRICT, ME",PFHxS,< MRL,9/19/2023,Chloramines Facility,EPTDS AWD,L,SW,ME,N/A
ME0090070,"AUBURN WATER DISTRICT, ME",PFMBA,< MRL,9/19/2023,Chloramines Facility,EPTDS AWD,L,SW,ME,N/A
ME0090070,"AUBURN WATER DISTRICT, ME",PFMPA,< MRL,9/19/2023,Chloramines Facility,EPTDS AWD,L,SW,ME,N/A
ME0090070,"AUBURN WATER DISTRICT, ME",PFNA,< MRL,9/19/2023,Chloramines Facility,EPTDS AWD,L,SW,ME,N/A
ME0090070,"AUBURN WATER DISTRICT, ME",PFOA,< MRL,9/19/2023,Chloramines Facility,EPTDS AWD,L,SW,ME,N/A
ME0090070,"AUBURN WATER DISTRICT, ME",PFOS,< MRL,9/19/2023,Chloramines Facility,EPTDS AWD,L,SW,ME,N/A
ME0090070,"AUBURN WATER DISTRICT, ME",PFPeA,< MRL,9/19/2023,Chloramines Facility,EPTDS AWD,L,SW,ME,N/A
ME0090070,"AUBURN WATER DISTRICT, ME",PFPeS,< MRL,9/19/2023,Chloramines Facility,EPTDS AWD,L,SW,ME,N/A
ME0090070,"AUBURN WATER DISTRICT, ME",PFTA,< MRL,9/19/2023,Chloramines Facility,EPTDS AWD,L,SW,ME,N/A
ME0090070,"AUBURN WATER DISTRICT, ME",PFTrDA,< MRL,9/19/2023,Chloramines Facility,EPTDS AWD,L,SW,ME,N/A
ME0090070,"AUBURN WATER DISTRICT, ME",PFUnA,< MRL,9/19/2023,Chloramines Facility,EPTDS AWD,L,SW,ME,N/A
ME0090070,"AUBURN WATER DISTRICT, ME",4:2 FTS,< MRL,12/6/2023,Chloramines Facility,EPTDS AWD,L,SW,ME,N/A
ME0090070,"AUBURN WATER DISTRICT, ME",6:2 FTS,< MRL,12/6/2023,Chloramines Facility,EPTDS AWD,L,SW,ME,N/A
ME0090070,"AUBURN WATER DISTRICT, ME",8:2 FTS,< MRL,12/6/2023,Chloramines Facility,EPTDS AWD,L,SW,ME,N/A
ME0090070,"AUBURN WATER DISTRICT, ME",9Cl-PF3ONS,< MRL,12/6/2023,Chloramines Facility,EPTDS AWD,L,SW,ME,N/A
ME0090070,"AUBURN WATER DISTRICT, ME",11Cl-PF3OUdS,< MRL,12/6/2023,Chloramines Facility,EPTDS AWD,L,SW,ME,N/A
ME0090070,"AUBURN WATER DISTRICT, ME",ADONA,< MRL,12/6/2023,Chloramines Facility,EPTDS AWD,L,SW,ME,N/A
ME0090070,"AUBURN WATER DISTRICT, ME",HFPO-DA,< MRL,12/6/2023,Chloramines Facility,EPTDS AWD,L,SW,ME,N/A
ME0090070,"AUBURN WATER DISTRICT, ME",lithium,< MRL,12/6/2023,Chloramines Facility,EPTDS AWD,L,SW,ME,N
ME0090070,"AUBURN WATER DISTRICT, ME",NEtFOSAA,< MRL,12/6/2023,Chloramines Facility,EPTDS AWD,L,SW,ME,N/A
ME0090070,"AUBURN WATER DISTRICT, ME",NFDHA,< MRL,12/6/2023,Chloramines Facility,EPTDS AWD,L,SW,ME,N/A
ME0090070,"AUBURN WATER DISTRICT, ME",NMeFOSAA,< MRL,12/6/2023,Chloramines Facility,EPTDS AWD,L,SW,ME,N/A
ME0090070,"AUBURN WATER DISTRICT, ME",PFBA,< MRL,12/6/2023,Chloramines Facility,EPTDS AWD,L,SW,ME,N/A
ME0090070,"AUBURN WATER DISTRICT, ME",PFBS,< MRL,12/6/2023,Chloramines Facility,EPTDS AWD,L,SW,ME,N/A
ME0090070,"AUBURN WATER DISTRICT, ME",PFDA,< MRL,12/6/2023,Chloramines Facility,EPTDS AWD,L,SW,ME,N/A
ME0090070,"AUBURN WATER DISTRICT, ME",PFDoA,< MRL,12/6/2023,Chloramines Facility,EPTDS AWD,L,SW,ME,N/A
ME0090070,"AUBURN WATER DISTRICT, ME",PFEESA,< MRL,12/6/2023,Chloramines Facility,EPTDS AWD,L,SW,ME,N/A
ME0090070,"AUBURN WATER DISTRICT, ME",PFHpA,< MRL,12/6/2023,Chloramines Facility,EPTDS AWD,L,SW,ME,N/A
ME0090070,"AUBURN WATER DISTRICT, ME",PFHpS,< MRL,12/6/2023,Chloramines Facility,EPTDS AWD,L,SW,ME,N/A
ME0090070,"AUBURN WATER DISTRICT, ME",PFHxA,< MRL,12/6/2023,Chloramines Facility,EPTDS AWD,L,SW,ME,N/A
ME0090070,"AUBURN WATER DISTRICT, ME",PFHxS,< MRL,12/6/2023,Chloramines Facility,EPTDS AWD,L,SW,ME,N/A
ME0090070,"AUBURN WATER DISTRICT, ME",PFMBA,< MRL,12/6/2023,Chloramines Facility,EPTDS AWD,L,SW,ME,N/A
ME0090070,"AUBURN WATER DISTRICT, ME",PFMPA,< MRL,12/6/2023,Chloramines Facility,EPTDS AWD,L,SW,ME,N/A
ME0090070,"AUBURN WATER DISTRICT, ME",PFNA,< MRL,12/6/2023,Chloramines Facility,EPTDS AWD,L,SW,ME,N/A
ME0090070,"AUBURN WATER DISTRICT, ME",PFOA,< MRL,12/6/2023,Chloramines Facility,EPTDS AWD,L,SW,ME,N/A
ME0090070,"AUBURN WATER DISTRICT, ME",PFOS,< MRL,12/6/2023,Chloramines Facility,EPTDS AWD,L,SW,ME,N/A
ME0090070,"AUBURN WATER DISTRICT, ME",PFPeA,< MRL,12/6/2023,Chloramines Facility,EPTDS AWD,L,SW,ME,N/A
ME0090070,"AUBURN WATER DISTRICT, ME",PFPeS,< MRL,12/6/2023,Chloramines Facility,EPTDS AWD,L,SW,ME,N/A
ME0090070,"AUBURN WATER DISTRICT, ME",PFTA,< MRL,12/6/2023,Chloramines Facility,EPTDS AWD,L,SW,ME,N/A
ME0090070,"AUBURN WATER DISTRICT, ME",PFTrDA,< MRL,12/6/2023,Chloramines Facility,EPTDS AWD,L,SW,ME,N/A
ME0090070,"AUBURN WATER DISTRICT, ME",PFUnA,< MRL,12/6/2023,Chloramines Facility,EPTDS AWD,L,SW,ME,N/A
ME0090070,"AUBURN WATER DISTRICT, ME",4:2 FTS,< MRL,3/6/2024,Chloramines Facility,EPTDS AWD,L,SW,ME,N/A
ME0090070,"AUBURN WATER DISTRICT, ME",6:2 FTS,< MRL,3/6/2024,Chloramines Facility,EPTDS AWD,L,SW,ME,N/A
ME0090070,"AUBURN WATER DISTRICT, ME",8:2 FTS,< MRL,3/6/2024,Chloramines Facility,EPTDS AWD,L,SW,ME,N/A
ME0090070,"AUBURN WATER DISTRICT, ME",9Cl-PF3ONS,< MRL,3/6/2024,Chloramines Facility,EPTDS AWD,L,SW,ME,N/A
ME0090070,"AUBURN WATER DISTRICT, ME",11Cl-PF3OUdS,< MRL,3/6/2024,Chloramines Facility,EPTDS AWD,L,SW,ME,N/A
ME0090070,"AUBURN WATER DISTRICT, ME",ADONA,< MRL,3/6/2024,Chloramines Facility,EPTDS AWD,L,SW,ME,N/A
ME0090070,"AUBURN WATER DISTRICT, ME",HFPO-DA,< MRL,3/6/2024,Chloramines Facility,EPTDS AWD,L,SW,ME,N/A
ME0090070,"AUBURN WATER DISTRICT, ME",lithium,< MRL,3/6/2024,Chloramines Facility,EPTDS AWD,L,SW,ME,N
ME0090070,"AUBURN WATER DISTRICT, ME",NEtFOSAA,< MRL,3/6/2024,Chloramines Facility,EPTDS AWD,L,SW,ME,N/A
ME0090070,"AUBURN WATER DISTRICT, ME",NFDHA,< MRL,3/6/2024,Chloramines Facility,EPTDS AWD,L,SW,ME,N/A
ME0090070,"AUBURN WATER DISTRICT, ME",NMeFOSAA,< MRL,3/6/2024,Chloramines Facility,EPTDS AWD,L,SW,ME,N/A
ME0090070,"AUBURN WATER DISTRICT, ME",PFBA,< MRL,3/6/2024,Chloramines Facility,EPTDS AWD,L,SW,ME,N/A
ME0090070,"AUBURN WATER DISTRICT, ME",PFBS,< MRL,3/6/2024,Chloramines Facility,EPTDS AWD,L,SW,ME,N/A
ME0090070,"AUBURN WATER DISTRICT, ME",PFDA,< MRL,3/6/2024,Chloramines Facility,EPTDS AWD,L,SW,ME,N/A
ME0090070,"AUBURN WATER DISTRICT, ME",PFDoA,< MRL,3/6/2024,Chloramines Facility,EPTDS AWD,L,SW,ME,N/A
ME0090070,"AUBURN WATER DISTRICT, ME",PFEESA,< MRL,3/6/2024,Chloramines Facility,EPTDS AWD,L,SW,ME,N/A
ME0090070,"AUBURN WATER DISTRICT, ME",PFHpA,< MRL,3/6/2024,Chloramines Facility,EPTDS AWD,L,SW,ME,N/A
ME0090070,"AUBURN WATER DISTRICT, ME",PFHpS,< MRL,3/6/2024,Chloramines Facility,EPTDS AWD,L,SW,ME,N/A
ME0090070,"AUBURN WATER DISTRICT, ME",PFHxA,< MRL,3/6/2024,Chloramines Facility,EPTDS AWD,L,SW,ME,N/A
ME0090070,"AUBURN WATER DISTRICT, ME",PFHxS,< MRL,3/6/2024,Chloramines Facility,EPTDS AWD,L,SW,ME,N/A
ME0090070,"AUBURN WATER DISTRICT, ME",PFMBA,< MRL,3/6/2024,Chloramines Facility,EPTDS AWD,L,SW,ME,N/A
ME0090070,"AUBURN WATER DISTRICT, ME",PFMPA,< MRL,3/6/2024,Chloramines Facility,EPTDS AWD,L,SW,ME,N/A
ME0090070,"AUBURN WATER DISTRICT, ME",PFNA,< MRL,3/6/2024,Chloramines Facility,EPTDS AWD,L,SW,ME,N/A
ME0090070,"AUBURN WATER DISTRICT, ME",PFOA,< MRL,3/6/2024,Chloramines Facility,EPTDS AWD,L,SW,ME,N/A
ME0090070,"AUBURN WATER DISTRICT, ME",PFOS,< MRL,3/6/2024,Chloramines Facility,EPTDS AWD,L,SW,ME,N/A
ME0090070,"AUBURN WATER DISTRICT, ME",PFPeA,< MRL,3/6/2024,Chloramines Facility,EPTDS AWD,L,SW,ME,N/A
ME0090070,"AUBURN WATER DISTRICT, ME",PFPeS,< MRL,3/6/2024,Chloramines Facility,EPTDS AWD,L,SW,ME,N/A
ME0090070,"AUBURN WATER DISTRICT, ME",PFTA,< MRL,3/6/2024,Chloramines Facility,EPTDS AWD,L,SW,ME,N/A
ME0090070,"AUBURN WATER DISTRICT, ME",PFTrDA,< MRL,3/6/2024,Chloramines Facility,EPTDS AWD,L,SW,ME,N/A
ME0090070,"AUBURN WATER DISTRICT, ME",PFUnA,< MRL,3/6/2024,Chloramines Facility,EPTDS AWD,L,SW,ME,N/A
ME0090110,BANGOR WATER DISTRICT,4:2 FTS,< MRL,2/14/2024,Treatment Plant 1,EPTDS Floods Pond,L,SW,ME,N/A
ME0090110,BANGOR WATER DISTRICT,6:2 FTS,< MRL,2/14/2024,Treatment Plant 1,EPTDS Floods Pond,L,SW,ME,N/A
ME0090110,BANGOR WATER DISTRICT,8:2 FTS,< MRL,2/14/2024,Treatment Plant 1,EPTDS Floods Pond,L,SW,ME,N/A
ME0090110,BANGOR WATER DISTRICT,9Cl-PF3ONS,< MRL,2/14/2024,Treatment Plant 1,EPTDS Floods Pond,L,SW,ME,N/A
ME0090110,BANGOR WATER DISTRICT,11Cl-PF3OUdS,< MRL,2/14/2024,Treatment Plant 1,EPTDS Floods Pond,L,SW,ME,N/A
ME0090110,BANGOR WATER DISTRICT,ADONA,< MRL,2/14/2024,Treatment Plant 1,EPTDS Floods Pond,L,SW,ME,N/A
