PWS ID,PWS Name,Contaminant,Result (µg/L),Collection Date,Facility Name,Sample Point Name,PWS Size,Facility Water Type,State,Result > Health-Based Ref Conc
MD0010005,EASTERN REGION ALLEGANY DISTRIB. SYSTEM,4:2 FTS,< MRL,1/9/2023,EASTERN REGION ALLEGANY DISTRIB. SYSTEM,Finished Water Entry Point - Sample Tap,S,SW,MD,N/A
MD0010005,EASTERN REGION ALLEGANY DISTRIB. SYSTEM,6:2 FTS,< MRL,1/9/2023,EASTERN REGION ALLEGANY DISTRIB. SYSTEM,Finished Water Entry Point - Sample Tap,S,SW,MD,N/A
MD0010005,EASTERN REGION ALLEGANY DISTRIB. SYSTEM,8:2 FTS,< MRL,1/9/2023,EASTERN REGION ALLEGANY DISTRIB. SYSTEM,Finished Water Entry Point - Sample Tap,S,SW,MD,N/A
MD0010005,EASTERN REGION ALLEGANY DISTRIB. SYSTEM,9Cl-PF3ONS,< MRL,1/9/2023,EASTERN REGION ALLEGANY DISTRIB. SYSTEM,Finished Water Entry Point - Sample Tap,S,SW,MD,N/A
MD0010005,EASTERN REGION ALLEGANY DISTRIB. SYSTEM,11Cl-PF3OUdS,< MRL,1/9/2023,EASTERN REGION ALLEGANY DISTRIB. SYSTEM,Finished Water Entry Point - Sample Tap,S,SW,MD,N/A
MD0010005,EASTERN REGION ALLEGANY DISTRIB. SYSTEM,ADONA,< MRL,1/9/2023,EASTERN REGION ALLEGANY DISTRIB. SYSTEM,Finished Water Entry Point - Sample Tap,S,SW,MD,N/A
MD0010005,EASTERN REGION ALLEGANY DISTRIB. SYSTEM,HFPO-DA,< MRL,1/9/2023,EASTERN REGION ALLEGANY DISTRIB. SYSTEM,Finished Water Entry Point - Sample Tap,S,SW,MD,N/A
MD0010005,EASTERN REGION ALLEGANY DISTRIB. SYSTEM,lithium,< MRL,1/9/2023,EASTERN REGION ALLEGANY DISTRIB. SYSTEM,Finished Water Entry Point - Sample Tap,S,SW,MD,N
MD0010005,EASTERN REGION ALLEGANY DISTRIB. SYSTEM,NEtFOSAA,< MRL,1/9/2023,EASTERN REGION ALLEGANY DISTRIB. SYSTEM,Finished Water Entry Point - Sample Tap,S,SW,MD,N/A
MD0010005,EASTERN REGION ALLEGANY DISTRIB. SYSTEM,NFDHA,< MRL,1/9/2023,EASTERN REGION ALLEGANY DISTRIB. SYSTEM,Finished Water Entry Point - Sample Tap,S,SW,MD,N/A
MD0010005,EASTERN REGION ALLEGANY DISTRIB. SYSTEM,NMeFOSAA,< MRL,1/9/2023,EASTERN REGION ALLEGANY DISTRIB. SYSTEM,Finished Water Entry Point - Sample Tap,S,SW,MD,N/A
MD0010005,EASTERN REGION ALLEGANY DISTRIB. SYSTEM,PFBA,< MRL,1/9/2023,EASTERN REGION ALLEGANY DISTRIB. SYSTEM,Finished Water Entry Point - Sample Tap,S,SW,MD,N/A
MD0010005,EASTERN REGION ALLEGANY DISTRIB. SYSTEM,PFBS,< MRL,1/9/2023,EASTERN REGION ALLEGANY DISTRIB. SYSTEM,Finished Water Entry Point - Sample Tap,S,SW,MD,N/A
MD0010005,EASTERN REGION ALLEGANY DISTRIB. SYSTEM,PFDA,< MRL,1/9/2023,EASTERN REGION ALLEGANY DISTRIB. SYSTEM,Finished Water Entry Point - Sample Tap,S,SW,MD,N/A
