PWS ID,PWS Name,Contaminant,Result (µg/L),Collection Date,Facility Name,Sample Point Name,PWS Size,Facility Water Type,State,Result > Health-Based Ref Conc
MA1008000,AMHERST DPW  WATER DIVISION,4:2 FTS,< MRL,8/14/2023,Wells #1 & 2,Entry Point to Dist. System,L,GW,MA,N/A
MA1008000,AMHERST DPW  WATER DIVISION,4:2 FTS,< MRL,8/14/2023,Well #3 - Brown,Entry Point to Dist. System,L,GW,MA,N/A
MA1008000,AMHERST DPW  WATER DIVISION,4:2 FTS,< MRL,8/14/2023,Baby Carriage Brook WTP,Entry Point to Dist. System,L,GW,MA,N/A
MA1008000,AMHERST DPW  WATER DIVISION,4:2 FTS,< MRL,8/14/2023,Well #5,Entry Point to Dist. System,L,GW,MA,N/A
MA1008000,AMHERST DPW  WATER DIVISION,6:2 FTS,< MRL,8/14/2023,Wells #1 & 2,Entry Point to Dist. System,L,GW,MA,N/A
MA1008000,AMHERST DPW  WATER DIVISION,6:2 FTS,< MRL,8/14/2023,Well #3 - Brown,Entry Point to Dist. System,L,GW,MA,N/A
MA1008000,AMHERST DPW  WATER DIVISION,6:2 FTS,< MRL,8/14/2023,Baby Carriage Brook WTP,Entry Point to Dist. System,L,GW,MA,N/A
MA1008000,AMHERST DPW  WATER DIVISION,6:2 FTS,< MRL,8/14/2023,Well #5,Entry Point to Dist. System,L,GW,MA,N/A
MA1008000,AMHERST DPW  WATER DIVISION,8:2 FTS,< MRL,8/14/2023,Wells #1 & 2,Entry Point to Dist. System,L,GW,MA,N/A
MA1008000,AMHERST DPW  WATER DIVISION,8:2 FTS,< MRL,8/14/2023,Well #3 - Brown,Entry Point to Dist. System,L,GW,MA,N/A
MA1008000,AMHERST DPW  WATER DIVISION,8:2 FTS,< MRL,8/14/2023,Baby Carriage Brook WTP,Entry Point to Dist. System,L,GW,MA,N/A
MA1008000,AMHERST DPW  WATER DIVISION,8:2 FTS,< MRL,8/14/2023,Well #5,Entry Point to Dist. System,L,GW,MA,N/A
MA1008000,AMHERST DPW  WATER DIVISION,9Cl-PF3ONS,< MRL,8/14/2023,Wells #1 & 2,Entry Point to Dist. System,L,GW,MA,N/A
