PWS ID,PWS Name,Contaminant,Result (µg/L),Collection Date,Facility Name,Sample Point Name,PWS Size,Facility Water Type,State,Result > Health-Based Ref Conc
MI0000012,ADA TOWNSHIP,4:2 FTS,< MRL,3/15/2023,Connection,Tap at Booster Station,S,SW,MI,N/A
MI0000012,ADA TOWNSHIP,6:2 FTS,< MRL,3/15/2023,Connection,Tap at Booster Station,S,SW,MI,N/A
MI0000012,ADA TOWNSHIP,8:2 FTS,< MRL,3/15/2023,Connection,Tap at Booster Station,S,SW,MI,N/A
MI0000012,ADA TOWNSHIP,9Cl-PF3ONS,< MRL,3/15/2023,Connection,Tap at Booster Station,S,SW,MI,N/A
MI0000012,ADA TOWNSHIP,11Cl-PF3OUdS,< MRL,3/15/2023,Connection,Tap at Booster Station,S,SW,MI,N/A
MI0000012,ADA TOWNSHIP,ADONA,< MRL,3/15/2023,Connection,Tap at Booster Station,S,SW,MI,N/A
MI0000012,ADA TOWNSHIP,HFPO-DA,< MRL,3/15/2023,Connection,Tap at Booster Station,S,SW,MI,N/A
MI0000012,ADA TOWNSHIP,lithium,< MRL,3/15/2023,Connection,Tap at Booster Station,S,SW,MI,N
MI0000012,ADA TOWNSHIP,NEtFOSAA,< MRL,3/15/2023,Connection,Tap at Booster Station,S,SW,MI,N/A
MI0000012,ADA TOWNSHIP,NFDHA,< MRL,3/15/2023,Connection,Tap at Booster Station,S,SW,MI,N/A
MI0000012,ADA TOWNSHIP,NMeFOSAA,< MRL,3/15/2023,Connection,Tap at Booster Station,S,SW,MI,N/A
MI0000012,ADA TOWNSHIP,PFBA,< MRL,3/15/2023,Connection,Tap at Booster Station,S,SW,MI,N/A
MI0000012,ADA TOWNSHIP,PFBS,< MRL,3/15/2023,Connection,Tap at Booster Station,S,SW,MI,N/A
MI0000012,ADA TOWNSHIP,PFDA,< MRL,3/15/2023,Connection,Tap at Booster Station,S,SW,MI,N/A
MI0000012,ADA TOWNSHIP,PFDoA,< MRL,3/15/2023,Connection,Tap at Booster Station,S,SW,MI,N/A
MI0000012,ADA TOWNSHIP,PFEESA,< MRL,3/15/2023,Connection,Tap at Booster Station,S,SW,MI,N/A
MI0000012,ADA TOWNSHIP,PFHpA,< MRL,3/15/2023,Connection,Tap at Booster Station,S,SW,MI,N/A
MI0000012,ADA TOWNSHIP,PFHpS,< MRL,3/15/2023,Connection,Tap at Booster Station,S,SW,MI,N/A
MI0000012,ADA TOWNSHIP,PFHxA,< MRL,3/15/2023,Connection,Tap at Booster Station,S,SW,MI,N/A
MI0000012,ADA TOWNSHIP,PFHxS,< MRL,3/15/2023,Connection,Tap at Booster Station,S,SW,MI,N/A
MI0000012,ADA TOWNSHIP,PFMBA,< MRL,3/15/2023,Connection,Tap at Booster Station,S,SW,MI,N/A
MI0000012,ADA TOWNSHIP,PFMPA,< MRL,3/15/2023,Connection,Tap at Booster Station,S,SW,MI,N/A
MI0000012,ADA TOWNSHIP,PFNA,< MRL,3/15/2023,Connection,Tap at Booster Station,S,SW,MI,N/A
MI0000012,ADA TOWNSHIP,PFOA,< MRL,3/15/2023,Connection,Tap at Booster Station,S,SW,MI,N/A
MI0000012,ADA TOWNSHIP,PFOS,< MRL,3/15/2023,Connection,Tap at Booster Station,S,SW,MI,N/A
MI0000012,ADA TOWNSHIP,PFPeA,< MRL,3/15/2023,Connection,Tap at Booster Station,S,SW,MI,N/A
MI0000012,ADA TOWNSHIP,PFPeS,< MRL,3/15/2023,Connection,Tap at Booster Station,S,SW,MI,N/A
MI0000012,ADA TOWNSHIP,PFTA,< MRL,3/15/2023,Connection,Tap at Booster Station,S,SW,MI,N/A
MI0000012,ADA TOWNSHIP,PFTrDA,< MRL,3/15/2023,Connection,Tap at Booster Station,S,SW,MI,N/A
MI0000012,ADA TOWNSHIP,PFUnA,< MRL,3/15/2023,Connection,Tap at Booster Station,S,SW,MI,N/A
MI0000012,ADA TOWNSHIP,4:2 FTS,< MRL,6/13/2023,Connection,Tap at Booster Station,S,SW,MI,N/A
MI0000012,ADA TOWNSHIP,6:2 FTS,< MRL,6/13/2023,Connection,Tap at Booster Station,S,SW,MI,N/A
MI0000012,ADA TOWNSHIP,8:2 FTS,< MRL,6/13/2023,Connection,Tap at Booster Station,S,SW,MI,N/A
MI0000012,ADA TOWNSHIP,9Cl-PF3ONS,< MRL,6/13/2023,Connection,Tap at Booster Station,S,SW,MI,N/A
MI0000012,ADA TOWNSHIP,11Cl-PF3OUdS,< MRL,6/13/2023,Connection,Tap at Booster Station,S,SW,MI,N/A
MI0000012,ADA TOWNSHIP,ADONA,< MRL,6/13/2023,Connection,Tap at Booster Station,S,SW,MI,N/A
MI0000012,ADA TOWNSHIP,HFPO-DA,< MRL,6/13/2023,Connection,Tap at Booster Station,S,SW,MI,N/A
MI0000012,ADA TOWNSHIP,lithium,< MRL,6/13/2023,Connection,Tap at Booster Station,S,SW,MI,N
MI0000012,ADA TOWNSHIP,NEtFOSAA,< MRL,6/13/2023,Connection,Tap at Booster Station,S,SW,MI,N/A
MI0000012,ADA TOWNSHIP,NFDHA,< MRL,6/13/2023,Connection,Tap at Booster Station,S,SW,MI,N/A
MI0000012,ADA TOWNSHIP,NMeFOSAA,< MRL,6/13/2023,Connection,Tap at Booster Station,S,SW,MI,N/A
MI0000012,ADA TOWNSHIP,PFBA,< MRL,6/13/2023,Connection,Tap at Booster Station,S,SW,MI,N/A
MI0000012,ADA TOWNSHIP,PFBS,< MRL,6/13/2023,Connection,Tap at Booster Station,S,SW,MI,N/A
MI0000012,ADA TOWNSHIP,PFDA,< MRL,6/13/2023,Connection,Tap at Booster Station,S,SW,MI,N/A
MI0000012,ADA TOWNSHIP,PFDoA,< MRL,6/13/2023,Connection,Tap at Booster Station,S,SW,MI,N/A
MI0000012,ADA TOWNSHIP,PFEESA,< MRL,6/13/2023,Connection,Tap at Booster Station,S,SW,MI,N/A
MI0000012,ADA TOWNSHIP,PFHpA,< MRL,6/13/2023,Connection,Tap at Booster Station,S,SW,MI,N/A
MI0000012,ADA TOWNSHIP,PFHpS,< MRL,6/13/2023,Connection,Tap at Booster Station,S,SW,MI,N/A
MI0000012,ADA TOWNSHIP,PFHxA,< MRL,6/13/2023,Connection,Tap at Booster Station,S,SW,MI,N/A
MI0000012,ADA TOWNSHIP,PFHxS,< MRL,6/13/2023,Connection,Tap at Booster Station,S,SW,MI,N/A
MI0000012,ADA TOWNSHIP,PFMBA,< MRL,6/13/2023,Connection,Tap at Booster Station,S,SW,MI,N/A
MI0000012,ADA TOWNSHIP,PFMPA,< MRL,6/13/2023,Connection,Tap at Booster Station,S,SW,MI,N/A
MI0000012,ADA TOWNSHIP,PFNA,< MRL,6/13/2023,Connection,Tap at Booster Station,S,SW,MI,N/A
MI0000012,ADA TOWNSHIP,PFOA,< MRL,6/13/2023,Connection,Tap at Booster Station,S,SW,MI,N/A
MI0000012,ADA TOWNSHIP,PFOS,< MRL,6/13/2023,Connection,Tap at Booster Station,S,SW,MI,N/A
MI0000012,ADA TOWNSHIP,PFPeA,< MRL,6/13/2023,Connection,Tap at Booster Station,S,SW,MI,N/A
MI0000012,ADA TOWNSHIP,PFPeS,< MRL,6/13/2023,Connection,Tap at Booster Station,S,SW,MI,N/A
MI0000012,ADA TOWNSHIP,PFTA,< MRL,6/13/2023,Connection,Tap at Booster Station,S,SW,MI,N/A
MI0000012,ADA TOWNSHIP,PFTrDA,< MRL,6/13/2023,Connection,Tap at Booster Station,S,SW,MI,N/A
MI0000012,ADA TOWNSHIP,PFUnA,< MRL,6/13/2023,Connection,Tap at Booster Station,S,SW,MI,N/A
MI0000012,ADA TOWNSHIP,4:2 FTS,< MRL,9/19/2023,Connection,Tap at Booster Station,S,SW,MI,N/A
MI0000012,ADA TOWNSHIP,6:2 FTS,< MRL,9/19/2023,Connection,Tap at Booster Station,S,SW,MI,N/A
MI0000012,ADA TOWNSHIP,8:2 FTS,< MRL,9/19/2023,Connection,Tap at Booster Station,S,SW,MI,N/A
MI0000012,ADA TOWNSHIP,9Cl-PF3ONS,< MRL,9/19/2023,Connection,Tap at Booster Station,S,SW,MI,N/A
MI0000012,ADA TOWNSHIP,11Cl-PF3OUdS,< MRL,9/19/2023,Connection,Tap at Booster Station,S,SW,MI,N/A
MI0000012,ADA TOWNSHIP,ADONA,< MRL,9/19/2023,Connection,Tap at Booster Station,S,SW,MI,N/A
MI0000012,ADA TOWNSHIP,HFPO-DA,< MRL,9/19/2023,Connection,Tap at Booster Station,S,SW,MI,N/A
MI0000012,ADA TOWNSHIP,lithium,< MRL,9/19/2023,Connection,Tap at Booster Station,S,SW,MI,N
MI0000012,ADA TOWNSHIP,NEtFOSAA,< MRL,9/19/2023,Connection,Tap at Booster Station,S,SW,MI,N/A
MI0000012,ADA TOWNSHIP,NFDHA,< MRL,9/19/2023,Connection,Tap at Booster Station,S,SW,MI,N/A
MI0000012,ADA TOWNSHIP,NMeFOSAA,< MRL,9/19/2023,Connection,Tap at Booster Station,S,SW,MI,N/A
MI0000012,ADA TOWNSHIP,PFBA,< MRL,9/19/2023,Connection,Tap at Booster Station,S,SW,MI,N/A
MI0000012,ADA TOWNSHIP,PFBS,< MRL,9/19/2023,Connection,Tap at Booster Station,S,SW,MI,N/A
MI0000012,ADA TOWNSHIP,PFDA,< MRL,9/19/2023,Connection,Tap at Booster Station,S,SW,MI,N/A
MI0000012,ADA TOWNSHIP,PFDoA,< MRL,9/19/2023,Connection,Tap at Booster Station,S,SW,MI,N/A
MI0000012,ADA TOWNSHIP,PFEESA,< MRL,9/19/2023,Connection,Tap at Booster Station,S,SW,MI,N/A
MI0000012,ADA TOWNSHIP,PFHpA,< MRL,9/19/2023,Connection,Tap at Booster Station,S,SW,MI,N/A
MI0000012,ADA TOWNSHIP,PFHpS,< MRL,9/19/2023,Connection,Tap at Booster Station,S,SW,MI,N/A
MI0000012,ADA TOWNSHIP,PFHxA,< MRL,9/19/2023,Connection,Tap at Booster Station,S,SW,MI,N/A
MI0000012,ADA TOWNSHIP,PFHxS,< MRL,9/19/2023,Connection,Tap at Booster Station,S,SW,MI,N/A
MI0000012,ADA TOWNSHIP,PFMBA,< MRL,9/19/2023,Connection,Tap at Booster Station,S,SW,MI,N/A
MI0000012,ADA TOWNSHIP,PFMPA,< MRL,9/19/2023,Connection,Tap at Booster Station,S,SW,MI,N/A
MI0000012,ADA TOWNSHIP,PFNA,< MRL,9/19/2023,Connection,Tap at Booster Station,S,SW,MI,N/A
MI0000012,ADA TOWNSHIP,PFOA,< MRL,9/19/2023,Connection,Tap at Booster Station,S,SW,MI,N/A
MI0000012,ADA TOWNSHIP,PFOS,< MRL,9/19/2023,Connection,Tap at Booster Station,S,SW,MI,N/A
MI0000012,ADA TOWNSHIP,PFPeA,< MRL,9/19/2023,Connection,Tap at Booster Station,S,SW,MI,N/A
MI0000012,ADA TOWNSHIP,PFPeS,< MRL,9/19/2023,Connection,Tap at Booster Station,S,SW,MI,N/A
MI0000012,ADA TOWNSHIP,PFTA,< MRL,9/19/2023,Connection,Tap at Booster Station,S,SW,MI,N/A
MI0000012,ADA TOWNSHIP,PFTrDA,< MRL,9/19/2023,Connection,Tap at Booster Station,S,SW,MI,N/A
MI0000012,ADA TOWNSHIP,PFUnA,< MRL,9/19/2023,Connection,Tap at Booster Station,S,SW,MI,N/A
MI0000012,ADA TOWNSHIP,4:2 FTS,< MRL,12/11/2023,Connection,Tap at Booster Station,S,SW,MI,N/A
MI0000012,ADA TOWNSHIP,6:2 FTS,< MRL,12/11/2023,Connection,Tap at Booster Station,S,SW,MI,N/A
MI0000012,ADA TOWNSHIP,8:2 FTS,< MRL,12/11/2023,Connection,Tap at Booster Station,S,SW,MI,N/A
MI0000012,ADA TOWNSHIP,9Cl-PF3ONS,< MRL,12/11/2023,Connection,Tap at Booster Station,S,SW,MI,N/A
MI0000012,ADA TOWNSHIP,11Cl-PF3OUdS,< MRL,12/11/2023,Connection,Tap at Booster Station,S,SW,MI,N/A
MI0000012,ADA TOWNSHIP,ADONA,< MRL,12/11/2023,Connection,Tap at Booster Station,S,SW,MI,N/A
MI0000012,ADA TOWNSHIP,HFPO-DA,< MRL,12/11/2023,Connection,Tap at Booster Station,S,SW,MI,N/A
