PWS ID,PWS Name,Contaminant,Result (µg/L),Collection Date,Facility Name,Sample Point Name,PWS Size,Facility Water Type,State,Result > Health-Based Ref Conc
MN1020017,Coon Rapids,4:2 FTS,< MRL,10/16/2023,E. TREATMENT PLANT,E. TREATMENT PLANT,L,GW,MN,N/A
MN1020017,Coon Rapids,4:2 FTS,< MRL,10/16/2023,W. TREATMENT PLANT,W. TREATMENT PLANT,L,GW,MN,N/A
MN1020017,Coon Rapids,4:2 FTS,< MRL,10/16/2023,Well #12 Entry Point,Well #12 Entry Point,L,GW,MN,N/A
MN1020017,Coon Rapids,4:2 FTS,< MRL,10/16/2023,Well #2 Entry Point,Well #2 Entry Point,L,GW,MN,N/A
MN1020017,Coon Rapids,4:2 FTS,< MRL,10/16/2023,Well #4 Entry Point,Well #4 Entry Point,L,GW,MN,N/A
MN1020017,Coon Rapids,4:2 FTS,< MRL,10/16/2023,Well #5 Entry Point,Well #5 Entry Point,L,GW,MN,N/A
MN1020017,Coon Rapids,4:2 FTS,< MRL,10/16/2023,Well #6 Entry Point,Well #6 Entry Point,L,GW,MN,N/A
MN1020017,Coon Rapids,4:2 FTS,< MRL,10/16/2023,Well #7 Entry Point,Well #7 Entry Point,L,GW,MN,N/A
MN1020017,Coon Rapids,6:2 FTS,< MRL,10/16/2023,E. TREATMENT PLANT,E. TREATMENT PLANT,L,GW,MN,N/A
MN1020017,Coon Rapids,6:2 FTS,< MRL,10/16/2023,W. TREATMENT PLANT,W. TREATMENT PLANT,L,GW,MN,N/A
MN1020017,Coon Rapids,6:2 FTS,< MRL,10/16/2023,Well #12 Entry Point,Well #12 Entry Point,L,GW,MN,N/A
MN1020017,Coon Rapids,6:2 FTS,< MRL,10/16/2023,Well #2 Entry Point,Well #2 Entry Point,L,GW,MN,N/A
MN1020017,Coon Rapids,6:2 FTS,< MRL,10/16/2023,Well #4 Entry Point,Well #4 Entry Point,L,GW,MN,N/A
MN1020017,Coon Rapids,6:2 FTS,< MRL,10/16/2023,Well #5 Entry Point,Well #5 Entry Point,L,GW,MN,N/A
MN1020017,Coon Rapids,6:2 FTS,< MRL,10/16/2023,Well #6 Entry Point,Well #6 Entry Point,L,GW,MN,N/A
MN1020017,Coon Rapids,6:2 FTS,< MRL,10/16/2023,Well #7 Entry Point,Well #7 Entry Point,L,GW,MN,N/A
MN1020017,Coon Rapids,8:2 FTS,< MRL,10/16/2023,E. TREATMENT PLANT,E. TREATMENT PLANT,L,GW,MN,N/A
MN1020017,Coon Rapids,8:2 FTS,< MRL,10/16/2023,W. TREATMENT PLANT,W. TREATMENT PLANT,L,GW,MN,N/A
MN1020017,Coon Rapids,8:2 FTS,< MRL,10/16/2023,Well #12 Entry Point,Well #12 Entry Point,L,GW,MN,N/A
MN1020017,Coon Rapids,8:2 FTS,< MRL,10/16/2023,Well #2 Entry Point,Well #2 Entry Point,L,GW,MN,N/A
MN1020017,Coon Rapids,8:2 FTS,< MRL,10/16/2023,Well #4 Entry Point,Well #4 Entry Point,L,GW,MN,N/A
MN1020017,Coon Rapids,8:2 FTS,< MRL,10/16/2023,Well #5 Entry Point,Well #5 Entry Point,L,GW,MN,N/A
MN1020017,Coon Rapids,8:2 FTS,< MRL,10/16/2023,Well #6 Entry Point,Well #6 Entry Point,L,GW,MN,N/A
MN1020017,Coon Rapids,8:2 FTS,< MRL,10/16/2023,Well #7 Entry Point,Well #7 Entry Point,L,GW,MN,N/A
MN1020017,Coon Rapids,9Cl-PF3ONS,< MRL,10/16/2023,E. TREATMENT PLANT,E. TREATMENT PLANT,L,GW,MN,N/A
MN1020017,Coon Rapids,9Cl-PF3ONS,< MRL,10/16/2023,W. TREATMENT PLANT,W. TREATMENT PLANT,L,GW,MN,N/A
MN1020017,Coon Rapids,9Cl-PF3ONS,< MRL,10/16/2023,Well #12 Entry Point,Well #12 Entry Point,L,GW,MN,N/A
MN1020017,Coon Rapids,9Cl-PF3ONS,< MRL,10/16/2023,Well #2 Entry Point,Well #2 Entry Point,L,GW,MN,N/A
MN1020017,Coon Rapids,9Cl-PF3ONS,< MRL,10/16/2023,Well #4 Entry Point,Well #4 Entry Point,L,GW,MN,N/A
MN1020017,Coon Rapids,9Cl-PF3ONS,< MRL,10/16/2023,Well #5 Entry Point,Well #5 Entry Point,L,GW,MN,N/A
MN1020017,Coon Rapids,9Cl-PF3ONS,< MRL,10/16/2023,Well #6 Entry Point,Well #6 Entry Point,L,GW,MN,N/A
MN1020017,Coon Rapids,9Cl-PF3ONS,< MRL,10/16/2023,Well #7 Entry Point,Well #7 Entry Point,L,GW,MN,N/A
MN1020017,Coon Rapids,11Cl-PF3OUdS,< MRL,10/16/2023,E. TREATMENT PLANT,E. TREATMENT PLANT,L,GW,MN,N/A
MN1020017,Coon Rapids,11Cl-PF3OUdS,< MRL,10/16/2023,W. TREATMENT PLANT,W. TREATMENT PLANT,L,GW,MN,N/A
MN1020017,Coon Rapids,11Cl-PF3OUdS,< MRL,10/16/2023,Well #12 Entry Point,Well #12 Entry Point,L,GW,MN,N/A
MN1020017,Coon Rapids,11Cl-PF3OUdS,< MRL,10/16/2023,Well #2 Entry Point,Well #2 Entry Point,L,GW,MN,N/A
MN1020017,Coon Rapids,11Cl-PF3OUdS,< MRL,10/16/2023,Well #4 Entry Point,Well #4 Entry Point,L,GW,MN,N/A
MN1020017,Coon Rapids,11Cl-PF3OUdS,< MRL,10/16/2023,Well #5 Entry Point,Well #5 Entry Point,L,GW,MN,N/A
MN1020017,Coon Rapids,11Cl-PF3OUdS,< MRL,10/16/2023,Well #6 Entry Point,Well #6 Entry Point,L,GW,MN,N/A
MN1020017,Coon Rapids,11Cl-PF3OUdS,< MRL,10/16/2023,Well #7 Entry Point,Well #7 Entry Point,L,GW,MN,N/A
MN1020017,Coon Rapids,ADONA,< MRL,10/16/2023,E. TREATMENT PLANT,E. TREATMENT PLANT,L,GW,MN,N/A
MN1020017,Coon Rapids,ADONA,< MRL,10/16/2023,W. TREATMENT PLANT,W. TREATMENT PLANT,L,GW,MN,N/A
MN1020017,Coon Rapids,ADONA,< MRL,10/16/2023,Well #12 Entry Point,Well #12 Entry Point,L,GW,MN,N/A
MN1020017,Coon Rapids,ADONA,< MRL,10/16/2023,Well #2 Entry Point,Well #2 Entry Point,L,GW,MN,N/A
MN1020017,Coon Rapids,ADONA,< MRL,10/16/2023,Well #4 Entry Point,Well #4 Entry Point,L,GW,MN,N/A
MN1020017,Coon Rapids,ADONA,< MRL,10/16/2023,Well #5 Entry Point,Well #5 Entry Point,L,GW,MN,N/A
MN1020017,Coon Rapids,ADONA,< MRL,10/16/2023,Well #6 Entry Point,Well #6 Entry Point,L,GW,MN,N/A
MN1020017,Coon Rapids,ADONA,< MRL,10/16/2023,Well #7 Entry Point,Well #7 Entry Point,L,GW,MN,N/A
MN1020017,Coon Rapids,HFPO-DA,< MRL,10/16/2023,E. TREATMENT PLANT,E. TREATMENT PLANT,L,GW,MN,N/A
MN1020017,Coon Rapids,HFPO-DA,< MRL,10/16/2023,W. TREATMENT PLANT,W. TREATMENT PLANT,L,GW,MN,N/A
MN1020017,Coon Rapids,HFPO-DA,< MRL,10/16/2023,Well #12 Entry Point,Well #12 Entry Point,L,GW,MN,N/A
MN1020017,Coon Rapids,HFPO-DA,< MRL,10/16/2023,Well #2 Entry Point,Well #2 Entry Point,L,GW,MN,N/A
MN1020017,Coon Rapids,HFPO-DA,< MRL,10/16/2023,Well #4 Entry Point,Well #4 Entry Point,L,GW,MN,N/A
MN1020017,Coon Rapids,HFPO-DA,< MRL,10/16/2023,Well #5 Entry Point,Well #5 Entry Point,L,GW,MN,N/A
MN1020017,Coon Rapids,HFPO-DA,< MRL,10/16/2023,Well #6 Entry Point,Well #6 Entry Point,L,GW,MN,N/A
MN1020017,Coon Rapids,HFPO-DA,< MRL,10/16/2023,Well #7 Entry Point,Well #7 Entry Point,L,GW,MN,N/A
MN1020017,Coon Rapids,lithium,< MRL,10/16/2023,E. TREATMENT PLANT,E. TREATMENT PLANT,L,GW,MN,N
MN1020017,Coon Rapids,lithium,< MRL,10/16/2023,W. TREATMENT PLANT,W. TREATMENT PLANT,L,GW,MN,N
MN1020017,Coon Rapids,lithium,< MRL,10/16/2023,Well #12 Entry Point,Well #12 Entry Point,L,GW,MN,N
MN1020017,Coon Rapids,lithium,< MRL,10/16/2023,Well #2 Entry Point,Well #2 Entry Point,L,GW,MN,N
MN1020017,Coon Rapids,lithium,< MRL,10/16/2023,Well #4 Entry Point,Well #4 Entry Point,L,GW,MN,N
MN1020017,Coon Rapids,lithium,< MRL,10/16/2023,Well #5 Entry Point,Well #5 Entry Point,L,GW,MN,N
MN1020017,Coon Rapids,lithium,< MRL,10/16/2023,Well #6 Entry Point,Well #6 Entry Point,L,GW,MN,N
MN1020017,Coon Rapids,lithium,< MRL,10/16/2023,Well #7 Entry Point,Well #7 Entry Point,L,GW,MN,N
MN1020017,Coon Rapids,NEtFOSAA,< MRL,10/16/2023,E. TREATMENT PLANT,E. TREATMENT PLANT,L,GW,MN,N/A
