PWS ID,PWS Name,Contaminant,Result (µg/L),Collection Date,Facility Name,Sample Point Name,PWS Size,Facility Water Type,State,Result > Health-Based Ref Conc
MS0010005,"BROADMOOR UTILITIES, INC",4:2 FTS,< MRL,3/20/2023,Broadmoor Utility,Gardner Circle EP,S,GW,MS,N/A
MS0010005,"BROADMOOR UTILITIES, INC",6:2 FTS,< MRL,3/20/2023,Broadmoor Utility,Gardner Circle EP,S,GW,MS,N/A
MS0010005,"BROADMOOR UTILITIES, INC",8:2 FTS,< MRL,3/20/2023,Broadmoor Utility,Gardner Circle EP,S,GW,MS,N/A
MS0010005,"BROADMOOR UTILITIES, INC",9Cl-PF3ONS,< MRL,3/20/2023,Broadmoor Utility,Gardner Circle EP,S,GW,MS,N/A
MS0010005,"BROADMOOR UTILITIES, INC",11Cl-PF3OUdS,< MRL,3/20/2023,Broadmoor Utility,Gardner Circle EP,S,GW,MS,N/A
MS0010005,"BROADMOOR UTILITIES, INC",ADONA,< MRL,3/20/2023,Broadmoor Utility,Gardner Circle EP,S,GW,MS,N/A
MS0010005,"BROADMOOR UTILITIES, INC",HFPO-DA,< MRL,3/20/2023,Broadmoor Utility,Gardner Circle EP,S,GW,MS,N/A
MS0010005,"BROADMOOR UTILITIES, INC",lithium,< MRL,3/20/2023,Broadmoor Utility,Gardner Circle EP,S,GW,MS,N
MS0010005,"BROADMOOR UTILITIES, INC",NEtFOSAA,< MRL,3/20/2023,Broadmoor Utility,Gardner Circle EP,S,GW,MS,N/A
MS0010005,"BROADMOOR UTILITIES, INC",NFDHA,< MRL,3/20/2023,Broadmoor Utility,Gardner Circle EP,S,GW,MS,N/A
MS0010005,"BROADMOOR UTILITIES, INC",NMeFOSAA,< MRL,3/20/2023,Broadmoor Utility,Gardner Circle EP,S,GW,MS,N/A
MS0010005,"BROADMOOR UTILITIES, INC",PFBA,< MRL,3/20/2023,Broadmoor Utility,Gardner Circle EP,S,GW,MS,N/A
MS0010005,"BROADMOOR UTILITIES, INC",PFBS,< MRL,3/20/2023,Broadmoor Utility,Gardner Circle EP,S,GW,MS,N/A
MS0010005,"BROADMOOR UTILITIES, INC",PFDA,< MRL,3/20/2023,Broadmoor Utility,Gardner Circle EP,S,GW,MS,N/A
MS0010005,"BROADMOOR UTILITIES, INC",PFDoA,< MRL,3/20/2023,Broadmoor Utility,Gardner Circle EP,S,GW,MS,N/A
MS0010005,"BROADMOOR UTILITIES, INC",PFEESA,< MRL,3/20/2023,Broadmoor Utility,Gardner Circle EP,S,GW,MS,N/A
MS0010005,"BROADMOOR UTILITIES, INC",PFHpA,< MRL,3/20/2023,Broadmoor Utility,Gardner Circle EP,S,GW,MS,N/A
MS0010005,"BROADMOOR UTILITIES, INC",PFHpS,< MRL,3/20/2023,Broadmoor Utility,Gardner Circle EP,S,GW,MS,N/A
MS0010005,"BROADMOOR UTILITIES, INC",PFHxA,< MRL,3/20/2023,Broadmoor Utility,Gardner Circle EP,S,GW,MS,N/A
MS0010005,"BROADMOOR UTILITIES, INC",PFHxS,< MRL,3/20/2023,Broadmoor Utility,Gardner Circle EP,S,GW,MS,N/A
MS0010005,"BROADMOOR UTILITIES, INC",PFMBA,< MRL,3/20/2023,Broadmoor Utility,Gardner Circle EP,S,GW,MS,N/A
MS0010005,"BROADMOOR UTILITIES, INC",PFMPA,< MRL,3/20/2023,Broadmoor Utility,Gardner Circle EP,S,GW,MS,N/A
MS0010005,"BROADMOOR UTILITIES, INC",PFNA,< MRL,3/20/2023,Broadmoor Utility,Gardner Circle EP,S,GW,MS,N/A
MS0010005,"BROADMOOR UTILITIES, INC",PFOA,< MRL,3/20/2023,Broadmoor Utility,Gardner Circle EP,S,GW,MS,N/A
MS0010005,"BROADMOOR UTILITIES, INC",PFOS,< MRL,3/20/2023,Broadmoor Utility,Gardner Circle EP,S,GW,MS,N/A
MS0010005,"BROADMOOR UTILITIES, INC",PFPeA,< MRL,3/20/2023,Broadmoor Utility,Gardner Circle EP,S,GW,MS,N/A
MS0010005,"BROADMOOR UTILITIES, INC",PFPeS,< MRL,3/20/2023,Broadmoor Utility,Gardner Circle EP,S,GW,MS,N/A
MS0010005,"BROADMOOR UTILITIES, INC",PFTA,< MRL,3/20/2023,Broadmoor Utility,Gardner Circle EP,S,GW,MS,N/A
MS0010005,"BROADMOOR UTILITIES, INC",PFTrDA,< MRL,3/20/2023,Broadmoor Utility,Gardner Circle EP,S,GW,MS,N/A
MS0010005,"BROADMOOR UTILITIES, INC",PFUnA,< MRL,3/20/2023,Broadmoor Utility,Gardner Circle EP,S,GW,MS,N/A
MS0010005,"BROADMOOR UTILITIES, INC",lithium,< MRL,10/9/2023,Broadmoor Utility,Gardner Circle EP,S,GW,MS,N
MS0010005,"BROADMOOR UTILITIES, INC",NEtFOSAA,< MRL,11/6/2023,Broadmoor Utility,Gardner Circle EP,S,GW,MS,N/A
MS0010005,"BROADMOOR UTILITIES, INC",NMeFOSAA,< MRL,11/6/2023,Broadmoor Utility,Gardner Circle EP,S,GW,MS,N/A
MS0010005,"BROADMOOR UTILITIES, INC",PFTA,< MRL,11/6/2023,Broadmoor Utility,Gardner Circle EP,S,GW,MS,N/A
MS0010005,"BROADMOOR UTILITIES, INC",PFTrDA,< MRL,11/6/2023,Broadmoor Utility,Gardner Circle EP,S,GW,MS,N/A
MS0010005,"BROADMOOR UTILITIES, INC",4:2 FTS,< MRL,1/17/2024,Broadmoor Utility,Gardner Circle EP,S,GW,MS,N/A
MS0010005,"BROADMOOR UTILITIES, INC",6:2 FTS,0.0155,1/17/2024,Broadmoor Utility,Gardner Circle EP,S,GW,MS,N/A
MS0010005,"BROADMOOR UTILITIES, INC",8:2 FTS,< MRL,1/17/2024,Broadmoor Utility,Gardner Circle EP,S,GW,MS,N/A
MS0010005,"BROADMOOR UTILITIES, INC",9Cl-PF3ONS,< MRL,1/17/2024,Broadmoor Utility,Gardner Circle EP,S,GW,MS,N/A
MS0010005,"BROADMOOR UTILITIES, INC",11Cl-PF3OUdS,< MRL,1/17/2024,Broadmoor Utility,Gardner Circle EP,S,GW,MS,N/A
MS0010005,"BROADMOOR UTILITIES, INC",ADONA,< MRL,1/17/2024,Broadmoor Utility,Gardner Circle EP,S,GW,MS,N/A
MS0010005,"BROADMOOR UTILITIES, INC",HFPO-DA,< MRL,1/17/2024,Broadmoor Utility,Gardner Circle EP,S,GW,MS,N/A
MS0010005,"BROADMOOR UTILITIES, INC",NFDHA,< MRL,1/17/2024,Broadmoor Utility,Gardner Circle EP,S,GW,MS,N/A
MS0010005,"BROADMOOR UTILITIES, INC",PFBA,< MRL,1/17/2024,Broadmoor Utility,Gardner Circle EP,S,GW,MS,N/A
MS0010005,"BROADMOOR UTILITIES, INC",PFBS,< MRL,1/17/2024,Broadmoor Utility,Gardner Circle EP,S,GW,MS,N/A
MS0010005,"BROADMOOR UTILITIES, INC",PFDA,< MRL,1/17/2024,Broadmoor Utility,Gardner Circle EP,S,GW,MS,N/A
