PWS ID,PWS Name,Contaminant,Result (µg/L),Collection Date,Facility Name,Sample Point Name,PWS Size,Facility Water Type,State,Result > Health-Based Ref Conc
MO1010675,RAYMORE PWS,4:2 FTS,< MRL,1/8/2024,RAYMORE PWS,CC 1 KANSAS CITY MO1010415,L,SW,MO,N/A
MO1010675,RAYMORE PWS,4:2 FTS,< MRL,1/8/2024,RAYMORE PWS,CC 2 CASS CO PWSD 10 MO1024113,L,SW,MO,N/A
MO1010675,RAYMORE PWS,6:2 FTS,< MRL,1/8/2024,RAYMORE PWS,CC 1 KANSAS CITY MO1010415,L,SW,MO,N/A
MO1010675,RAYMORE PWS,6:2 FTS,< MRL,1/8/2024,RAYMORE PWS,CC 2 CASS CO PWSD 10 MO1024113,L,SW,MO,N/A
MO1010675,RAYMORE PWS,8:2 FTS,< MRL,1/8/2024,RAYMORE PWS,CC 1 KANSAS CITY MO1010415,L,SW,MO,N/A
MO1010675,RAYMORE PWS,8:2 FTS,< MRL,1/8/2024,RAYMORE PWS,CC 2 CASS CO PWSD 10 MO1024113,L,SW,MO,N/A
MO1010675,RAYMORE PWS,9Cl-PF3ONS,< MRL,1/8/2024,RAYMORE PWS,CC 1 KANSAS CITY MO1010415,L,SW,MO,N/A
MO1010675,RAYMORE PWS,9Cl-PF3ONS,< MRL,1/8/2024,RAYMORE PWS,CC 2 CASS CO PWSD 10 MO1024113,L,SW,MO,N/A
MO1010675,RAYMORE PWS,11Cl-PF3OUdS,< MRL,1/8/2024,RAYMORE PWS,CC 1 KANSAS CITY MO1010415,L,SW,MO,N/A
MO1010675,RAYMORE PWS,11Cl-PF3OUdS,< MRL,1/8/2024,RAYMORE PWS,CC 2 CASS CO PWSD 10 MO1024113,L,SW,MO,N/A
MO1010675,RAYMORE PWS,ADONA,< MRL,1/8/2024,RAYMORE PWS,CC 1 KANSAS CITY MO1010415,L,SW,MO,N/A
MO1010675,RAYMORE PWS,ADONA,< MRL,1/8/2024,RAYMORE PWS,CC 2 CASS CO PWSD 10 MO1024113,L,SW,MO,N/A
MO1010675,RAYMORE PWS,HFPO-DA,< MRL,1/8/2024,RAYMORE PWS,CC 1 KANSAS CITY MO1010415,L,SW,MO,N/A
MO1010675,RAYMORE PWS,HFPO-DA,< MRL,1/8/2024,RAYMORE PWS,CC 2 CASS CO PWSD 10 MO1024113,L,SW,MO,N/A
MO1010675,RAYMORE PWS,lithium,78.3,1/8/2024,RAYMORE PWS,CC 1 KANSAS CITY MO1010415,L,SW,MO,Y
MO1010675,RAYMORE PWS,lithium,82.9,1/8/2024,RAYMORE PWS,CC 2 CASS CO PWSD 10 MO1024113,L,SW,MO,Y
MO1010675,RAYMORE PWS,NEtFOSAA,< MRL,1/8/2024,RAYMORE PWS,CC 1 KANSAS CITY MO1010415,L,SW,MO,N/A
MO1010675,RAYMORE PWS,NEtFOSAA,< MRL,1/8/2024,RAYMORE PWS,CC 2 CASS CO PWSD 10 MO1024113,L,SW,MO,N/A
MO1010675,RAYMORE PWS,NFDHA,< MRL,1/8/2024,RAYMORE PWS,CC 1 KANSAS CITY MO1010415,L,SW,MO,N/A
MO1010675,RAYMORE PWS,NFDHA,< MRL,1/8/2024,RAYMORE PWS,CC 2 CASS CO PWSD 10 MO1024113,L,SW,MO,N/A
MO1010675,RAYMORE PWS,NMeFOSAA,< MRL,1/8/2024,RAYMORE PWS,CC 1 KANSAS CITY MO1010415,L,SW,MO,N/A
MO1010675,RAYMORE PWS,NMeFOSAA,< MRL,1/8/2024,RAYMORE PWS,CC 2 CASS CO PWSD 10 MO1024113,L,SW,MO,N/A
MO1010675,RAYMORE PWS,PFBA,< MRL,1/8/2024,RAYMORE PWS,CC 1 KANSAS CITY MO1010415,L,SW,MO,N/A
MO1010675,RAYMORE PWS,PFBA,< MRL,1/8/2024,RAYMORE PWS,CC 2 CASS CO PWSD 10 MO1024113,L,SW,MO,N/A
MO1010675,RAYMORE PWS,PFBS,< MRL,1/8/2024,RAYMORE PWS,CC 1 KANSAS CITY MO1010415,L,SW,MO,N/A
MO1010675,RAYMORE PWS,PFBS,< MRL,1/8/2024,RAYMORE PWS,CC 2 CASS CO PWSD 10 MO1024113,L,SW,MO,N/A
MO1010675,RAYMORE PWS,PFDA,< MRL,1/8/2024,RAYMORE PWS,CC 1 KANSAS CITY MO1010415,L,SW,MO,N/A
MO1010675,RAYMORE PWS,PFDA,< MRL,1/8/2024,RAYMORE PWS,CC 2 CASS CO PWSD 10 MO1024113,L,SW,MO,N/A
MO1010675,RAYMORE PWS,PFDoA,< MRL,1/8/2024,RAYMORE PWS,CC 1 KANSAS CITY MO1010415,L,SW,MO,N/A
MO1010675,RAYMORE PWS,PFDoA,< MRL,1/8/2024,RAYMORE PWS,CC 2 CASS CO PWSD 10 MO1024113,L,SW,MO,N/A
MO1010675,RAYMORE PWS,PFEESA,< MRL,1/8/2024,RAYMORE PWS,CC 1 KANSAS CITY MO1010415,L,SW,MO,N/A
MO1010675,RAYMORE PWS,PFEESA,< MRL,1/8/2024,RAYMORE PWS,CC 2 CASS CO PWSD 10 MO1024113,L,SW,MO,N/A
MO1010675,RAYMORE PWS,PFHpA,< MRL,1/8/2024,RAYMORE PWS,CC 1 KANSAS CITY MO1010415,L,SW,MO,N/A
MO1010675,RAYMORE PWS,PFHpA,< MRL,1/8/2024,RAYMORE PWS,CC 2 CASS CO PWSD 10 MO1024113,L,SW,MO,N/A
MO1010675,RAYMORE PWS,PFHpS,< MRL,1/8/2024,RAYMORE PWS,CC 1 KANSAS CITY MO1010415,L,SW,MO,N/A
MO1010675,RAYMORE PWS,PFHpS,< MRL,1/8/2024,RAYMORE PWS,CC 2 CASS CO PWSD 10 MO1024113,L,SW,MO,N/A
MO1010675,RAYMORE PWS,PFHxA,< MRL,1/8/2024,RAYMORE PWS,CC 1 KANSAS CITY MO1010415,L,SW,MO,N/A
MO1010675,RAYMORE PWS,PFHxA,< MRL,1/8/2024,RAYMORE PWS,CC 2 CASS CO PWSD 10 MO1024113,L,SW,MO,N/A
MO1010675,RAYMORE PWS,PFHxS,< MRL,1/8/2024,RAYMORE PWS,CC 1 KANSAS CITY MO1010415,L,SW,MO,N/A
MO1010675,RAYMORE PWS,PFHxS,< MRL,1/8/2024,RAYMORE PWS,CC 2 CASS CO PWSD 10 MO1024113,L,SW,MO,N/A
MO1010675,RAYMORE PWS,PFMBA,< MRL,1/8/2024,RAYMORE PWS,CC 1 KANSAS CITY MO1010415,L,SW,MO,N/A
MO1010675,RAYMORE PWS,PFMBA,< MRL,1/8/2024,RAYMORE PWS,CC 2 CASS CO PWSD 10 MO1024113,L,SW,MO,N/A
MO1010675,RAYMORE PWS,PFMPA,< MRL,1/8/2024,RAYMORE PWS,CC 1 KANSAS CITY MO1010415,L,SW,MO,N/A
MO1010675,RAYMORE PWS,PFMPA,< MRL,1/8/2024,RAYMORE PWS,CC 2 CASS CO PWSD 10 MO1024113,L,SW,MO,N/A
MO1010675,RAYMORE PWS,PFNA,< MRL,1/8/2024,RAYMORE PWS,CC 1 KANSAS CITY MO1010415,L,SW,MO,N/A
MO1010675,RAYMORE PWS,PFNA,< MRL,1/8/2024,RAYMORE PWS,CC 2 CASS CO PWSD 10 MO1024113,L,SW,MO,N/A
MO1010675,RAYMORE PWS,PFOA,< MRL,1/8/2024,RAYMORE PWS,CC 1 KANSAS CITY MO1010415,L,SW,MO,N/A
MO1010675,RAYMORE PWS,PFOA,< MRL,1/8/2024,RAYMORE PWS,CC 2 CASS CO PWSD 10 MO1024113,L,SW,MO,N/A
MO1010675,RAYMORE PWS,PFOS,< MRL,1/8/2024,RAYMORE PWS,CC 1 KANSAS CITY MO1010415,L,SW,MO,N/A
MO1010675,RAYMORE PWS,PFOS,< MRL,1/8/2024,RAYMORE PWS,CC 2 CASS CO PWSD 10 MO1024113,L,SW,MO,N/A
MO1010675,RAYMORE PWS,PFPeA,< MRL,1/8/2024,RAYMORE PWS,CC 1 KANSAS CITY MO1010415,L,SW,MO,N/A
MO1010675,RAYMORE PWS,PFPeA,< MRL,1/8/2024,RAYMORE PWS,CC 2 CASS CO PWSD 10 MO1024113,L,SW,MO,N/A
