PWS ID,PWS Name,Contaminant,Result (µg/L),Collection Date,Facility Name,Sample Point Name,PWS Size,Facility Water Type,State,Result > Health-Based Ref Conc
MT0000153,BILLINGS  CITY OF,4:2 FTS,< MRL,1/10/2023,Yellowstone River TP,Entry Point to Dist. System,L,SW,MT,N/A
MT0000153,BILLINGS  CITY OF,6:2 FTS,< MRL,1/10/2023,Yellowstone River TP,Entry Point to Dist. System,L,SW,MT,N/A
MT0000153,BILLINGS  CITY OF,8:2 FTS,< MRL,1/10/2023,Yellowstone River TP,Entry Point to Dist. System,L,SW,MT,N/A
MT0000153,BILLINGS  CITY OF,9Cl-PF3ONS,< MRL,1/10/2023,Yellowstone River TP,Entry Point to Dist. System,L,SW,MT,N/A
MT0000153,BILLINGS  CITY OF,11Cl-PF3OUdS,< MRL,1/10/2023,Yellowstone River TP,Entry Point to Dist. System,L,SW,MT,N/A
MT0000153,BILLINGS  CITY OF,ADONA,< MRL,1/10/2023,Yellowstone River TP,Entry Point to Dist. System,L,SW,MT,N/A
MT0000153,BILLINGS  CITY OF,HFPO-DA,< MRL,1/10/2023,Yellowstone River TP,Entry Point to Dist. System,L,SW,MT,N/A
MT0000153,BILLINGS  CITY OF,lithium,53,1/10/2023,Yellowstone River TP,Entry Point to Dist. System,L,SW,MT,Y
MT0000153,BILLINGS  CITY OF,NEtFOSAA,< MRL,1/10/2023,Yellowstone River TP,Entry Point to Dist. System,L,SW,MT,N/A
MT0000153,BILLINGS  CITY OF,NFDHA,< MRL,1/10/2023,Yellowstone River TP,Entry Point to Dist. System,L,SW,MT,N/A
MT0000153,BILLINGS  CITY OF,NMeFOSAA,< MRL,1/10/2023,Yellowstone River TP,Entry Point to Dist. System,L,SW,MT,N/A
MT0000153,BILLINGS  CITY OF,PFBA,< MRL,1/10/2023,Yellowstone River TP,Entry Point to Dist. System,L,SW,MT,N/A
MT0000153,BILLINGS  CITY OF,PFBS,< MRL,1/10/2023,Yellowstone River TP,Entry Point to Dist. System,L,SW,MT,N/A
MT0000153,BILLINGS  CITY OF,PFDA,< MRL,1/10/2023,Yellowstone River TP,Entry Point to Dist. System,L,SW,MT,N/A
MT0000153,BILLINGS  CITY OF,PFDoA,< MRL,1/10/2023,Yellowstone River TP,Entry Point to Dist. System,L,SW,MT,N/A
MT0000153,BILLINGS  CITY OF,PFEESA,< MRL,1/10/2023,Yellowstone River TP,Entry Point to Dist. System,L,SW,MT,N/A
MT0000153,BILLINGS  CITY OF,PFHpA,< MRL,1/10/2023,Yellowstone River TP,Entry Point to Dist. System,L,SW,MT,N/A
MT0000153,BILLINGS  CITY OF,PFHpS,< MRL,1/10/2023,Yellowstone River TP,Entry Point to Dist. System,L,SW,MT,N/A
MT0000153,BILLINGS  CITY OF,PFHxA,< MRL,1/10/2023,Yellowstone River TP,Entry Point to Dist. System,L,SW,MT,N/A
MT0000153,BILLINGS  CITY OF,PFHxS,< MRL,1/10/2023,Yellowstone River TP,Entry Point to Dist. System,L,SW,MT,N/A
MT0000153,BILLINGS  CITY OF,PFMBA,< MRL,1/10/2023,Yellowstone River TP,Entry Point to Dist. System,L,SW,MT,N/A
MT0000153,BILLINGS  CITY OF,PFMPA,< MRL,1/10/2023,Yellowstone River TP,Entry Point to Dist. System,L,SW,MT,N/A
MT0000153,BILLINGS  CITY OF,PFNA,< MRL,1/10/2023,Yellowstone River TP,Entry Point to Dist. System,L,SW,MT,N/A
MT0000153,BILLINGS  CITY OF,PFOA,< MRL,1/10/2023,Yellowstone River TP,Entry Point to Dist. System,L,SW,MT,N/A
MT0000153,BILLINGS  CITY OF,PFOS,< MRL,1/10/2023,Yellowstone River TP,Entry Point to Dist. System,L,SW,MT,N/A
MT0000153,BILLINGS  CITY OF,PFPeA,< MRL,1/10/2023,Yellowstone River TP,Entry Point to Dist. System,L,SW,MT,N/A
MT0000153,BILLINGS  CITY OF,PFPeS,< MRL,1/10/2023,Yellowstone River TP,Entry Point to Dist. System,L,SW,MT,N/A
MT0000153,BILLINGS  CITY OF,PFTA,< MRL,1/10/2023,Yellowstone River TP,Entry Point to Dist. System,L,SW,MT,N/A
MT0000153,BILLINGS  CITY OF,PFTrDA,< MRL,1/10/2023,Yellowstone River TP,Entry Point to Dist. System,L,SW,MT,N/A
MT0000153,BILLINGS  CITY OF,PFUnA,< MRL,1/10/2023,Yellowstone River TP,Entry Point to Dist. System,L,SW,MT,N/A
MT0000153,BILLINGS  CITY OF,4:2 FTS,< MRL,4/10/2023,Yellowstone River TP,Entry Point to Dist. System,L,SW,MT,N/A
MT0000153,BILLINGS  CITY OF,6:2 FTS,< MRL,4/10/2023,Yellowstone River TP,Entry Point to Dist. System,L,SW,MT,N/A
MT0000153,BILLINGS  CITY OF,8:2 FTS,< MRL,4/10/2023,Yellowstone River TP,Entry Point to Dist. System,L,SW,MT,N/A
MT0000153,BILLINGS  CITY OF,9Cl-PF3ONS,< MRL,4/10/2023,Yellowstone River TP,Entry Point to Dist. System,L,SW,MT,N/A
MT0000153,BILLINGS  CITY OF,11Cl-PF3OUdS,< MRL,4/10/2023,Yellowstone River TP,Entry Point to Dist. System,L,SW,MT,N/A
MT0000153,BILLINGS  CITY OF,ADONA,< MRL,4/10/2023,Yellowstone River TP,Entry Point to Dist. System,L,SW,MT,N/A
MT0000153,BILLINGS  CITY OF,HFPO-DA,< MRL,4/10/2023,Yellowstone River TP,Entry Point to Dist. System,L,SW,MT,N/A
MT0000153,BILLINGS  CITY OF,lithium,57,4/10/2023,Yellowstone River TP,Entry Point to Dist. System,L,SW,MT,Y
MT0000153,BILLINGS  CITY OF,NEtFOSAA,< MRL,4/10/2023,Yellowstone River TP,Entry Point to Dist. System,L,SW,MT,N/A
MT0000153,BILLINGS  CITY OF,NFDHA,< MRL,4/10/2023,Yellowstone River TP,Entry Point to Dist. System,L,SW,MT,N/A
MT0000153,BILLINGS  CITY OF,NMeFOSAA,< MRL,4/10/2023,Yellowstone River TP,Entry Point to Dist. System,L,SW,MT,N/A
MT0000153,BILLINGS  CITY OF,PFBA,< MRL,4/10/2023,Yellowstone River TP,Entry Point to Dist. System,L,SW,MT,N/A
MT0000153,BILLINGS  CITY OF,PFBS,< MRL,4/10/2023,Yellowstone River TP,Entry Point to Dist. System,L,SW,MT,N/A
MT0000153,BILLINGS  CITY OF,PFDA,< MRL,4/10/2023,Yellowstone River TP,Entry Point to Dist. System,L,SW,MT,N/A
MT0000153,BILLINGS  CITY OF,PFDoA,< MRL,4/10/2023,Yellowstone River TP,Entry Point to Dist. System,L,SW,MT,N/A
MT0000153,BILLINGS  CITY OF,PFEESA,< MRL,4/10/2023,Yellowstone River TP,Entry Point to Dist. System,L,SW,MT,N/A
MT0000153,BILLINGS  CITY OF,PFHpA,< MRL,4/10/2023,Yellowstone River TP,Entry Point to Dist. System,L,SW,MT,N/A
MT0000153,BILLINGS  CITY OF,PFHpS,< MRL,4/10/2023,Yellowstone River TP,Entry Point to Dist. System,L,SW,MT,N/A
MT0000153,BILLINGS  CITY OF,PFHxA,< MRL,4/10/2023,Yellowstone River TP,Entry Point to Dist. System,L,SW,MT,N/A
MT0000153,BILLINGS  CITY OF,PFHxS,< MRL,4/10/2023,Yellowstone River TP,Entry Point to Dist. System,L,SW,MT,N/A
MT0000153,BILLINGS  CITY OF,PFMBA,< MRL,4/10/2023,Yellowstone River TP,Entry Point to Dist. System,L,SW,MT,N/A
MT0000153,BILLINGS  CITY OF,PFMPA,< MRL,4/10/2023,Yellowstone River TP,Entry Point to Dist. System,L,SW,MT,N/A
MT0000153,BILLINGS  CITY OF,PFNA,< MRL,4/10/2023,Yellowstone River TP,Entry Point to Dist. System,L,SW,MT,N/A
MT0000153,BILLINGS  CITY OF,PFOA,< MRL,4/10/2023,Yellowstone River TP,Entry Point to Dist. System,L,SW,MT,N/A
MT0000153,BILLINGS  CITY OF,PFOS,< MRL,4/10/2023,Yellowstone River TP,Entry Point to Dist. System,L,SW,MT,N/A
MT0000153,BILLINGS  CITY OF,PFPeA,< MRL,4/10/2023,Yellowstone River TP,Entry Point to Dist. System,L,SW,MT,N/A
MT0000153,BILLINGS  CITY OF,PFPeS,< MRL,4/10/2023,Yellowstone River TP,Entry Point to Dist. System,L,SW,MT,N/A
MT0000153,BILLINGS  CITY OF,PFTA,< MRL,4/10/2023,Yellowstone River TP,Entry Point to Dist. System,L,SW,MT,N/A
MT0000153,BILLINGS  CITY OF,PFTrDA,< MRL,4/10/2023,Yellowstone River TP,Entry Point to Dist. System,L,SW,MT,N/A
MT0000153,BILLINGS  CITY OF,PFUnA,< MRL,4/10/2023,Yellowstone River TP,Entry Point to Dist. System,L,SW,MT,N/A
MT0000153,BILLINGS  CITY OF,4:2 FTS,< MRL,7/18/2023,Yellowstone River TP,Entry Point to Dist. System,L,SW,MT,N/A
MT0000153,BILLINGS  CITY OF,6:2 FTS,< MRL,7/18/2023,Yellowstone River TP,Entry Point to Dist. System,L,SW,MT,N/A
MT0000153,BILLINGS  CITY OF,8:2 FTS,< MRL,7/18/2023,Yellowstone River TP,Entry Point to Dist. System,L,SW,MT,N/A
MT0000153,BILLINGS  CITY OF,9Cl-PF3ONS,< MRL,7/18/2023,Yellowstone River TP,Entry Point to Dist. System,L,SW,MT,N/A
MT0000153,BILLINGS  CITY OF,11Cl-PF3OUdS,< MRL,7/18/2023,Yellowstone River TP,Entry Point to Dist. System,L,SW,MT,N/A
MT0000153,BILLINGS  CITY OF,ADONA,< MRL,7/18/2023,Yellowstone River TP,Entry Point to Dist. System,L,SW,MT,N/A
MT0000153,BILLINGS  CITY OF,HFPO-DA,< MRL,7/18/2023,Yellowstone River TP,Entry Point to Dist. System,L,SW,MT,N/A
MT0000153,BILLINGS  CITY OF,lithium,26,7/18/2023,Yellowstone River TP,Entry Point to Dist. System,L,SW,MT,Y
MT0000153,BILLINGS  CITY OF,NEtFOSAA,< MRL,7/18/2023,Yellowstone River TP,Entry Point to Dist. System,L,SW,MT,N/A
MT0000153,BILLINGS  CITY OF,NFDHA,< MRL,7/18/2023,Yellowstone River TP,Entry Point to Dist. System,L,SW,MT,N/A
MT0000153,BILLINGS  CITY OF,NMeFOSAA,< MRL,7/18/2023,Yellowstone River TP,Entry Point to Dist. System,L,SW,MT,N/A
MT0000153,BILLINGS  CITY OF,PFBA,< MRL,7/18/2023,Yellowstone River TP,Entry Point to Dist. System,L,SW,MT,N/A
MT0000153,BILLINGS  CITY OF,PFBS,< MRL,7/18/2023,Yellowstone River TP,Entry Point to Dist. System,L,SW,MT,N/A
MT0000153,BILLINGS  CITY OF,PFDA,< MRL,7/18/2023,Yellowstone River TP,Entry Point to Dist. System,L,SW,MT,N/A
MT0000153,BILLINGS  CITY OF,PFDoA,< MRL,7/18/2023,Yellowstone River TP,Entry Point to Dist. System,L,SW,MT,N/A
MT0000153,BILLINGS  CITY OF,PFEESA,< MRL,7/18/2023,Yellowstone River TP,Entry Point to Dist. System,L,SW,MT,N/A
MT0000153,BILLINGS  CITY OF,PFHpA,< MRL,7/18/2023,Yellowstone River TP,Entry Point to Dist. System,L,SW,MT,N/A
MT0000153,BILLINGS  CITY OF,PFHpS,< MRL,7/18/2023,Yellowstone River TP,Entry Point to Dist. System,L,SW,MT,N/A
MT0000153,BILLINGS  CITY OF,PFHxA,< MRL,7/18/2023,Yellowstone River TP,Entry Point to Dist. System,L,SW,MT,N/A
MT0000153,BILLINGS  CITY OF,PFHxS,< MRL,7/18/2023,Yellowstone River TP,Entry Point to Dist. System,L,SW,MT,N/A
MT0000153,BILLINGS  CITY OF,PFMBA,< MRL,7/18/2023,Yellowstone River TP,Entry Point to Dist. System,L,SW,MT,N/A
MT0000153,BILLINGS  CITY OF,PFMPA,< MRL,7/18/2023,Yellowstone River TP,Entry Point to Dist. System,L,SW,MT,N/A
MT0000153,BILLINGS  CITY OF,PFNA,< MRL,7/18/2023,Yellowstone River TP,Entry Point to Dist. System,L,SW,MT,N/A
MT0000153,BILLINGS  CITY OF,PFOA,< MRL,7/18/2023,Yellowstone River TP,Entry Point to Dist. System,L,SW,MT,N/A
MT0000153,BILLINGS  CITY OF,PFOS,< MRL,7/18/2023,Yellowstone River TP,Entry Point to Dist. System,L,SW,MT,N/A
MT0000153,BILLINGS  CITY OF,PFPeA,< MRL,7/18/2023,Yellowstone River TP,Entry Point to Dist. System,L,SW,MT,N/A
MT0000153,BILLINGS  CITY OF,PFPeS,< MRL,7/18/2023,Yellowstone River TP,Entry Point to Dist. System,L,SW,MT,N/A
MT0000153,BILLINGS  CITY OF,PFTA,< MRL,7/18/2023,Yellowstone River TP,Entry Point to Dist. System,L,SW,MT,N/A
MT0000153,BILLINGS  CITY OF,PFTrDA,< MRL,7/18/2023,Yellowstone River TP,Entry Point to Dist. System,L,SW,MT,N/A
MT0000153,BILLINGS  CITY OF,PFUnA,< MRL,7/18/2023,Yellowstone River TP,Entry Point to Dist. System,L,SW,MT,N/A
MT0000153,BILLINGS  CITY OF,4:2 FTS,< MRL,10/10/2023,Yellowstone River TP,Entry Point to Dist. System,L,SW,MT,N/A
MT0000153,BILLINGS  CITY OF,6:2 FTS,< MRL,10/10/2023,Yellowstone River TP,Entry Point to Dist. System,L,SW,MT,N/A
MT0000153,BILLINGS  CITY OF,8:2 FTS,< MRL,10/10/2023,Yellowstone River TP,Entry Point to Dist. System,L,SW,MT,N/A
MT0000153,BILLINGS  CITY OF,9Cl-PF3ONS,< MRL,10/10/2023,Yellowstone River TP,Entry Point to Dist. System,L,SW,MT,N/A
MT0000153,BILLINGS  CITY OF,11Cl-PF3OUdS,< MRL,10/10/2023,Yellowstone River TP,Entry Point to Dist. System,L,SW,MT,N/A
MT0000153,BILLINGS  CITY OF,ADONA,< MRL,10/10/2023,Yellowstone River TP,Entry Point to Dist. System,L,SW,MT,N/A
MT0000153,BILLINGS  CITY OF,HFPO-DA,< MRL,10/10/2023,Yellowstone River TP,Entry Point to Dist. System,L,SW,MT,N/A
MT0000153,BILLINGS  CITY OF,lithium,38,10/10/2023,Yellowstone River TP,Entry Point to Dist. System,L,SW,MT,Y
MT0000153,BILLINGS  CITY OF,NEtFOSAA,< MRL,10/10/2023,Yellowstone River TP,Entry Point to Dist. System,L,SW,MT,N/A
MT0000153,BILLINGS  CITY OF,NFDHA,< MRL,10/10/2023,Yellowstone River TP,Entry Point to Dist. System,L,SW,MT,N/A
MT0000153,BILLINGS  CITY OF,NMeFOSAA,< MRL,10/10/2023,Yellowstone River TP,Entry Point to Dist. System,L,SW,MT,N/A
MT0000153,BILLINGS  CITY OF,PFBA,< MRL,10/10/2023,Yellowstone River TP,Entry Point to Dist. System,L,SW,MT,N/A
MT0000153,BILLINGS  CITY OF,PFBS,< MRL,10/10/2023,Yellowstone River TP,Entry Point to Dist. System,L,SW,MT,N/A
MT0000153,BILLINGS  CITY OF,PFDA,< MRL,10/10/2023,Yellowstone River TP,Entry Point to Dist. System,L,SW,MT,N/A
MT0000153,BILLINGS  CITY OF,PFDoA,< MRL,10/10/2023,Yellowstone River TP,Entry Point to Dist. System,L,SW,MT,N/A
MT0000153,BILLINGS  CITY OF,PFEESA,< MRL,10/10/2023,Yellowstone River TP,Entry Point to Dist. System,L,SW,MT,N/A
MT0000153,BILLINGS  CITY OF,PFHpA,< MRL,10/10/2023,Yellowstone River TP,Entry Point to Dist. System,L,SW,MT,N/A
MT0000153,BILLINGS  CITY OF,PFHpS,< MRL,10/10/2023,Yellowstone River TP,Entry Point to Dist. System,L,SW,MT,N/A
MT0000153,BILLINGS  CITY OF,PFHxA,< MRL,10/10/2023,Yellowstone River TP,Entry Point to Dist. System,L,SW,MT,N/A
MT0000153,BILLINGS  CITY OF,PFHxS,< MRL,10/10/2023,Yellowstone River TP,Entry Point to Dist. System,L,SW,MT,N/A
MT0000153,BILLINGS  CITY OF,PFMBA,< MRL,10/10/2023,Yellowstone River TP,Entry Point to Dist. System,L,SW,MT,N/A
MT0000153,BILLINGS  CITY OF,PFMPA,< MRL,10/10/2023,Yellowstone River TP,Entry Point to Dist. System,L,SW,MT,N/A
MT0000153,BILLINGS  CITY OF,PFNA,< MRL,10/10/2023,Yellowstone River TP,Entry Point to Dist. System,L,SW,MT,N/A
MT0000153,BILLINGS  CITY OF,PFOA,< MRL,10/10/2023,Yellowstone River TP,Entry Point to Dist. System,L,SW,MT,N/A
MT0000153,BILLINGS  CITY OF,PFOS,< MRL,10/10/2023,Yellowstone River TP,Entry Point to Dist. System,L,SW,MT,N/A
MT0000153,BILLINGS  CITY OF,PFPeA,< MRL,10/10/2023,Yellowstone River TP,Entry Point to Dist. System,L,SW,MT,N/A
MT0000153,BILLINGS  CITY OF,PFPeS,< MRL,10/10/2023,Yellowstone River TP,Entry Point to Dist. System,L,SW,MT,N/A
MT0000153,BILLINGS  CITY OF,PFTA,< MRL,10/10/2023,Yellowstone River TP,Entry Point to Dist. System,L,SW,MT,N/A
MT0000153,BILLINGS  CITY OF,PFTrDA,< MRL,10/10/2023,Yellowstone River TP,Entry Point to Dist. System,L,SW,MT,N/A
