PWS ID,PWS Name,Contaminant,Result (µg/L),Collection Date,Facility Name,Sample Point Name,PWS Size,Facility Water Type,State,Result > Health-Based Ref Conc
NV0000004,KINGSBURY GID,4:2 FTS,< MRL,3/13/2023,KINGSBURY GID,FINISHED WATER,S,SW,NV,N/A
NV0000004,KINGSBURY GID,6:2 FTS,< MRL,3/13/2023,KINGSBURY GID,FINISHED WATER,S,SW,NV,N/A
NV0000004,KINGSBURY GID,8:2 FTS,< MRL,3/13/2023,KINGSBURY GID,FINISHED WATER,S,SW,NV,N/A
NV0000004,KINGSBURY GID,9Cl-PF3ONS,< MRL,3/13/2023,KINGSBURY GID,FINISHED WATER,S,SW,NV,N/A
NV0000004,KINGSBURY GID,11Cl-PF3OUdS,< MRL,3/13/2023,KINGSBURY GID,FINISHED WATER,S,SW,NV,N/A
NV0000004,KINGSBURY GID,ADONA,< MRL,3/13/2023,KINGSBURY GID,FINISHED WATER,S,SW,NV,N/A
NV0000004,KINGSBURY GID,HFPO-DA,< MRL,3/13/2023,KINGSBURY GID,FINISHED WATER,S,SW,NV,N/A
NV0000004,KINGSBURY GID,lithium,< MRL,3/13/2023,KINGSBURY GID,FINISHED WATER,S,SW,NV,N
NV0000004,KINGSBURY GID,NEtFOSAA,< MRL,3/13/2023,KINGSBURY GID,FINISHED WATER,S,SW,NV,N/A
NV0000004,KINGSBURY GID,NFDHA,< MRL,3/13/2023,KINGSBURY GID,FINISHED WATER,S,SW,NV,N/A
NV0000004,KINGSBURY GID,NMeFOSAA,< MRL,3/13/2023,KINGSBURY GID,FINISHED WATER,S,SW,NV,N/A
NV0000004,KINGSBURY GID,PFBA,< MRL,3/13/2023,KINGSBURY GID,FINISHED WATER,S,SW,NV,N/A
NV0000004,KINGSBURY GID,PFBS,< MRL,3/13/2023,KINGSBURY GID,FINISHED WATER,S,SW,NV,N/A
NV0000004,KINGSBURY GID,PFDA,< MRL,3/13/2023,KINGSBURY GID,FINISHED WATER,S,SW,NV,N/A
NV0000004,KINGSBURY GID,PFDoA,< MRL,3/13/2023,KINGSBURY GID,FINISHED WATER,S,SW,NV,N/A
NV0000004,KINGSBURY GID,PFEESA,< MRL,3/13/2023,KINGSBURY GID,FINISHED WATER,S,SW,NV,N/A
NV0000004,KINGSBURY GID,PFHpA,< MRL,3/13/2023,KINGSBURY GID,FINISHED WATER,S,SW,NV,N/A
NV0000004,KINGSBURY GID,PFHpS,< MRL,3/13/2023,KINGSBURY GID,FINISHED WATER,S,SW,NV,N/A
NV0000004,KINGSBURY GID,PFHxA,< MRL,3/13/2023,KINGSBURY GID,FINISHED WATER,S,SW,NV,N/A
NV0000004,KINGSBURY GID,PFHxS,< MRL,3/13/2023,KINGSBURY GID,FINISHED WATER,S,SW,NV,N/A
NV0000004,KINGSBURY GID,PFMBA,< MRL,3/13/2023,KINGSBURY GID,FINISHED WATER,S,SW,NV,N/A
NV0000004,KINGSBURY GID,PFMPA,< MRL,3/13/2023,KINGSBURY GID,FINISHED WATER,S,SW,NV,N/A
NV0000004,KINGSBURY GID,PFNA,< MRL,3/13/2023,KINGSBURY GID,FINISHED WATER,S,SW,NV,N/A
NV0000004,KINGSBURY GID,PFOA,< MRL,3/13/2023,KINGSBURY GID,FINISHED WATER,S,SW,NV,N/A
NV0000004,KINGSBURY GID,PFOS,< MRL,3/13/2023,KINGSBURY GID,FINISHED WATER,S,SW,NV,N/A
NV0000004,KINGSBURY GID,PFPeA,< MRL,3/13/2023,KINGSBURY GID,FINISHED WATER,S,SW,NV,N/A
NV0000004,KINGSBURY GID,PFPeS,< MRL,3/13/2023,KINGSBURY GID,FINISHED WATER,S,SW,NV,N/A
NV0000004,KINGSBURY GID,PFTA,< MRL,3/13/2023,KINGSBURY GID,FINISHED WATER,S,SW,NV,N/A
NV0000004,KINGSBURY GID,PFTrDA,< MRL,3/13/2023,KINGSBURY GID,FINISHED WATER,S,SW,NV,N/A
NV0000004,KINGSBURY GID,PFUnA,< MRL,3/13/2023,KINGSBURY GID,FINISHED WATER,S,SW,NV,N/A
NV0000004,KINGSBURY GID,4:2 FTS,< MRL,6/28/2023,KINGSBURY GID,FINISHED WATER,S,SW,NV,N/A
NV0000004,KINGSBURY GID,6:2 FTS,< MRL,6/28/2023,KINGSBURY GID,FINISHED WATER,S,SW,NV,N/A
NV0000004,KINGSBURY GID,8:2 FTS,< MRL,6/28/2023,KINGSBURY GID,FINISHED WATER,S,SW,NV,N/A
NV0000004,KINGSBURY GID,9Cl-PF3ONS,< MRL,6/28/2023,KINGSBURY GID,FINISHED WATER,S,SW,NV,N/A
NV0000004,KINGSBURY GID,11Cl-PF3OUdS,< MRL,6/28/2023,KINGSBURY GID,FINISHED WATER,S,SW,NV,N/A
NV0000004,KINGSBURY GID,ADONA,< MRL,6/28/2023,KINGSBURY GID,FINISHED WATER,S,SW,NV,N/A
NV0000004,KINGSBURY GID,HFPO-DA,< MRL,6/28/2023,KINGSBURY GID,FINISHED WATER,S,SW,NV,N/A
NV0000004,KINGSBURY GID,lithium,< MRL,6/28/2023,KINGSBURY GID,FINISHED WATER,S,SW,NV,N
NV0000004,KINGSBURY GID,NEtFOSAA,< MRL,6/28/2023,KINGSBURY GID,FINISHED WATER,S,SW,NV,N/A
NV0000004,KINGSBURY GID,NFDHA,< MRL,6/28/2023,KINGSBURY GID,FINISHED WATER,S,SW,NV,N/A
NV0000004,KINGSBURY GID,NMeFOSAA,< MRL,6/28/2023,KINGSBURY GID,FINISHED WATER,S,SW,NV,N/A
NV0000004,KINGSBURY GID,PFBA,< MRL,6/28/2023,KINGSBURY GID,FINISHED WATER,S,SW,NV,N/A
NV0000004,KINGSBURY GID,PFBS,< MRL,6/28/2023,KINGSBURY GID,FINISHED WATER,S,SW,NV,N/A
NV0000004,KINGSBURY GID,PFDA,< MRL,6/28/2023,KINGSBURY GID,FINISHED WATER,S,SW,NV,N/A
