PWS ID,PWS Name,Contaminant,Result (µg/L),Collection Date,Facility Name,Sample Point Name,PWS Size,Facility Water Type,State,Result > Health-Based Ref Conc
NH0161020,LOWER BARTLETT WATER PCT,4:2 FTS,< MRL,2/13/2023,PUMPHOUSE,DEP TAP/PH/GPW1/INTERVALE LANE/EAST/001,S,GW,NH,N/A
NH0161020,LOWER BARTLETT WATER PCT,4:2 FTS,< MRL,2/13/2023,PUMPHOUSE,DEP TAP/PH/GPW2/INTERVALE LANE 11/W/003,S,GW,NH,N/A
NH0161020,LOWER BARTLETT WATER PCT,6:2 FTS,< MRL,2/13/2023,PUMPHOUSE,DEP TAP/PH/GPW1/INTERVALE LANE/EAST/001,S,GW,NH,N/A
NH0161020,LOWER BARTLETT WATER PCT,6:2 FTS,< MRL,2/13/2023,PUMPHOUSE,DEP TAP/PH/GPW2/INTERVALE LANE 11/W/003,S,GW,NH,N/A
NH0161020,LOWER BARTLETT WATER PCT,8:2 FTS,< MRL,2/13/2023,PUMPHOUSE,DEP TAP/PH/GPW1/INTERVALE LANE/EAST/001,S,GW,NH,N/A
NH0161020,LOWER BARTLETT WATER PCT,8:2 FTS,< MRL,2/13/2023,PUMPHOUSE,DEP TAP/PH/GPW2/INTERVALE LANE 11/W/003,S,GW,NH,N/A
NH0161020,LOWER BARTLETT WATER PCT,9Cl-PF3ONS,< MRL,2/13/2023,PUMPHOUSE,DEP TAP/PH/GPW1/INTERVALE LANE/EAST/001,S,GW,NH,N/A
NH0161020,LOWER BARTLETT WATER PCT,9Cl-PF3ONS,< MRL,2/13/2023,PUMPHOUSE,DEP TAP/PH/GPW2/INTERVALE LANE 11/W/003,S,GW,NH,N/A
NH0161020,LOWER BARTLETT WATER PCT,11Cl-PF3OUdS,< MRL,2/13/2023,PUMPHOUSE,DEP TAP/PH/GPW1/INTERVALE LANE/EAST/001,S,GW,NH,N/A
NH0161020,LOWER BARTLETT WATER PCT,11Cl-PF3OUdS,< MRL,2/13/2023,PUMPHOUSE,DEP TAP/PH/GPW2/INTERVALE LANE 11/W/003,S,GW,NH,N/A
NH0161020,LOWER BARTLETT WATER PCT,ADONA,< MRL,2/13/2023,PUMPHOUSE,DEP TAP/PH/GPW1/INTERVALE LANE/EAST/001,S,GW,NH,N/A
NH0161020,LOWER BARTLETT WATER PCT,ADONA,< MRL,2/13/2023,PUMPHOUSE,DEP TAP/PH/GPW2/INTERVALE LANE 11/W/003,S,GW,NH,N/A
NH0161020,LOWER BARTLETT WATER PCT,HFPO-DA,< MRL,2/13/2023,PUMPHOUSE,DEP TAP/PH/GPW1/INTERVALE LANE/EAST/001,S,GW,NH,N/A
NH0161020,LOWER BARTLETT WATER PCT,HFPO-DA,< MRL,2/13/2023,PUMPHOUSE,DEP TAP/PH/GPW2/INTERVALE LANE 11/W/003,S,GW,NH,N/A
