PWS ID,PWS Name,Contaminant,Result (µg/L),Collection Date,Facility Name,Sample Point Name,PWS Size,Facility Water Type,State,Result > Health-Based Ref Conc
NJ0102301,RESORTS ATLANTIC CITY,4:2 FTS,< MRL,6/13/2023,RESORTS ATLANTIC CITY,TREATMENT PLANT,S,GW,NJ,N/A
NJ0102301,RESORTS ATLANTIC CITY,6:2 FTS,< MRL,6/13/2023,RESORTS ATLANTIC CITY,TREATMENT PLANT,S,GW,NJ,N/A
NJ0102301,RESORTS ATLANTIC CITY,8:2 FTS,< MRL,6/13/2023,RESORTS ATLANTIC CITY,TREATMENT PLANT,S,GW,NJ,N/A
NJ0102301,RESORTS ATLANTIC CITY,9Cl-PF3ONS,< MRL,6/13/2023,RESORTS ATLANTIC CITY,TREATMENT PLANT,S,GW,NJ,N/A
NJ0102301,RESORTS ATLANTIC CITY,11Cl-PF3OUdS,< MRL,6/13/2023,RESORTS ATLANTIC CITY,TREATMENT PLANT,S,GW,NJ,N/A
NJ0102301,RESORTS ATLANTIC CITY,ADONA,< MRL,6/13/2023,RESORTS ATLANTIC CITY,TREATMENT PLANT,S,GW,NJ,N/A
NJ0102301,RESORTS ATLANTIC CITY,HFPO-DA,< MRL,6/13/2023,RESORTS ATLANTIC CITY,TREATMENT PLANT,S,GW,NJ,N/A
NJ0102301,RESORTS ATLANTIC CITY,lithium,< MRL,6/13/2023,RESORTS ATLANTIC CITY,TREATMENT PLANT,S,GW,NJ,N
NJ0102301,RESORTS ATLANTIC CITY,NEtFOSAA,< MRL,6/13/2023,RESORTS ATLANTIC CITY,TREATMENT PLANT,S,GW,NJ,N/A
NJ0102301,RESORTS ATLANTIC CITY,NFDHA,< MRL,6/13/2023,RESORTS ATLANTIC CITY,TREATMENT PLANT,S,GW,NJ,N/A
NJ0102301,RESORTS ATLANTIC CITY,NMeFOSAA,< MRL,6/13/2023,RESORTS ATLANTIC CITY,TREATMENT PLANT,S,GW,NJ,N/A
NJ0102301,RESORTS ATLANTIC CITY,PFBA,< MRL,6/13/2023,RESORTS ATLANTIC CITY,TREATMENT PLANT,S,GW,NJ,N/A
NJ0102301,RESORTS ATLANTIC CITY,PFBS,< MRL,6/13/2023,RESORTS ATLANTIC CITY,TREATMENT PLANT,S,GW,NJ,N/A
NJ0102301,RESORTS ATLANTIC CITY,PFDA,< MRL,6/13/2023,RESORTS ATLANTIC CITY,TREATMENT PLANT,S,GW,NJ,N/A
NJ0102301,RESORTS ATLANTIC CITY,PFDoA,< MRL,6/13/2023,RESORTS ATLANTIC CITY,TREATMENT PLANT,S,GW,NJ,N/A
NJ0102301,RESORTS ATLANTIC CITY,PFEESA,< MRL,6/13/2023,RESORTS ATLANTIC CITY,TREATMENT PLANT,S,GW,NJ,N/A
NJ0102301,RESORTS ATLANTIC CITY,PFHpA,< MRL,6/13/2023,RESORTS ATLANTIC CITY,TREATMENT PLANT,S,GW,NJ,N/A
NJ0102301,RESORTS ATLANTIC CITY,PFHpS,< MRL,6/13/2023,RESORTS ATLANTIC CITY,TREATMENT PLANT,S,GW,NJ,N/A
NJ0102301,RESORTS ATLANTIC CITY,PFHxA,< MRL,6/13/2023,RESORTS ATLANTIC CITY,TREATMENT PLANT,S,GW,NJ,N/A
NJ0102301,RESORTS ATLANTIC CITY,PFHxS,< MRL,6/13/2023,RESORTS ATLANTIC CITY,TREATMENT PLANT,S,GW,NJ,N/A
NJ0102301,RESORTS ATLANTIC CITY,PFMBA,< MRL,6/13/2023,RESORTS ATLANTIC CITY,TREATMENT PLANT,S,GW,NJ,N/A
NJ0102301,RESORTS ATLANTIC CITY,PFMPA,< MRL,6/13/2023,RESORTS ATLANTIC CITY,TREATMENT PLANT,S,GW,NJ,N/A
NJ0102301,RESORTS ATLANTIC CITY,PFNA,< MRL,6/13/2023,RESORTS ATLANTIC CITY,TREATMENT PLANT,S,GW,NJ,N/A
NJ0102301,RESORTS ATLANTIC CITY,PFOA,< MRL,6/13/2023,RESORTS ATLANTIC CITY,TREATMENT PLANT,S,GW,NJ,N/A
NJ0102301,RESORTS ATLANTIC CITY,PFOS,< MRL,6/13/2023,RESORTS ATLANTIC CITY,TREATMENT PLANT,S,GW,NJ,N/A
NJ0102301,RESORTS ATLANTIC CITY,PFPeA,< MRL,6/13/2023,RESORTS ATLANTIC CITY,TREATMENT PLANT,S,GW,NJ,N/A
NJ0102301,RESORTS ATLANTIC CITY,PFPeS,< MRL,6/13/2023,RESORTS ATLANTIC CITY,TREATMENT PLANT,S,GW,NJ,N/A
NJ0102301,RESORTS ATLANTIC CITY,PFTA,< MRL,6/13/2023,RESORTS ATLANTIC CITY,TREATMENT PLANT,S,GW,NJ,N/A
NJ0102301,RESORTS ATLANTIC CITY,PFTrDA,< MRL,6/13/2023,RESORTS ATLANTIC CITY,TREATMENT PLANT,S,GW,NJ,N/A
NJ0102301,RESORTS ATLANTIC CITY,PFUnA,< MRL,6/13/2023,RESORTS ATLANTIC CITY,TREATMENT PLANT,S,GW,NJ,N/A
NJ0102301,RESORTS ATLANTIC CITY,4:2 FTS,< MRL,12/13/2023,RESORTS ATLANTIC CITY,TREATMENT PLANT,S,GW,NJ,N/A
NJ0102301,RESORTS ATLANTIC CITY,6:2 FTS,< MRL,12/13/2023,RESORTS ATLANTIC CITY,TREATMENT PLANT,S,GW,NJ,N/A
NJ0102301,RESORTS ATLANTIC CITY,8:2 FTS,< MRL,12/13/2023,RESORTS ATLANTIC CITY,TREATMENT PLANT,S,GW,NJ,N/A
NJ0102301,RESORTS ATLANTIC CITY,9Cl-PF3ONS,< MRL,12/13/2023,RESORTS ATLANTIC CITY,TREATMENT PLANT,S,GW,NJ,N/A
NJ0102301,RESORTS ATLANTIC CITY,11Cl-PF3OUdS,< MRL,12/13/2023,RESORTS ATLANTIC CITY,TREATMENT PLANT,S,GW,NJ,N/A
NJ0102301,RESORTS ATLANTIC CITY,ADONA,< MRL,12/13/2023,RESORTS ATLANTIC CITY,TREATMENT PLANT,S,GW,NJ,N/A
NJ0102301,RESORTS ATLANTIC CITY,HFPO-DA,< MRL,12/13/2023,RESORTS ATLANTIC CITY,TREATMENT PLANT,S,GW,NJ,N/A
NJ0102301,RESORTS ATLANTIC CITY,lithium,< MRL,12/13/2023,RESORTS ATLANTIC CITY,TREATMENT PLANT,S,GW,NJ,N
NJ0102301,RESORTS ATLANTIC CITY,NEtFOSAA,< MRL,12/13/2023,RESORTS ATLANTIC CITY,TREATMENT PLANT,S,GW,NJ,N/A
NJ0102301,RESORTS ATLANTIC CITY,NFDHA,< MRL,12/13/2023,RESORTS ATLANTIC CITY,TREATMENT PLANT,S,GW,NJ,N/A
NJ0102301,RESORTS ATLANTIC CITY,NMeFOSAA,< MRL,12/13/2023,RESORTS ATLANTIC CITY,TREATMENT PLANT,S,GW,NJ,N/A
NJ0102301,RESORTS ATLANTIC CITY,PFBA,< MRL,12/13/2023,RESORTS ATLANTIC CITY,TREATMENT PLANT,S,GW,NJ,N/A
NJ0102301,RESORTS ATLANTIC CITY,PFBS,< MRL,12/13/2023,RESORTS ATLANTIC CITY,TREATMENT PLANT,S,GW,NJ,N/A
NJ0102301,RESORTS ATLANTIC CITY,PFDA,< MRL,12/13/2023,RESORTS ATLANTIC CITY,TREATMENT PLANT,S,GW,NJ,N/A
NJ0102301,RESORTS ATLANTIC CITY,PFDoA,< MRL,12/13/2023,RESORTS ATLANTIC CITY,TREATMENT PLANT,S,GW,NJ,N/A
NJ0102301,RESORTS ATLANTIC CITY,PFEESA,< MRL,12/13/2023,RESORTS ATLANTIC CITY,TREATMENT PLANT,S,GW,NJ,N/A
NJ0102301,RESORTS ATLANTIC CITY,PFHpA,< MRL,12/13/2023,RESORTS ATLANTIC CITY,TREATMENT PLANT,S,GW,NJ,N/A
NJ0102301,RESORTS ATLANTIC CITY,PFHpS,< MRL,12/13/2023,RESORTS ATLANTIC CITY,TREATMENT PLANT,S,GW,NJ,N/A
NJ0102301,RESORTS ATLANTIC CITY,PFHxA,< MRL,12/13/2023,RESORTS ATLANTIC CITY,TREATMENT PLANT,S,GW,NJ,N/A
NJ0102301,RESORTS ATLANTIC CITY,PFHxS,< MRL,12/13/2023,RESORTS ATLANTIC CITY,TREATMENT PLANT,S,GW,NJ,N/A
NJ0102301,RESORTS ATLANTIC CITY,PFMBA,< MRL,12/13/2023,RESORTS ATLANTIC CITY,TREATMENT PLANT,S,GW,NJ,N/A
NJ0102301,RESORTS ATLANTIC CITY,PFMPA,< MRL,12/13/2023,RESORTS ATLANTIC CITY,TREATMENT PLANT,S,GW,NJ,N/A
NJ0102301,RESORTS ATLANTIC CITY,PFNA,< MRL,12/13/2023,RESORTS ATLANTIC CITY,TREATMENT PLANT,S,GW,NJ,N/A
NJ0102301,RESORTS ATLANTIC CITY,PFOA,< MRL,12/13/2023,RESORTS ATLANTIC CITY,TREATMENT PLANT,S,GW,NJ,N/A
NJ0102301,RESORTS ATLANTIC CITY,PFOS,< MRL,12/13/2023,RESORTS ATLANTIC CITY,TREATMENT PLANT,S,GW,NJ,N/A
NJ0102301,RESORTS ATLANTIC CITY,PFPeA,< MRL,12/13/2023,RESORTS ATLANTIC CITY,TREATMENT PLANT,S,GW,NJ,N/A
NJ0102301,RESORTS ATLANTIC CITY,PFPeS,< MRL,12/13/2023,RESORTS ATLANTIC CITY,TREATMENT PLANT,S,GW,NJ,N/A
NJ0102301,RESORTS ATLANTIC CITY,PFTA,< MRL,12/13/2023,RESORTS ATLANTIC CITY,TREATMENT PLANT,S,GW,NJ,N/A
NJ0102301,RESORTS ATLANTIC CITY,PFTrDA,< MRL,12/13/2023,RESORTS ATLANTIC CITY,TREATMENT PLANT,S,GW,NJ,N/A
NJ0102301,RESORTS ATLANTIC CITY,PFUnA,< MRL,12/13/2023,RESORTS ATLANTIC CITY,TREATMENT PLANT,S,GW,NJ,N/A
NJ0104003,BUENA BOROUGH MUA,4:2 FTS,< MRL,3/13/2023,BUENA BOROUGH MUA,WELL 1 TREATMENT PLANT,S,GW,NJ,N/A
NJ0104003,BUENA BOROUGH MUA,4:2 FTS,< MRL,3/13/2023,BUENA BOROUGH MUA,WELL 3 TREATMENT PLANT,S,GW,NJ,N/A
NJ0104003,BUENA BOROUGH MUA,6:2 FTS,< MRL,3/13/2023,BUENA BOROUGH MUA,WELL 1 TREATMENT PLANT,S,GW,NJ,N/A
NJ0104003,BUENA BOROUGH MUA,6:2 FTS,< MRL,3/13/2023,BUENA BOROUGH MUA,WELL 3 TREATMENT PLANT,S,GW,NJ,N/A
NJ0104003,BUENA BOROUGH MUA,8:2 FTS,< MRL,3/13/2023,BUENA BOROUGH MUA,WELL 1 TREATMENT PLANT,S,GW,NJ,N/A
NJ0104003,BUENA BOROUGH MUA,8:2 FTS,< MRL,3/13/2023,BUENA BOROUGH MUA,WELL 3 TREATMENT PLANT,S,GW,NJ,N/A
NJ0104003,BUENA BOROUGH MUA,9Cl-PF3ONS,< MRL,3/13/2023,BUENA BOROUGH MUA,WELL 1 TREATMENT PLANT,S,GW,NJ,N/A
NJ0104003,BUENA BOROUGH MUA,9Cl-PF3ONS,< MRL,3/13/2023,BUENA BOROUGH MUA,WELL 3 TREATMENT PLANT,S,GW,NJ,N/A
NJ0104003,BUENA BOROUGH MUA,11Cl-PF3OUdS,< MRL,3/13/2023,BUENA BOROUGH MUA,WELL 1 TREATMENT PLANT,S,GW,NJ,N/A
NJ0104003,BUENA BOROUGH MUA,11Cl-PF3OUdS,< MRL,3/13/2023,BUENA BOROUGH MUA,WELL 3 TREATMENT PLANT,S,GW,NJ,N/A
