PWS ID,PWS Name,Contaminant,Result (µg/L),Collection Date,Facility Name,Sample Point Name,PWS Size,Facility Water Type,State,Result > Health-Based Ref Conc
NM3500115,LOS ALAMOS MUNICIPAL WATER SYSTEM,4:2 FTS,< MRL,1/19/2023,Pajarito Booster #2,Entry Point to Dist. System,L,GW,NM,N/A
NM3500115,LOS ALAMOS MUNICIPAL WATER SYSTEM,4:2 FTS,< MRL,1/19/2023,Otowi Booster #2,Entry Point to Dist. System,L,GW,NM,N/A
NM3500115,LOS ALAMOS MUNICIPAL WATER SYSTEM,4:2 FTS,< MRL,1/19/2023,Tsankawi Pit,Entry Point to Dist. System,L,GW,NM,N/A
NM3500115,LOS ALAMOS MUNICIPAL WATER SYSTEM,6:2 FTS,< MRL,1/19/2023,Pajarito Booster #2,Entry Point to Dist. System,L,GW,NM,N/A
NM3500115,LOS ALAMOS MUNICIPAL WATER SYSTEM,6:2 FTS,< MRL,1/19/2023,Otowi Booster #2,Entry Point to Dist. System,L,GW,NM,N/A
NM3500115,LOS ALAMOS MUNICIPAL WATER SYSTEM,6:2 FTS,< MRL,1/19/2023,Tsankawi Pit,Entry Point to Dist. System,L,GW,NM,N/A
NM3500115,LOS ALAMOS MUNICIPAL WATER SYSTEM,8:2 FTS,< MRL,1/19/2023,Pajarito Booster #2,Entry Point to Dist. System,L,GW,NM,N/A
NM3500115,LOS ALAMOS MUNICIPAL WATER SYSTEM,8:2 FTS,< MRL,1/19/2023,Otowi Booster #2,Entry Point to Dist. System,L,GW,NM,N/A
NM3500115,LOS ALAMOS MUNICIPAL WATER SYSTEM,8:2 FTS,< MRL,1/19/2023,Tsankawi Pit,Entry Point to Dist. System,L,GW,NM,N/A
NM3500115,LOS ALAMOS MUNICIPAL WATER SYSTEM,9Cl-PF3ONS,< MRL,1/19/2023,Pajarito Booster #2,Entry Point to Dist. System,L,GW,NM,N/A
NM3500115,LOS ALAMOS MUNICIPAL WATER SYSTEM,9Cl-PF3ONS,< MRL,1/19/2023,Otowi Booster #2,Entry Point to Dist. System,L,GW,NM,N/A
NM3500115,LOS ALAMOS MUNICIPAL WATER SYSTEM,9Cl-PF3ONS,< MRL,1/19/2023,Tsankawi Pit,Entry Point to Dist. System,L,GW,NM,N/A
NM3500115,LOS ALAMOS MUNICIPAL WATER SYSTEM,11Cl-PF3OUdS,< MRL,1/19/2023,Pajarito Booster #2,Entry Point to Dist. System,L,GW,NM,N/A
NM3500115,LOS ALAMOS MUNICIPAL WATER SYSTEM,11Cl-PF3OUdS,< MRL,1/19/2023,Otowi Booster #2,Entry Point to Dist. System,L,GW,NM,N/A
NM3500115,LOS ALAMOS MUNICIPAL WATER SYSTEM,11Cl-PF3OUdS,< MRL,1/19/2023,Tsankawi Pit,Entry Point to Dist. System,L,GW,NM,N/A
NM3500115,LOS ALAMOS MUNICIPAL WATER SYSTEM,ADONA,< MRL,1/19/2023,Pajarito Booster #2,Entry Point to Dist. System,L,GW,NM,N/A
NM3500115,LOS ALAMOS MUNICIPAL WATER SYSTEM,ADONA,< MRL,1/19/2023,Otowi Booster #2,Entry Point to Dist. System,L,GW,NM,N/A
NM3500115,LOS ALAMOS MUNICIPAL WATER SYSTEM,ADONA,< MRL,1/19/2023,Tsankawi Pit,Entry Point to Dist. System,L,GW,NM,N/A
NM3500115,LOS ALAMOS MUNICIPAL WATER SYSTEM,HFPO-DA,< MRL,1/19/2023,Pajarito Booster #2,Entry Point to Dist. System,L,GW,NM,N/A
NM3500115,LOS ALAMOS MUNICIPAL WATER SYSTEM,HFPO-DA,< MRL,1/19/2023,Otowi Booster #2,Entry Point to Dist. System,L,GW,NM,N/A
NM3500115,LOS ALAMOS MUNICIPAL WATER SYSTEM,HFPO-DA,< MRL,1/19/2023,Tsankawi Pit,Entry Point to Dist. System,L,GW,NM,N/A
NM3500115,LOS ALAMOS MUNICIPAL WATER SYSTEM,lithium,24.5,1/19/2023,Pajarito Booster #2,Entry Point to Dist. System,L,GW,NM,Y
NM3500115,LOS ALAMOS MUNICIPAL WATER SYSTEM,lithium,23.1,1/19/2023,Otowi Booster #2,Entry Point to Dist. System,L,GW,NM,Y
NM3500115,LOS ALAMOS MUNICIPAL WATER SYSTEM,lithium,33.8,1/19/2023,Tsankawi Pit,Entry Point to Dist. System,L,GW,NM,Y
NM3500115,LOS ALAMOS MUNICIPAL WATER SYSTEM,NEtFOSAA,< MRL,1/19/2023,Pajarito Booster #2,Entry Point to Dist. System,L,GW,NM,N/A
NM3500115,LOS ALAMOS MUNICIPAL WATER SYSTEM,NEtFOSAA,< MRL,1/19/2023,Otowi Booster #2,Entry Point to Dist. System,L,GW,NM,N/A
NM3500115,LOS ALAMOS MUNICIPAL WATER SYSTEM,NEtFOSAA,< MRL,1/19/2023,Tsankawi Pit,Entry Point to Dist. System,L,GW,NM,N/A
NM3500115,LOS ALAMOS MUNICIPAL WATER SYSTEM,NFDHA,< MRL,1/19/2023,Pajarito Booster #2,Entry Point to Dist. System,L,GW,NM,N/A
NM3500115,LOS ALAMOS MUNICIPAL WATER SYSTEM,NFDHA,< MRL,1/19/2023,Otowi Booster #2,Entry Point to Dist. System,L,GW,NM,N/A
NM3500115,LOS ALAMOS MUNICIPAL WATER SYSTEM,NFDHA,< MRL,1/19/2023,Tsankawi Pit,Entry Point to Dist. System,L,GW,NM,N/A
NM3500115,LOS ALAMOS MUNICIPAL WATER SYSTEM,NMeFOSAA,< MRL,1/19/2023,Pajarito Booster #2,Entry Point to Dist. System,L,GW,NM,N/A
NM3500115,LOS ALAMOS MUNICIPAL WATER SYSTEM,NMeFOSAA,< MRL,1/19/2023,Otowi Booster #2,Entry Point to Dist. System,L,GW,NM,N/A
NM3500115,LOS ALAMOS MUNICIPAL WATER SYSTEM,NMeFOSAA,< MRL,1/19/2023,Tsankawi Pit,Entry Point to Dist. System,L,GW,NM,N/A
NM3500115,LOS ALAMOS MUNICIPAL WATER SYSTEM,PFBA,< MRL,1/19/2023,Pajarito Booster #2,Entry Point to Dist. System,L,GW,NM,N/A
NM3500115,LOS ALAMOS MUNICIPAL WATER SYSTEM,PFBA,< MRL,1/19/2023,Otowi Booster #2,Entry Point to Dist. System,L,GW,NM,N/A
