PWS ID,PWS Name,Contaminant,Result (µg/L),Collection Date,Facility Name,Sample Point Name,PWS Size,Facility Water Type,State,Result > Health-Based Ref Conc
NY0100189,ALBANY CITY,4:2 FTS,< MRL,9/12/2023,Feura Bush WTP,WTP Finished,L,SW,NY,N/A
NY0100189,ALBANY CITY,6:2 FTS,< MRL,9/12/2023,Feura Bush WTP,WTP Finished,L,SW,NY,N/A
NY0100189,ALBANY CITY,8:2 FTS,< MRL,9/12/2023,Feura Bush WTP,WTP Finished,L,SW,NY,N/A
NY0100189,ALBANY CITY,9Cl-PF3ONS,< MRL,9/12/2023,Feura Bush WTP,WTP Finished,L,SW,NY,N/A
NY0100189,ALBANY CITY,11Cl-PF3OUdS,< MRL,9/12/2023,Feura Bush WTP,WTP Finished,L,SW,NY,N/A
NY0100189,ALBANY CITY,ADONA,< MRL,9/12/2023,Feura Bush WTP,WTP Finished,L,SW,NY,N/A
NY0100189,ALBANY CITY,HFPO-DA,< MRL,9/12/2023,Feura Bush WTP,WTP Finished,L,SW,NY,N/A
NY0100189,ALBANY CITY,lithium,< MRL,9/12/2023,Feura Bush WTP,WTP Finished,L,SW,NY,N
NY0100189,ALBANY CITY,NEtFOSAA,< MRL,9/12/2023,Feura Bush WTP,WTP Finished,L,SW,NY,N/A
NY0100189,ALBANY CITY,NFDHA,< MRL,9/12/2023,Feura Bush WTP,WTP Finished,L,SW,NY,N/A
NY0100189,ALBANY CITY,NMeFOSAA,< MRL,9/12/2023,Feura Bush WTP,WTP Finished,L,SW,NY,N/A
NY0100189,ALBANY CITY,PFBA,< MRL,9/12/2023,Feura Bush WTP,WTP Finished,L,SW,NY,N/A
NY0100189,ALBANY CITY,PFBS,< MRL,9/12/2023,Feura Bush WTP,WTP Finished,L,SW,NY,N/A
NY0100189,ALBANY CITY,PFDA,< MRL,9/12/2023,Feura Bush WTP,WTP Finished,L,SW,NY,N/A
NY0100189,ALBANY CITY,PFDoA,< MRL,9/12/2023,Feura Bush WTP,WTP Finished,L,SW,NY,N/A
NY0100189,ALBANY CITY,PFEESA,< MRL,9/12/2023,Feura Bush WTP,WTP Finished,L,SW,NY,N/A
NY0100189,ALBANY CITY,PFHpA,< MRL,9/12/2023,Feura Bush WTP,WTP Finished,L,SW,NY,N/A
NY0100189,ALBANY CITY,PFHpS,< MRL,9/12/2023,Feura Bush WTP,WTP Finished,L,SW,NY,N/A
NY0100189,ALBANY CITY,PFHxA,< MRL,9/12/2023,Feura Bush WTP,WTP Finished,L,SW,NY,N/A
NY0100189,ALBANY CITY,PFHxS,< MRL,9/12/2023,Feura Bush WTP,WTP Finished,L,SW,NY,N/A
NY0100189,ALBANY CITY,PFMBA,< MRL,9/12/2023,Feura Bush WTP,WTP Finished,L,SW,NY,N/A
NY0100189,ALBANY CITY,PFMPA,< MRL,9/12/2023,Feura Bush WTP,WTP Finished,L,SW,NY,N/A
NY0100189,ALBANY CITY,PFNA,< MRL,9/12/2023,Feura Bush WTP,WTP Finished,L,SW,NY,N/A
NY0100189,ALBANY CITY,PFOA,< MRL,9/12/2023,Feura Bush WTP,WTP Finished,L,SW,NY,N/A
NY0100189,ALBANY CITY,PFOS,< MRL,9/12/2023,Feura Bush WTP,WTP Finished,L,SW,NY,N/A
NY0100189,ALBANY CITY,PFPeA,< MRL,9/12/2023,Feura Bush WTP,WTP Finished,L,SW,NY,N/A
NY0100189,ALBANY CITY,PFPeS,< MRL,9/12/2023,Feura Bush WTP,WTP Finished,L,SW,NY,N/A
NY0100189,ALBANY CITY,PFTA,< MRL,9/12/2023,Feura Bush WTP,WTP Finished,L,SW,NY,N/A
NY0100189,ALBANY CITY,PFTrDA,< MRL,9/12/2023,Feura Bush WTP,WTP Finished,L,SW,NY,N/A
NY0100189,ALBANY CITY,PFUnA,< MRL,9/12/2023,Feura Bush WTP,WTP Finished,L,SW,NY,N/A
NY0100189,ALBANY CITY,4:2 FTS,< MRL,12/19/2023,Feura Bush WTP,WTP Finished,L,SW,NY,N/A
NY0100189,ALBANY CITY,6:2 FTS,< MRL,12/19/2023,Feura Bush WTP,WTP Finished,L,SW,NY,N/A
NY0100189,ALBANY CITY,8:2 FTS,< MRL,12/19/2023,Feura Bush WTP,WTP Finished,L,SW,NY,N/A
NY0100189,ALBANY CITY,9Cl-PF3ONS,< MRL,12/19/2023,Feura Bush WTP,WTP Finished,L,SW,NY,N/A
NY0100189,ALBANY CITY,11Cl-PF3OUdS,< MRL,12/19/2023,Feura Bush WTP,WTP Finished,L,SW,NY,N/A
NY0100189,ALBANY CITY,ADONA,< MRL,12/19/2023,Feura Bush WTP,WTP Finished,L,SW,NY,N/A
NY0100189,ALBANY CITY,HFPO-DA,< MRL,12/19/2023,Feura Bush WTP,WTP Finished,L,SW,NY,N/A
NY0100189,ALBANY CITY,lithium,< MRL,12/19/2023,Feura Bush WTP,WTP Finished,L,SW,NY,N
NY0100189,ALBANY CITY,NEtFOSAA,< MRL,12/19/2023,Feura Bush WTP,WTP Finished,L,SW,NY,N/A
NY0100189,ALBANY CITY,NFDHA,< MRL,12/19/2023,Feura Bush WTP,WTP Finished,L,SW,NY,N/A
NY0100189,ALBANY CITY,NMeFOSAA,< MRL,12/19/2023,Feura Bush WTP,WTP Finished,L,SW,NY,N/A
NY0100189,ALBANY CITY,PFBA,< MRL,12/19/2023,Feura Bush WTP,WTP Finished,L,SW,NY,N/A
NY0100189,ALBANY CITY,PFBS,< MRL,12/19/2023,Feura Bush WTP,WTP Finished,L,SW,NY,N/A
NY0100189,ALBANY CITY,PFDA,< MRL,12/19/2023,Feura Bush WTP,WTP Finished,L,SW,NY,N/A
NY0100189,ALBANY CITY,PFDoA,< MRL,12/19/2023,Feura Bush WTP,WTP Finished,L,SW,NY,N/A
NY0100189,ALBANY CITY,PFEESA,< MRL,12/19/2023,Feura Bush WTP,WTP Finished,L,SW,NY,N/A
NY0100189,ALBANY CITY,PFHpA,< MRL,12/19/2023,Feura Bush WTP,WTP Finished,L,SW,NY,N/A
NY0100189,ALBANY CITY,PFHpS,< MRL,12/19/2023,Feura Bush WTP,WTP Finished,L,SW,NY,N/A
NY0100189,ALBANY CITY,PFHxA,< MRL,12/19/2023,Feura Bush WTP,WTP Finished,L,SW,NY,N/A
NY0100189,ALBANY CITY,PFHxS,< MRL,12/19/2023,Feura Bush WTP,WTP Finished,L,SW,NY,N/A
NY0100189,ALBANY CITY,PFMBA,< MRL,12/19/2023,Feura Bush WTP,WTP Finished,L,SW,NY,N/A
NY0100189,ALBANY CITY,PFMPA,< MRL,12/19/2023,Feura Bush WTP,WTP Finished,L,SW,NY,N/A
NY0100189,ALBANY CITY,PFNA,< MRL,12/19/2023,Feura Bush WTP,WTP Finished,L,SW,NY,N/A
NY0100189,ALBANY CITY,PFOA,< MRL,12/19/2023,Feura Bush WTP,WTP Finished,L,SW,NY,N/A
NY0100189,ALBANY CITY,PFOS,< MRL,12/19/2023,Feura Bush WTP,WTP Finished,L,SW,NY,N/A
NY0100189,ALBANY CITY,PFPeA,< MRL,12/19/2023,Feura Bush WTP,WTP Finished,L,SW,NY,N/A
NY0100189,ALBANY CITY,PFPeS,< MRL,12/19/2023,Feura Bush WTP,WTP Finished,L,SW,NY,N/A
