PWS ID,PWS Name,Contaminant,Result (µg/L),Collection Date,Facility Name,Sample Point Name,PWS Size,Facility Water Type,State,Result > Health-Based Ref Conc
NC0102020,ALEXANDER CO WTR DIST,4:2 FTS,< MRL,8/17/2023,Hickory Water Intertie,Entry Point to Dist. System,L,SW,NC,N/A
NC0102020,ALEXANDER CO WTR DIST,6:2 FTS,< MRL,8/17/2023,Hickory Water Intertie,Entry Point to Dist. System,L,SW,NC,N/A
NC0102020,ALEXANDER CO WTR DIST,8:2 FTS,< MRL,8/17/2023,Hickory Water Intertie,Entry Point to Dist. System,L,SW,NC,N/A
NC0102020,ALEXANDER CO WTR DIST,9Cl-PF3ONS,< MRL,8/17/2023,Hickory Water Intertie,Entry Point to Dist. System,L,SW,NC,N/A
NC0102020,ALEXANDER CO WTR DIST,11Cl-PF3OUdS,< MRL,8/17/2023,Hickory Water Intertie,Entry Point to Dist. System,L,SW,NC,N/A
NC0102020,ALEXANDER CO WTR DIST,ADONA,< MRL,8/17/2023,Hickory Water Intertie,Entry Point to Dist. System,L,SW,NC,N/A
NC0102020,ALEXANDER CO WTR DIST,HFPO-DA,< MRL,8/17/2023,Hickory Water Intertie,Entry Point to Dist. System,L,SW,NC,N/A
NC0102020,ALEXANDER CO WTR DIST,lithium,< MRL,8/17/2023,Hickory Water Intertie,Entry Point to Dist. System,L,SW,NC,N
NC0102020,ALEXANDER CO WTR DIST,NEtFOSAA,< MRL,8/17/2023,Hickory Water Intertie,Entry Point to Dist. System,L,SW,NC,N/A
NC0102020,ALEXANDER CO WTR DIST,NFDHA,< MRL,8/17/2023,Hickory Water Intertie,Entry Point to Dist. System,L,SW,NC,N/A
NC0102020,ALEXANDER CO WTR DIST,NMeFOSAA,< MRL,8/17/2023,Hickory Water Intertie,Entry Point to Dist. System,L,SW,NC,N/A
NC0102020,ALEXANDER CO WTR DIST,PFBA,< MRL,8/17/2023,Hickory Water Intertie,Entry Point to Dist. System,L,SW,NC,N/A
NC0102020,ALEXANDER CO WTR DIST,PFBS,< MRL,8/17/2023,Hickory Water Intertie,Entry Point to Dist. System,L,SW,NC,N/A
NC0102020,ALEXANDER CO WTR DIST,PFDA,< MRL,8/17/2023,Hickory Water Intertie,Entry Point to Dist. System,L,SW,NC,N/A
NC0102020,ALEXANDER CO WTR DIST,PFDoA,< MRL,8/17/2023,Hickory Water Intertie,Entry Point to Dist. System,L,SW,NC,N/A
NC0102020,ALEXANDER CO WTR DIST,PFEESA,< MRL,8/17/2023,Hickory Water Intertie,Entry Point to Dist. System,L,SW,NC,N/A
NC0102020,ALEXANDER CO WTR DIST,PFHpA,< MRL,8/17/2023,Hickory Water Intertie,Entry Point to Dist. System,L,SW,NC,N/A
NC0102020,ALEXANDER CO WTR DIST,PFHpS,< MRL,8/17/2023,Hickory Water Intertie,Entry Point to Dist. System,L,SW,NC,N/A
NC0102020,ALEXANDER CO WTR DIST,PFHxA,< MRL,8/17/2023,Hickory Water Intertie,Entry Point to Dist. System,L,SW,NC,N/A
NC0102020,ALEXANDER CO WTR DIST,PFHxS,< MRL,8/17/2023,Hickory Water Intertie,Entry Point to Dist. System,L,SW,NC,N/A
NC0102020,ALEXANDER CO WTR DIST,PFMBA,< MRL,8/17/2023,Hickory Water Intertie,Entry Point to Dist. System,L,SW,NC,N/A
NC0102020,ALEXANDER CO WTR DIST,PFMPA,< MRL,8/17/2023,Hickory Water Intertie,Entry Point to Dist. System,L,SW,NC,N/A
NC0102020,ALEXANDER CO WTR DIST,PFNA,< MRL,8/17/2023,Hickory Water Intertie,Entry Point to Dist. System,L,SW,NC,N/A
NC0102020,ALEXANDER CO WTR DIST,PFOA,< MRL,8/17/2023,Hickory Water Intertie,Entry Point to Dist. System,L,SW,NC,N/A
NC0102020,ALEXANDER CO WTR DIST,PFOS,< MRL,8/17/2023,Hickory Water Intertie,Entry Point to Dist. System,L,SW,NC,N/A
NC0102020,ALEXANDER CO WTR DIST,PFPeA,< MRL,8/17/2023,Hickory Water Intertie,Entry Point to Dist. System,L,SW,NC,N/A
NC0102020,ALEXANDER CO WTR DIST,PFPeS,< MRL,8/17/2023,Hickory Water Intertie,Entry Point to Dist. System,L,SW,NC,N/A
NC0102020,ALEXANDER CO WTR DIST,PFTA,< MRL,8/17/2023,Hickory Water Intertie,Entry Point to Dist. System,L,SW,NC,N/A
NC0102020,ALEXANDER CO WTR DIST,PFTrDA,< MRL,8/17/2023,Hickory Water Intertie,Entry Point to Dist. System,L,SW,NC,N/A
NC0102020,ALEXANDER CO WTR DIST,PFUnA,< MRL,8/17/2023,Hickory Water Intertie,Entry Point to Dist. System,L,SW,NC,N/A
NC0102020,ALEXANDER CO WTR DIST,4:2 FTS,< MRL,11/13/2023,Hickory Water Intertie,Entry Point to Dist. System,L,SW,NC,N/A
NC0102020,ALEXANDER CO WTR DIST,6:2 FTS,< MRL,11/13/2023,Hickory Water Intertie,Entry Point to Dist. System,L,SW,NC,N/A
NC0102020,ALEXANDER CO WTR DIST,8:2 FTS,< MRL,11/13/2023,Hickory Water Intertie,Entry Point to Dist. System,L,SW,NC,N/A
NC0102020,ALEXANDER CO WTR DIST,9Cl-PF3ONS,< MRL,11/13/2023,Hickory Water Intertie,Entry Point to Dist. System,L,SW,NC,N/A
NC0102020,ALEXANDER CO WTR DIST,11Cl-PF3OUdS,< MRL,11/13/2023,Hickory Water Intertie,Entry Point to Dist. System,L,SW,NC,N/A
NC0102020,ALEXANDER CO WTR DIST,ADONA,< MRL,11/13/2023,Hickory Water Intertie,Entry Point to Dist. System,L,SW,NC,N/A
NC0102020,ALEXANDER CO WTR DIST,HFPO-DA,< MRL,11/13/2023,Hickory Water Intertie,Entry Point to Dist. System,L,SW,NC,N/A
NC0102020,ALEXANDER CO WTR DIST,lithium,< MRL,11/13/2023,Hickory Water Intertie,Entry Point to Dist. System,L,SW,NC,N
NC0102020,ALEXANDER CO WTR DIST,NEtFOSAA,< MRL,11/13/2023,Hickory Water Intertie,Entry Point to Dist. System,L,SW,NC,N/A
NC0102020,ALEXANDER CO WTR DIST,NFDHA,< MRL,11/13/2023,Hickory Water Intertie,Entry Point to Dist. System,L,SW,NC,N/A
NC0102020,ALEXANDER CO WTR DIST,NMeFOSAA,< MRL,11/13/2023,Hickory Water Intertie,Entry Point to Dist. System,L,SW,NC,N/A
NC0102020,ALEXANDER CO WTR DIST,PFBA,< MRL,11/13/2023,Hickory Water Intertie,Entry Point to Dist. System,L,SW,NC,N/A
NC0102020,ALEXANDER CO WTR DIST,PFBS,< MRL,11/13/2023,Hickory Water Intertie,Entry Point to Dist. System,L,SW,NC,N/A
NC0102020,ALEXANDER CO WTR DIST,PFDA,< MRL,11/13/2023,Hickory Water Intertie,Entry Point to Dist. System,L,SW,NC,N/A
NC0102020,ALEXANDER CO WTR DIST,PFDoA,< MRL,11/13/2023,Hickory Water Intertie,Entry Point to Dist. System,L,SW,NC,N/A
NC0102020,ALEXANDER CO WTR DIST,PFEESA,< MRL,11/13/2023,Hickory Water Intertie,Entry Point to Dist. System,L,SW,NC,N/A
NC0102020,ALEXANDER CO WTR DIST,PFHpA,< MRL,11/13/2023,Hickory Water Intertie,Entry Point to Dist. System,L,SW,NC,N/A
NC0102020,ALEXANDER CO WTR DIST,PFHpS,< MRL,11/13/2023,Hickory Water Intertie,Entry Point to Dist. System,L,SW,NC,N/A
NC0102020,ALEXANDER CO WTR DIST,PFHxA,< MRL,11/13/2023,Hickory Water Intertie,Entry Point to Dist. System,L,SW,NC,N/A
NC0102020,ALEXANDER CO WTR DIST,PFHxS,< MRL,11/13/2023,Hickory Water Intertie,Entry Point to Dist. System,L,SW,NC,N/A
NC0102020,ALEXANDER CO WTR DIST,PFMBA,< MRL,11/13/2023,Hickory Water Intertie,Entry Point to Dist. System,L,SW,NC,N/A
NC0102020,ALEXANDER CO WTR DIST,PFMPA,< MRL,11/13/2023,Hickory Water Intertie,Entry Point to Dist. System,L,SW,NC,N/A
NC0102020,ALEXANDER CO WTR DIST,PFNA,< MRL,11/13/2023,Hickory Water Intertie,Entry Point to Dist. System,L,SW,NC,N/A
NC0102020,ALEXANDER CO WTR DIST,PFOA,< MRL,11/13/2023,Hickory Water Intertie,Entry Point to Dist. System,L,SW,NC,N/A
NC0102020,ALEXANDER CO WTR DIST,PFOS,< MRL,11/13/2023,Hickory Water Intertie,Entry Point to Dist. System,L,SW,NC,N/A
NC0102020,ALEXANDER CO WTR DIST,PFPeA,< MRL,11/13/2023,Hickory Water Intertie,Entry Point to Dist. System,L,SW,NC,N/A
NC0102020,ALEXANDER CO WTR DIST,PFPeS,< MRL,11/13/2023,Hickory Water Intertie,Entry Point to Dist. System,L,SW,NC,N/A
NC0102020,ALEXANDER CO WTR DIST,PFTA,< MRL,11/13/2023,Hickory Water Intertie,Entry Point to Dist. System,L,SW,NC,N/A
NC0102020,ALEXANDER CO WTR DIST,PFTrDA,< MRL,11/13/2023,Hickory Water Intertie,Entry Point to Dist. System,L,SW,NC,N/A
NC0102020,ALEXANDER CO WTR DIST,PFUnA,< MRL,11/13/2023,Hickory Water Intertie,Entry Point to Dist. System,L,SW,NC,N/A
NC0102020,ALEXANDER CO WTR DIST,4:2 FTS,< MRL,2/19/2024,Hickory Water Intertie,Entry Point to Dist. System,L,SW,NC,N/A
NC0102020,ALEXANDER CO WTR DIST,6:2 FTS,< MRL,2/19/2024,Hickory Water Intertie,Entry Point to Dist. System,L,SW,NC,N/A
NC0102020,ALEXANDER CO WTR DIST,8:2 FTS,< MRL,2/19/2024,Hickory Water Intertie,Entry Point to Dist. System,L,SW,NC,N/A
NC0102020,ALEXANDER CO WTR DIST,9Cl-PF3ONS,< MRL,2/19/2024,Hickory Water Intertie,Entry Point to Dist. System,L,SW,NC,N/A
NC0102020,ALEXANDER CO WTR DIST,11Cl-PF3OUdS,< MRL,2/19/2024,Hickory Water Intertie,Entry Point to Dist. System,L,SW,NC,N/A
NC0102020,ALEXANDER CO WTR DIST,ADONA,< MRL,2/19/2024,Hickory Water Intertie,Entry Point to Dist. System,L,SW,NC,N/A
NC0102020,ALEXANDER CO WTR DIST,HFPO-DA,< MRL,2/19/2024,Hickory Water Intertie,Entry Point to Dist. System,L,SW,NC,N/A
NC0102020,ALEXANDER CO WTR DIST,lithium,< MRL,2/19/2024,Hickory Water Intertie,Entry Point to Dist. System,L,SW,NC,N
NC0102020,ALEXANDER CO WTR DIST,NEtFOSAA,< MRL,2/19/2024,Hickory Water Intertie,Entry Point to Dist. System,L,SW,NC,N/A
NC0102020,ALEXANDER CO WTR DIST,NFDHA,< MRL,2/19/2024,Hickory Water Intertie,Entry Point to Dist. System,L,SW,NC,N/A
NC0102020,ALEXANDER CO WTR DIST,NMeFOSAA,< MRL,2/19/2024,Hickory Water Intertie,Entry Point to Dist. System,L,SW,NC,N/A
NC0102020,ALEXANDER CO WTR DIST,PFBA,< MRL,2/19/2024,Hickory Water Intertie,Entry Point to Dist. System,L,SW,NC,N/A
NC0102020,ALEXANDER CO WTR DIST,PFBS,< MRL,2/19/2024,Hickory Water Intertie,Entry Point to Dist. System,L,SW,NC,N/A
NC0102020,ALEXANDER CO WTR DIST,PFDA,< MRL,2/19/2024,Hickory Water Intertie,Entry Point to Dist. System,L,SW,NC,N/A
NC0102020,ALEXANDER CO WTR DIST,PFDoA,< MRL,2/19/2024,Hickory Water Intertie,Entry Point to Dist. System,L,SW,NC,N/A
NC0102020,ALEXANDER CO WTR DIST,PFEESA,< MRL,2/19/2024,Hickory Water Intertie,Entry Point to Dist. System,L,SW,NC,N/A
NC0102020,ALEXANDER CO WTR DIST,PFHpA,< MRL,2/19/2024,Hickory Water Intertie,Entry Point to Dist. System,L,SW,NC,N/A
NC0102020,ALEXANDER CO WTR DIST,PFHpS,< MRL,2/19/2024,Hickory Water Intertie,Entry Point to Dist. System,L,SW,NC,N/A
NC0102020,ALEXANDER CO WTR DIST,PFHxA,< MRL,2/19/2024,Hickory Water Intertie,Entry Point to Dist. System,L,SW,NC,N/A
NC0102020,ALEXANDER CO WTR DIST,PFHxS,< MRL,2/19/2024,Hickory Water Intertie,Entry Point to Dist. System,L,SW,NC,N/A
NC0102020,ALEXANDER CO WTR DIST,PFMBA,< MRL,2/19/2024,Hickory Water Intertie,Entry Point to Dist. System,L,SW,NC,N/A
NC0102020,ALEXANDER CO WTR DIST,PFMPA,< MRL,2/19/2024,Hickory Water Intertie,Entry Point to Dist. System,L,SW,NC,N/A
NC0102020,ALEXANDER CO WTR DIST,PFNA,< MRL,2/19/2024,Hickory Water Intertie,Entry Point to Dist. System,L,SW,NC,N/A
NC0102020,ALEXANDER CO WTR DIST,PFOA,< MRL,2/19/2024,Hickory Water Intertie,Entry Point to Dist. System,L,SW,NC,N/A
NC0102020,ALEXANDER CO WTR DIST,PFOS,< MRL,2/19/2024,Hickory Water Intertie,Entry Point to Dist. System,L,SW,NC,N/A
NC0102020,ALEXANDER CO WTR DIST,PFPeA,< MRL,2/19/2024,Hickory Water Intertie,Entry Point to Dist. System,L,SW,NC,N/A
NC0102020,ALEXANDER CO WTR DIST,PFPeS,< MRL,2/19/2024,Hickory Water Intertie,Entry Point to Dist. System,L,SW,NC,N/A
NC0102020,ALEXANDER CO WTR DIST,PFTA,< MRL,2/19/2024,Hickory Water Intertie,Entry Point to Dist. System,L,SW,NC,N/A
NC0102020,ALEXANDER CO WTR DIST,PFTrDA,< MRL,2/19/2024,Hickory Water Intertie,Entry Point to Dist. System,L,SW,NC,N/A
NC0102020,ALEXANDER CO WTR DIST,PFUnA,< MRL,2/19/2024,Hickory Water Intertie,Entry Point to Dist. System,L,SW,NC,N/A
NC0111025,"WEAVERVILLE, TOWN OF",4:2 FTS,< MRL,2/7/2023,"WEAVERVILLE, TOWN OF",ENTRY POINT,S,SW,NC,N/A
NC0111025,"WEAVERVILLE, TOWN OF",6:2 FTS,< MRL,2/7/2023,"WEAVERVILLE, TOWN OF",ENTRY POINT,S,SW,NC,N/A
NC0111025,"WEAVERVILLE, TOWN OF",8:2 FTS,< MRL,2/7/2023,"WEAVERVILLE, TOWN OF",ENTRY POINT,S,SW,NC,N/A
NC0111025,"WEAVERVILLE, TOWN OF",9Cl-PF3ONS,< MRL,2/7/2023,"WEAVERVILLE, TOWN OF",ENTRY POINT,S,SW,NC,N/A
