PWS ID,PWS Name,Contaminant,Result (µg/L),Collection Date,Facility Name,Sample Point Name,PWS Size,Facility Water Type,State,Result > Health-Based Ref Conc
OH0200811,LIMA CITY,4:2 FTS,< MRL,5/3/2023,Lima WTP,Entry Point to Dist. System,L,SW,OH,N/A
OH0200811,LIMA CITY,6:2 FTS,< MRL,5/3/2023,Lima WTP,Entry Point to Dist. System,L,SW,OH,N/A
OH0200811,LIMA CITY,8:2 FTS,< MRL,5/3/2023,Lima WTP,Entry Point to Dist. System,L,SW,OH,N/A
OH0200811,LIMA CITY,9Cl-PF3ONS,< MRL,5/3/2023,Lima WTP,Entry Point to Dist. System,L,SW,OH,N/A
OH0200811,LIMA CITY,11Cl-PF3OUdS,< MRL,5/3/2023,Lima WTP,Entry Point to Dist. System,L,SW,OH,N/A
OH0200811,LIMA CITY,ADONA,< MRL,5/3/2023,Lima WTP,Entry Point to Dist. System,L,SW,OH,N/A
OH0200811,LIMA CITY,HFPO-DA,< MRL,5/3/2023,Lima WTP,Entry Point to Dist. System,L,SW,OH,N/A
OH0200811,LIMA CITY,lithium,< MRL,5/3/2023,Lima WTP,Entry Point to Dist. System,L,SW,OH,N
OH0200811,LIMA CITY,NEtFOSAA,< MRL,5/3/2023,Lima WTP,Entry Point to Dist. System,L,SW,OH,N/A
OH0200811,LIMA CITY,NFDHA,< MRL,5/3/2023,Lima WTP,Entry Point to Dist. System,L,SW,OH,N/A
OH0200811,LIMA CITY,NMeFOSAA,< MRL,5/3/2023,Lima WTP,Entry Point to Dist. System,L,SW,OH,N/A
OH0200811,LIMA CITY,PFBA,< MRL,5/3/2023,Lima WTP,Entry Point to Dist. System,L,SW,OH,N/A
OH0200811,LIMA CITY,PFBS,< MRL,5/3/2023,Lima WTP,Entry Point to Dist. System,L,SW,OH,N/A
OH0200811,LIMA CITY,PFDA,< MRL,5/3/2023,Lima WTP,Entry Point to Dist. System,L,SW,OH,N/A
OH0200811,LIMA CITY,PFDoA,< MRL,5/3/2023,Lima WTP,Entry Point to Dist. System,L,SW,OH,N/A
OH0200811,LIMA CITY,PFEESA,< MRL,5/3/2023,Lima WTP,Entry Point to Dist. System,L,SW,OH,N/A
OH0200811,LIMA CITY,PFHpA,< MRL,5/3/2023,Lima WTP,Entry Point to Dist. System,L,SW,OH,N/A
OH0200811,LIMA CITY,PFHpS,< MRL,5/3/2023,Lima WTP,Entry Point to Dist. System,L,SW,OH,N/A
OH0200811,LIMA CITY,PFHxA,< MRL,5/3/2023,Lima WTP,Entry Point to Dist. System,L,SW,OH,N/A
OH0200811,LIMA CITY,PFHxS,< MRL,5/3/2023,Lima WTP,Entry Point to Dist. System,L,SW,OH,N/A
OH0200811,LIMA CITY,PFMBA,< MRL,5/3/2023,Lima WTP,Entry Point to Dist. System,L,SW,OH,N/A
OH0200811,LIMA CITY,PFMPA,< MRL,5/3/2023,Lima WTP,Entry Point to Dist. System,L,SW,OH,N/A
OH0200811,LIMA CITY,PFNA,< MRL,5/3/2023,Lima WTP,Entry Point to Dist. System,L,SW,OH,N/A
OH0200811,LIMA CITY,PFOA,< MRL,5/3/2023,Lima WTP,Entry Point to Dist. System,L,SW,OH,N/A
OH0200811,LIMA CITY,PFOS,< MRL,5/3/2023,Lima WTP,Entry Point to Dist. System,L,SW,OH,N/A
OH0200811,LIMA CITY,PFPeA,0.0033,5/3/2023,Lima WTP,Entry Point to Dist. System,L,SW,OH,N/A
OH0200811,LIMA CITY,PFPeS,< MRL,5/3/2023,Lima WTP,Entry Point to Dist. System,L,SW,OH,N/A
OH0200811,LIMA CITY,PFTA,< MRL,5/3/2023,Lima WTP,Entry Point to Dist. System,L,SW,OH,N/A
OH0200811,LIMA CITY,PFTrDA,< MRL,5/3/2023,Lima WTP,Entry Point to Dist. System,L,SW,OH,N/A
OH0200811,LIMA CITY,PFUnA,< MRL,5/3/2023,Lima WTP,Entry Point to Dist. System,L,SW,OH,N/A
OH0200811,LIMA CITY,4:2 FTS,< MRL,8/7/2023,Lima WTP,Entry Point to Dist. System,L,SW,OH,N/A
OH0200811,LIMA CITY,6:2 FTS,< MRL,8/7/2023,Lima WTP,Entry Point to Dist. System,L,SW,OH,N/A
OH0200811,LIMA CITY,8:2 FTS,< MRL,8/7/2023,Lima WTP,Entry Point to Dist. System,L,SW,OH,N/A
OH0200811,LIMA CITY,9Cl-PF3ONS,< MRL,8/7/2023,Lima WTP,Entry Point to Dist. System,L,SW,OH,N/A
OH0200811,LIMA CITY,11Cl-PF3OUdS,< MRL,8/7/2023,Lima WTP,Entry Point to Dist. System,L,SW,OH,N/A
OH0200811,LIMA CITY,ADONA,< MRL,8/7/2023,Lima WTP,Entry Point to Dist. System,L,SW,OH,N/A
OH0200811,LIMA CITY,HFPO-DA,< MRL,8/7/2023,Lima WTP,Entry Point to Dist. System,L,SW,OH,N/A
OH0200811,LIMA CITY,lithium,< MRL,8/7/2023,Lima WTP,Entry Point to Dist. System,L,SW,OH,N
OH0200811,LIMA CITY,NEtFOSAA,< MRL,8/7/2023,Lima WTP,Entry Point to Dist. System,L,SW,OH,N/A
OH0200811,LIMA CITY,NFDHA,< MRL,8/7/2023,Lima WTP,Entry Point to Dist. System,L,SW,OH,N/A
OH0200811,LIMA CITY,NMeFOSAA,< MRL,8/7/2023,Lima WTP,Entry Point to Dist. System,L,SW,OH,N/A
OH0200811,LIMA CITY,PFBA,< MRL,8/7/2023,Lima WTP,Entry Point to Dist. System,L,SW,OH,N/A
OH0200811,LIMA CITY,PFBS,< MRL,8/7/2023,Lima WTP,Entry Point to Dist. System,L,SW,OH,N/A
OH0200811,LIMA CITY,PFDA,< MRL,8/7/2023,Lima WTP,Entry Point to Dist. System,L,SW,OH,N/A
OH0200811,LIMA CITY,PFDoA,< MRL,8/7/2023,Lima WTP,Entry Point to Dist. System,L,SW,OH,N/A
OH0200811,LIMA CITY,PFEESA,< MRL,8/7/2023,Lima WTP,Entry Point to Dist. System,L,SW,OH,N/A
OH0200811,LIMA CITY,PFHpA,< MRL,8/7/2023,Lima WTP,Entry Point to Dist. System,L,SW,OH,N/A
OH0200811,LIMA CITY,PFHpS,< MRL,8/7/2023,Lima WTP,Entry Point to Dist. System,L,SW,OH,N/A
OH0200811,LIMA CITY,PFHxA,< MRL,8/7/2023,Lima WTP,Entry Point to Dist. System,L,SW,OH,N/A
OH0200811,LIMA CITY,PFHxS,< MRL,8/7/2023,Lima WTP,Entry Point to Dist. System,L,SW,OH,N/A
OH0200811,LIMA CITY,PFMBA,< MRL,8/7/2023,Lima WTP,Entry Point to Dist. System,L,SW,OH,N/A
OH0200811,LIMA CITY,PFMPA,< MRL,8/7/2023,Lima WTP,Entry Point to Dist. System,L,SW,OH,N/A
OH0200811,LIMA CITY,PFNA,< MRL,8/7/2023,Lima WTP,Entry Point to Dist. System,L,SW,OH,N/A
OH0200811,LIMA CITY,PFOA,< MRL,8/7/2023,Lima WTP,Entry Point to Dist. System,L,SW,OH,N/A
OH0200811,LIMA CITY,PFOS,< MRL,8/7/2023,Lima WTP,Entry Point to Dist. System,L,SW,OH,N/A
OH0200811,LIMA CITY,PFPeA,0.0034,8/7/2023,Lima WTP,Entry Point to Dist. System,L,SW,OH,N/A
OH0200811,LIMA CITY,PFPeS,< MRL,8/7/2023,Lima WTP,Entry Point to Dist. System,L,SW,OH,N/A
