PWS ID,PWS Name,Contaminant,Result (µg/L),Collection Date,Facility Name,Sample Point Name,PWS Size,Facility Water Type,State,Result > Health-Based Ref Conc
OK1010203,IDABEL PWA,4:2 FTS,< MRL,2/21/2023,IDABEL PWA,IDABEL WTP,S,SW,OK,N/A
OK1010203,IDABEL PWA,6:2 FTS,< MRL,2/21/2023,IDABEL PWA,IDABEL WTP,S,SW,OK,N/A
OK1010203,IDABEL PWA,8:2 FTS,< MRL,2/21/2023,IDABEL PWA,IDABEL WTP,S,SW,OK,N/A
OK1010203,IDABEL PWA,9Cl-PF3ONS,< MRL,2/21/2023,IDABEL PWA,IDABEL WTP,S,SW,OK,N/A
OK1010203,IDABEL PWA,11Cl-PF3OUdS,< MRL,2/21/2023,IDABEL PWA,IDABEL WTP,S,SW,OK,N/A
OK1010203,IDABEL PWA,ADONA,< MRL,2/21/2023,IDABEL PWA,IDABEL WTP,S,SW,OK,N/A
OK1010203,IDABEL PWA,HFPO-DA,< MRL,2/21/2023,IDABEL PWA,IDABEL WTP,S,SW,OK,N/A
OK1010203,IDABEL PWA,lithium,< MRL,2/21/2023,IDABEL PWA,IDABEL WTP,S,SW,OK,N
OK1010203,IDABEL PWA,NEtFOSAA,< MRL,2/21/2023,IDABEL PWA,IDABEL WTP,S,SW,OK,N/A
OK1010203,IDABEL PWA,NFDHA,< MRL,2/21/2023,IDABEL PWA,IDABEL WTP,S,SW,OK,N/A
OK1010203,IDABEL PWA,NMeFOSAA,< MRL,2/21/2023,IDABEL PWA,IDABEL WTP,S,SW,OK,N/A
OK1010203,IDABEL PWA,PFBA,< MRL,2/21/2023,IDABEL PWA,IDABEL WTP,S,SW,OK,N/A
OK1010203,IDABEL PWA,PFBS,< MRL,2/21/2023,IDABEL PWA,IDABEL WTP,S,SW,OK,N/A
OK1010203,IDABEL PWA,PFDA,< MRL,2/21/2023,IDABEL PWA,IDABEL WTP,S,SW,OK,N/A
OK1010203,IDABEL PWA,PFDoA,< MRL,2/21/2023,IDABEL PWA,IDABEL WTP,S,SW,OK,N/A
OK1010203,IDABEL PWA,PFEESA,< MRL,2/21/2023,IDABEL PWA,IDABEL WTP,S,SW,OK,N/A
OK1010203,IDABEL PWA,PFHpA,< MRL,2/21/2023,IDABEL PWA,IDABEL WTP,S,SW,OK,N/A
OK1010203,IDABEL PWA,PFHpS,< MRL,2/21/2023,IDABEL PWA,IDABEL WTP,S,SW,OK,N/A
OK1010203,IDABEL PWA,PFHxA,< MRL,2/21/2023,IDABEL PWA,IDABEL WTP,S,SW,OK,N/A
OK1010203,IDABEL PWA,PFHxS,< MRL,2/21/2023,IDABEL PWA,IDABEL WTP,S,SW,OK,N/A
OK1010203,IDABEL PWA,PFMBA,< MRL,2/21/2023,IDABEL PWA,IDABEL WTP,S,SW,OK,N/A
OK1010203,IDABEL PWA,PFMPA,< MRL,2/21/2023,IDABEL PWA,IDABEL WTP,S,SW,OK,N/A
OK1010203,IDABEL PWA,PFNA,< MRL,2/21/2023,IDABEL PWA,IDABEL WTP,S,SW,OK,N/A
OK1010203,IDABEL PWA,PFOA,< MRL,2/21/2023,IDABEL PWA,IDABEL WTP,S,SW,OK,N/A
OK1010203,IDABEL PWA,PFOS,< MRL,2/21/2023,IDABEL PWA,IDABEL WTP,S,SW,OK,N/A
OK1010203,IDABEL PWA,PFPeA,< MRL,2/21/2023,IDABEL PWA,IDABEL WTP,S,SW,OK,N/A
OK1010203,IDABEL PWA,PFPeS,< MRL,2/21/2023,IDABEL PWA,IDABEL WTP,S,SW,OK,N/A
OK1010203,IDABEL PWA,PFTA,< MRL,2/21/2023,IDABEL PWA,IDABEL WTP,S,SW,OK,N/A
OK1010203,IDABEL PWA,PFTrDA,< MRL,2/21/2023,IDABEL PWA,IDABEL WTP,S,SW,OK,N/A
OK1010203,IDABEL PWA,PFUnA,< MRL,2/21/2023,IDABEL PWA,IDABEL WTP,S,SW,OK,N/A
OK1010203,IDABEL PWA,4:2 FTS,< MRL,5/8/2023,IDABEL PWA,IDABEL WTP,S,SW,OK,N/A
OK1010203,IDABEL PWA,6:2 FTS,< MRL,5/8/2023,IDABEL PWA,IDABEL WTP,S,SW,OK,N/A
OK1010203,IDABEL PWA,8:2 FTS,< MRL,5/8/2023,IDABEL PWA,IDABEL WTP,S,SW,OK,N/A
OK1010203,IDABEL PWA,9Cl-PF3ONS,< MRL,5/8/2023,IDABEL PWA,IDABEL WTP,S,SW,OK,N/A
OK1010203,IDABEL PWA,11Cl-PF3OUdS,< MRL,5/8/2023,IDABEL PWA,IDABEL WTP,S,SW,OK,N/A
OK1010203,IDABEL PWA,ADONA,< MRL,5/8/2023,IDABEL PWA,IDABEL WTP,S,SW,OK,N/A
OK1010203,IDABEL PWA,HFPO-DA,< MRL,5/8/2023,IDABEL PWA,IDABEL WTP,S,SW,OK,N/A
OK1010203,IDABEL PWA,lithium,< MRL,5/8/2023,IDABEL PWA,IDABEL WTP,S,SW,OK,N
OK1010203,IDABEL PWA,NEtFOSAA,< MRL,5/8/2023,IDABEL PWA,IDABEL WTP,S,SW,OK,N/A
OK1010203,IDABEL PWA,NFDHA,< MRL,5/8/2023,IDABEL PWA,IDABEL WTP,S,SW,OK,N/A
OK1010203,IDABEL PWA,NMeFOSAA,< MRL,5/8/2023,IDABEL PWA,IDABEL WTP,S,SW,OK,N/A
OK1010203,IDABEL PWA,PFBA,< MRL,5/8/2023,IDABEL PWA,IDABEL WTP,S,SW,OK,N/A
