PWS ID,PWS Name,Contaminant,Result (µg/L),Collection Date,Facility Name,Sample Point Name,PWS Size,Facility Water Type,State,Result > Health-Based Ref Conc
OR4100003,ADAIR VILLAGE WATER SYSTEM,4:2 FTS,< MRL,2/28/2023,Treatment Plant,EP at Treatment Plant (EP-A),S,SW,OR,N/A
OR4100003,ADAIR VILLAGE WATER SYSTEM,6:2 FTS,< MRL,2/28/2023,Treatment Plant,EP at Treatment Plant (EP-A),S,SW,OR,N/A
OR4100003,ADAIR VILLAGE WATER SYSTEM,8:2 FTS,< MRL,2/28/2023,Treatment Plant,EP at Treatment Plant (EP-A),S,SW,OR,N/A
OR4100003,ADAIR VILLAGE WATER SYSTEM,9Cl-PF3ONS,< MRL,2/28/2023,Treatment Plant,EP at Treatment Plant (EP-A),S,SW,OR,N/A
OR4100003,ADAIR VILLAGE WATER SYSTEM,11Cl-PF3OUdS,< MRL,2/28/2023,Treatment Plant,EP at Treatment Plant (EP-A),S,SW,OR,N/A
OR4100003,ADAIR VILLAGE WATER SYSTEM,ADONA,< MRL,2/28/2023,Treatment Plant,EP at Treatment Plant (EP-A),S,SW,OR,N/A
OR4100003,ADAIR VILLAGE WATER SYSTEM,HFPO-DA,< MRL,2/28/2023,Treatment Plant,EP at Treatment Plant (EP-A),S,SW,OR,N/A
OR4100003,ADAIR VILLAGE WATER SYSTEM,lithium,< MRL,2/28/2023,Treatment Plant,EP at Treatment Plant (EP-A),S,SW,OR,N
OR4100003,ADAIR VILLAGE WATER SYSTEM,NEtFOSAA,< MRL,2/28/2023,Treatment Plant,EP at Treatment Plant (EP-A),S,SW,OR,N/A
OR4100003,ADAIR VILLAGE WATER SYSTEM,NFDHA,< MRL,2/28/2023,Treatment Plant,EP at Treatment Plant (EP-A),S,SW,OR,N/A
OR4100003,ADAIR VILLAGE WATER SYSTEM,NMeFOSAA,< MRL,2/28/2023,Treatment Plant,EP at Treatment Plant (EP-A),S,SW,OR,N/A
OR4100003,ADAIR VILLAGE WATER SYSTEM,PFBA,< MRL,2/28/2023,Treatment Plant,EP at Treatment Plant (EP-A),S,SW,OR,N/A
OR4100003,ADAIR VILLAGE WATER SYSTEM,PFBS,< MRL,2/28/2023,Treatment Plant,EP at Treatment Plant (EP-A),S,SW,OR,N/A
OR4100003,ADAIR VILLAGE WATER SYSTEM,PFDA,< MRL,2/28/2023,Treatment Plant,EP at Treatment Plant (EP-A),S,SW,OR,N/A
OR4100003,ADAIR VILLAGE WATER SYSTEM,PFDoA,< MRL,2/28/2023,Treatment Plant,EP at Treatment Plant (EP-A),S,SW,OR,N/A
OR4100003,ADAIR VILLAGE WATER SYSTEM,PFEESA,< MRL,2/28/2023,Treatment Plant,EP at Treatment Plant (EP-A),S,SW,OR,N/A
OR4100003,ADAIR VILLAGE WATER SYSTEM,PFHpA,< MRL,2/28/2023,Treatment Plant,EP at Treatment Plant (EP-A),S,SW,OR,N/A
OR4100003,ADAIR VILLAGE WATER SYSTEM,PFHpS,< MRL,2/28/2023,Treatment Plant,EP at Treatment Plant (EP-A),S,SW,OR,N/A
OR4100003,ADAIR VILLAGE WATER SYSTEM,PFHxA,< MRL,2/28/2023,Treatment Plant,EP at Treatment Plant (EP-A),S,SW,OR,N/A
OR4100003,ADAIR VILLAGE WATER SYSTEM,PFHxS,< MRL,2/28/2023,Treatment Plant,EP at Treatment Plant (EP-A),S,SW,OR,N/A
OR4100003,ADAIR VILLAGE WATER SYSTEM,PFMBA,< MRL,2/28/2023,Treatment Plant,EP at Treatment Plant (EP-A),S,SW,OR,N/A
OR4100003,ADAIR VILLAGE WATER SYSTEM,PFMPA,< MRL,2/28/2023,Treatment Plant,EP at Treatment Plant (EP-A),S,SW,OR,N/A
OR4100003,ADAIR VILLAGE WATER SYSTEM,PFNA,< MRL,2/28/2023,Treatment Plant,EP at Treatment Plant (EP-A),S,SW,OR,N/A
OR4100003,ADAIR VILLAGE WATER SYSTEM,PFOA,< MRL,2/28/2023,Treatment Plant,EP at Treatment Plant (EP-A),S,SW,OR,N/A
OR4100003,ADAIR VILLAGE WATER SYSTEM,PFOS,< MRL,2/28/2023,Treatment Plant,EP at Treatment Plant (EP-A),S,SW,OR,N/A
OR4100003,ADAIR VILLAGE WATER SYSTEM,PFPeA,< MRL,2/28/2023,Treatment Plant,EP at Treatment Plant (EP-A),S,SW,OR,N/A
OR4100003,ADAIR VILLAGE WATER SYSTEM,PFPeS,< MRL,2/28/2023,Treatment Plant,EP at Treatment Plant (EP-A),S,SW,OR,N/A
OR4100003,ADAIR VILLAGE WATER SYSTEM,PFTA,< MRL,2/28/2023,Treatment Plant,EP at Treatment Plant (EP-A),S,SW,OR,N/A
OR4100003,ADAIR VILLAGE WATER SYSTEM,PFTrDA,< MRL,2/28/2023,Treatment Plant,EP at Treatment Plant (EP-A),S,SW,OR,N/A
OR4100003,ADAIR VILLAGE WATER SYSTEM,PFUnA,< MRL,2/28/2023,Treatment Plant,EP at Treatment Plant (EP-A),S,SW,OR,N/A
OR4100003,ADAIR VILLAGE WATER SYSTEM,4:2 FTS,< MRL,5/9/2023,Treatment Plant,EP at Treatment Plant (EP-A),S,SW,OR,N/A
OR4100003,ADAIR VILLAGE WATER SYSTEM,6:2 FTS,< MRL,5/9/2023,Treatment Plant,EP at Treatment Plant (EP-A),S,SW,OR,N/A
OR4100003,ADAIR VILLAGE WATER SYSTEM,8:2 FTS,< MRL,5/9/2023,Treatment Plant,EP at Treatment Plant (EP-A),S,SW,OR,N/A
OR4100003,ADAIR VILLAGE WATER SYSTEM,9Cl-PF3ONS,< MRL,5/9/2023,Treatment Plant,EP at Treatment Plant (EP-A),S,SW,OR,N/A
OR4100003,ADAIR VILLAGE WATER SYSTEM,11Cl-PF3OUdS,< MRL,5/9/2023,Treatment Plant,EP at Treatment Plant (EP-A),S,SW,OR,N/A
OR4100003,ADAIR VILLAGE WATER SYSTEM,ADONA,< MRL,5/9/2023,Treatment Plant,EP at Treatment Plant (EP-A),S,SW,OR,N/A
OR4100003,ADAIR VILLAGE WATER SYSTEM,HFPO-DA,< MRL,5/9/2023,Treatment Plant,EP at Treatment Plant (EP-A),S,SW,OR,N/A
OR4100003,ADAIR VILLAGE WATER SYSTEM,lithium,< MRL,5/9/2023,Treatment Plant,EP at Treatment Plant (EP-A),S,SW,OR,N
OR4100003,ADAIR VILLAGE WATER SYSTEM,NEtFOSAA,< MRL,5/9/2023,Treatment Plant,EP at Treatment Plant (EP-A),S,SW,OR,N/A
OR4100003,ADAIR VILLAGE WATER SYSTEM,NFDHA,< MRL,5/9/2023,Treatment Plant,EP at Treatment Plant (EP-A),S,SW,OR,N/A
OR4100003,ADAIR VILLAGE WATER SYSTEM,NMeFOSAA,< MRL,5/9/2023,Treatment Plant,EP at Treatment Plant (EP-A),S,SW,OR,N/A
OR4100003,ADAIR VILLAGE WATER SYSTEM,PFBA,< MRL,5/9/2023,Treatment Plant,EP at Treatment Plant (EP-A),S,SW,OR,N/A
OR4100003,ADAIR VILLAGE WATER SYSTEM,PFBS,< MRL,5/9/2023,Treatment Plant,EP at Treatment Plant (EP-A),S,SW,OR,N/A
OR4100003,ADAIR VILLAGE WATER SYSTEM,PFDA,< MRL,5/9/2023,Treatment Plant,EP at Treatment Plant (EP-A),S,SW,OR,N/A
OR4100003,ADAIR VILLAGE WATER SYSTEM,PFDoA,< MRL,5/9/2023,Treatment Plant,EP at Treatment Plant (EP-A),S,SW,OR,N/A
OR4100003,ADAIR VILLAGE WATER SYSTEM,PFEESA,< MRL,5/9/2023,Treatment Plant,EP at Treatment Plant (EP-A),S,SW,OR,N/A
OR4100003,ADAIR VILLAGE WATER SYSTEM,PFHpA,< MRL,5/9/2023,Treatment Plant,EP at Treatment Plant (EP-A),S,SW,OR,N/A
OR4100003,ADAIR VILLAGE WATER SYSTEM,PFHpS,< MRL,5/9/2023,Treatment Plant,EP at Treatment Plant (EP-A),S,SW,OR,N/A
OR4100003,ADAIR VILLAGE WATER SYSTEM,PFHxA,< MRL,5/9/2023,Treatment Plant,EP at Treatment Plant (EP-A),S,SW,OR,N/A
OR4100003,ADAIR VILLAGE WATER SYSTEM,PFHxS,< MRL,5/9/2023,Treatment Plant,EP at Treatment Plant (EP-A),S,SW,OR,N/A
OR4100003,ADAIR VILLAGE WATER SYSTEM,PFMBA,< MRL,5/9/2023,Treatment Plant,EP at Treatment Plant (EP-A),S,SW,OR,N/A
OR4100003,ADAIR VILLAGE WATER SYSTEM,PFMPA,< MRL,5/9/2023,Treatment Plant,EP at Treatment Plant (EP-A),S,SW,OR,N/A
OR4100003,ADAIR VILLAGE WATER SYSTEM,PFNA,< MRL,5/9/2023,Treatment Plant,EP at Treatment Plant (EP-A),S,SW,OR,N/A
OR4100003,ADAIR VILLAGE WATER SYSTEM,PFOA,< MRL,5/9/2023,Treatment Plant,EP at Treatment Plant (EP-A),S,SW,OR,N/A
OR4100003,ADAIR VILLAGE WATER SYSTEM,PFOS,< MRL,5/9/2023,Treatment Plant,EP at Treatment Plant (EP-A),S,SW,OR,N/A
OR4100003,ADAIR VILLAGE WATER SYSTEM,PFPeA,< MRL,5/9/2023,Treatment Plant,EP at Treatment Plant (EP-A),S,SW,OR,N/A
OR4100003,ADAIR VILLAGE WATER SYSTEM,PFPeS,< MRL,5/9/2023,Treatment Plant,EP at Treatment Plant (EP-A),S,SW,OR,N/A
OR4100003,ADAIR VILLAGE WATER SYSTEM,PFTA,< MRL,5/9/2023,Treatment Plant,EP at Treatment Plant (EP-A),S,SW,OR,N/A
