PWS ID,PWS Name,Contaminant,Result (µg/L),Collection Date,Facility Name,Sample Point Name,PWS Size,Facility Water Type,State,Result > Health-Based Ref Conc
PA1090001,AQUA PA BRISTOL,4:2 FTS,< MRL,1/25/2024,Bristol FP Treatment,Bristol FP Finished Water,L,SW,PA,N/A
PA1090001,AQUA PA BRISTOL,6:2 FTS,< MRL,1/25/2024,Bristol FP Treatment,Bristol FP Finished Water,L,SW,PA,N/A
PA1090001,AQUA PA BRISTOL,8:2 FTS,< MRL,1/25/2024,Bristol FP Treatment,Bristol FP Finished Water,L,SW,PA,N/A
PA1090001,AQUA PA BRISTOL,9Cl-PF3ONS,< MRL,1/25/2024,Bristol FP Treatment,Bristol FP Finished Water,L,SW,PA,N/A
PA1090001,AQUA PA BRISTOL,11Cl-PF3OUdS,< MRL,1/25/2024,Bristol FP Treatment,Bristol FP Finished Water,L,SW,PA,N/A
PA1090001,AQUA PA BRISTOL,ADONA,< MRL,1/25/2024,Bristol FP Treatment,Bristol FP Finished Water,L,SW,PA,N/A
PA1090001,AQUA PA BRISTOL,HFPO-DA,< MRL,1/25/2024,Bristol FP Treatment,Bristol FP Finished Water,L,SW,PA,N/A
PA1090001,AQUA PA BRISTOL,lithium,< MRL,1/25/2024,Bristol FP Treatment,Bristol FP Finished Water,L,SW,PA,N
PA1090001,AQUA PA BRISTOL,NEtFOSAA,< MRL,1/25/2024,Bristol FP Treatment,Bristol FP Finished Water,L,SW,PA,N/A
PA1090001,AQUA PA BRISTOL,NFDHA,< MRL,1/25/2024,Bristol FP Treatment,Bristol FP Finished Water,L,SW,PA,N/A
PA1090001,AQUA PA BRISTOL,NMeFOSAA,< MRL,1/25/2024,Bristol FP Treatment,Bristol FP Finished Water,L,SW,PA,N/A
PA1090001,AQUA PA BRISTOL,PFBA,< MRL,1/25/2024,Bristol FP Treatment,Bristol FP Finished Water,L,SW,PA,N/A
PA1090001,AQUA PA BRISTOL,PFBS,< MRL,1/25/2024,Bristol FP Treatment,Bristol FP Finished Water,L,SW,PA,N/A
PA1090001,AQUA PA BRISTOL,PFDA,< MRL,1/25/2024,Bristol FP Treatment,Bristol FP Finished Water,L,SW,PA,N/A
PA1090001,AQUA PA BRISTOL,PFDoA,< MRL,1/25/2024,Bristol FP Treatment,Bristol FP Finished Water,L,SW,PA,N/A
PA1090001,AQUA PA BRISTOL,PFEESA,< MRL,1/25/2024,Bristol FP Treatment,Bristol FP Finished Water,L,SW,PA,N/A
PA1090001,AQUA PA BRISTOL,PFHpA,< MRL,1/25/2024,Bristol FP Treatment,Bristol FP Finished Water,L,SW,PA,N/A
PA1090001,AQUA PA BRISTOL,PFHpS,< MRL,1/25/2024,Bristol FP Treatment,Bristol FP Finished Water,L,SW,PA,N/A
PA1090001,AQUA PA BRISTOL,PFHxA,< MRL,1/25/2024,Bristol FP Treatment,Bristol FP Finished Water,L,SW,PA,N/A
PA1090001,AQUA PA BRISTOL,PFHxS,< MRL,1/25/2024,Bristol FP Treatment,Bristol FP Finished Water,L,SW,PA,N/A
PA1090001,AQUA PA BRISTOL,PFMBA,< MRL,1/25/2024,Bristol FP Treatment,Bristol FP Finished Water,L,SW,PA,N/A
PA1090001,AQUA PA BRISTOL,PFMPA,< MRL,1/25/2024,Bristol FP Treatment,Bristol FP Finished Water,L,SW,PA,N/A
PA1090001,AQUA PA BRISTOL,PFNA,< MRL,1/25/2024,Bristol FP Treatment,Bristol FP Finished Water,L,SW,PA,N/A
