PWS ID,PWS Name,Contaminant,Result (µg/L),Collection Date,Facility Name,Sample Point Name,PWS Size,Facility Water Type,State,Result > Health-Based Ref Conc
RI1000016,"NAVAL STATION, NEWPORT",4:2 FTS,< MRL,1/23/2024,Gate 1 B1296 Meter Pit,Gate 1 B1296 Meter Sample Tap,S,SW,RI,N/A
RI1000016,"NAVAL STATION, NEWPORT",4:2 FTS,< MRL,1/23/2024,Greene Lane Meter Pit,Greene Lane Meter Sample Tap,S,SW,RI,N/A
RI1000016,"NAVAL STATION, NEWPORT",6:2 FTS,< MRL,1/23/2024,Gate 1 B1296 Meter Pit,Gate 1 B1296 Meter Sample Tap,S,SW,RI,N/A
RI1000016,"NAVAL STATION, NEWPORT",6:2 FTS,< MRL,1/23/2024,Greene Lane Meter Pit,Greene Lane Meter Sample Tap,S,SW,RI,N/A
RI1000016,"NAVAL STATION, NEWPORT",8:2 FTS,< MRL,1/23/2024,Gate 1 B1296 Meter Pit,Gate 1 B1296 Meter Sample Tap,S,SW,RI,N/A
RI1000016,"NAVAL STATION, NEWPORT",8:2 FTS,< MRL,1/23/2024,Greene Lane Meter Pit,Greene Lane Meter Sample Tap,S,SW,RI,N/A
RI1000016,"NAVAL STATION, NEWPORT",9Cl-PF3ONS,< MRL,1/23/2024,Gate 1 B1296 Meter Pit,Gate 1 B1296 Meter Sample Tap,S,SW,RI,N/A
RI1000016,"NAVAL STATION, NEWPORT",9Cl-PF3ONS,< MRL,1/23/2024,Greene Lane Meter Pit,Greene Lane Meter Sample Tap,S,SW,RI,N/A
RI1000016,"NAVAL STATION, NEWPORT",11Cl-PF3OUdS,< MRL,1/23/2024,Gate 1 B1296 Meter Pit,Gate 1 B1296 Meter Sample Tap,S,SW,RI,N/A
RI1000016,"NAVAL STATION, NEWPORT",11Cl-PF3OUdS,< MRL,1/23/2024,Greene Lane Meter Pit,Greene Lane Meter Sample Tap,S,SW,RI,N/A
RI1000016,"NAVAL STATION, NEWPORT",ADONA,< MRL,1/23/2024,Gate 1 B1296 Meter Pit,Gate 1 B1296 Meter Sample Tap,S,SW,RI,N/A
RI1000016,"NAVAL STATION, NEWPORT",ADONA,< MRL,1/23/2024,Greene Lane Meter Pit,Greene Lane Meter Sample Tap,S,SW,RI,N/A
RI1000016,"NAVAL STATION, NEWPORT",HFPO-DA,< MRL,1/23/2024,Gate 1 B1296 Meter Pit,Gate 1 B1296 Meter Sample Tap,S,SW,RI,N/A
RI1000016,"NAVAL STATION, NEWPORT",HFPO-DA,< MRL,1/23/2024,Greene Lane Meter Pit,Greene Lane Meter Sample Tap,S,SW,RI,N/A
RI1000016,"NAVAL STATION, NEWPORT",lithium,< MRL,1/23/2024,Gate 1 B1296 Meter Pit,Gate 1 B1296 Meter Sample Tap,S,SW,RI,N
RI1000016,"NAVAL STATION, NEWPORT",lithium,< MRL,1/23/2024,Greene Lane Meter Pit,Greene Lane Meter Sample Tap,S,SW,RI,N
RI1000016,"NAVAL STATION, NEWPORT",NEtFOSAA,< MRL,1/23/2024,Gate 1 B1296 Meter Pit,Gate 1 B1296 Meter Sample Tap,S,SW,RI,N/A
RI1000016,"NAVAL STATION, NEWPORT",NEtFOSAA,< MRL,1/23/2024,Greene Lane Meter Pit,Greene Lane Meter Sample Tap,S,SW,RI,N/A
RI1000016,"NAVAL STATION, NEWPORT",NFDHA,< MRL,1/23/2024,Gate 1 B1296 Meter Pit,Gate 1 B1296 Meter Sample Tap,S,SW,RI,N/A
RI1000016,"NAVAL STATION, NEWPORT",NFDHA,< MRL,1/23/2024,Greene Lane Meter Pit,Greene Lane Meter Sample Tap,S,SW,RI,N/A
RI1000016,"NAVAL STATION, NEWPORT",NMeFOSAA,< MRL,1/23/2024,Gate 1 B1296 Meter Pit,Gate 1 B1296 Meter Sample Tap,S,SW,RI,N/A
RI1000016,"NAVAL STATION, NEWPORT",NMeFOSAA,< MRL,1/23/2024,Greene Lane Meter Pit,Greene Lane Meter Sample Tap,S,SW,RI,N/A
RI1000016,"NAVAL STATION, NEWPORT",PFBA,< MRL,1/23/2024,Gate 1 B1296 Meter Pit,Gate 1 B1296 Meter Sample Tap,S,SW,RI,N/A
RI1000016,"NAVAL STATION, NEWPORT",PFBA,< MRL,1/23/2024,Greene Lane Meter Pit,Greene Lane Meter Sample Tap,S,SW,RI,N/A
RI1000016,"NAVAL STATION, NEWPORT",PFBS,< MRL,1/23/2024,Gate 1 B1296 Meter Pit,Gate 1 B1296 Meter Sample Tap,S,SW,RI,N/A
RI1000016,"NAVAL STATION, NEWPORT",PFBS,< MRL,1/23/2024,Greene Lane Meter Pit,Greene Lane Meter Sample Tap,S,SW,RI,N/A
RI1000016,"NAVAL STATION, NEWPORT",PFDA,< MRL,1/23/2024,Gate 1 B1296 Meter Pit,Gate 1 B1296 Meter Sample Tap,S,SW,RI,N/A
RI1000016,"NAVAL STATION, NEWPORT",PFDA,< MRL,1/23/2024,Greene Lane Meter Pit,Greene Lane Meter Sample Tap,S,SW,RI,N/A
RI1000016,"NAVAL STATION, NEWPORT",PFDoA,< MRL,1/23/2024,Gate 1 B1296 Meter Pit,Gate 1 B1296 Meter Sample Tap,S,SW,RI,N/A
RI1000016,"NAVAL STATION, NEWPORT",PFDoA,< MRL,1/23/2024,Greene Lane Meter Pit,Greene Lane Meter Sample Tap,S,SW,RI,N/A
RI1000016,"NAVAL STATION, NEWPORT",PFEESA,< MRL,1/23/2024,Gate 1 B1296 Meter Pit,Gate 1 B1296 Meter Sample Tap,S,SW,RI,N/A
RI1000016,"NAVAL STATION, NEWPORT",PFEESA,< MRL,1/23/2024,Greene Lane Meter Pit,Greene Lane Meter Sample Tap,S,SW,RI,N/A
RI1000016,"NAVAL STATION, NEWPORT",PFHpA,< MRL,1/23/2024,Gate 1 B1296 Meter Pit,Gate 1 B1296 Meter Sample Tap,S,SW,RI,N/A
RI1000016,"NAVAL STATION, NEWPORT",PFHpA,< MRL,1/23/2024,Greene Lane Meter Pit,Greene Lane Meter Sample Tap,S,SW,RI,N/A
RI1000016,"NAVAL STATION, NEWPORT",PFHpS,< MRL,1/23/2024,Gate 1 B1296 Meter Pit,Gate 1 B1296 Meter Sample Tap,S,SW,RI,N/A
RI1000016,"NAVAL STATION, NEWPORT",PFHpS,< MRL,1/23/2024,Greene Lane Meter Pit,Greene Lane Meter Sample Tap,S,SW,RI,N/A
RI1000016,"NAVAL STATION, NEWPORT",PFHxA,< MRL,1/23/2024,Gate 1 B1296 Meter Pit,Gate 1 B1296 Meter Sample Tap,S,SW,RI,N/A
RI1000016,"NAVAL STATION, NEWPORT",PFHxA,0.0031,1/23/2024,Greene Lane Meter Pit,Greene Lane Meter Sample Tap,S,SW,RI,N/A
RI1000016,"NAVAL STATION, NEWPORT",PFHxS,< MRL,1/23/2024,Gate 1 B1296 Meter Pit,Gate 1 B1296 Meter Sample Tap,S,SW,RI,N/A
RI1000016,"NAVAL STATION, NEWPORT",PFHxS,< MRL,1/23/2024,Greene Lane Meter Pit,Greene Lane Meter Sample Tap,S,SW,RI,N/A
RI1000016,"NAVAL STATION, NEWPORT",PFMBA,< MRL,1/23/2024,Gate 1 B1296 Meter Pit,Gate 1 B1296 Meter Sample Tap,S,SW,RI,N/A
RI1000016,"NAVAL STATION, NEWPORT",PFMBA,< MRL,1/23/2024,Greene Lane Meter Pit,Greene Lane Meter Sample Tap,S,SW,RI,N/A
RI1000016,"NAVAL STATION, NEWPORT",PFMPA,< MRL,1/23/2024,Gate 1 B1296 Meter Pit,Gate 1 B1296 Meter Sample Tap,S,SW,RI,N/A
