PWS ID,PWS Name,Contaminant,Result (µg/L),Collection Date,Facility Name,Sample Point Name,PWS Size,Facility Water Type,State,Result > Health-Based Ref Conc
SC0220004,BEECH ISLAND W/D (SC0220004),4:2 FTS,< MRL,1/9/2023,BEECH ISLAND W/D (SC0220004),PLANT(B02008) WELL 5(G02113) DEMEDICS RD,S,GW,SC,N/A
SC0220004,BEECH ISLAND W/D (SC0220004),4:2 FTS,< MRL,1/9/2023,BEECH ISLAND W/D (SC0220004),PINEY HEIGHTS WELL PLANT (B02430),S,GW,SC,N/A
SC0220004,BEECH ISLAND W/D (SC0220004),6:2 FTS,< MRL,1/9/2023,BEECH ISLAND W/D (SC0220004),PLANT(B02008) WELL 5(G02113) DEMEDICS RD,S,GW,SC,N/A
SC0220004,BEECH ISLAND W/D (SC0220004),6:2 FTS,< MRL,1/9/2023,BEECH ISLAND W/D (SC0220004),PINEY HEIGHTS WELL PLANT (B02430),S,GW,SC,N/A
SC0220004,BEECH ISLAND W/D (SC0220004),8:2 FTS,< MRL,1/9/2023,BEECH ISLAND W/D (SC0220004),PLANT(B02008) WELL 5(G02113) DEMEDICS RD,S,GW,SC,N/A
SC0220004,BEECH ISLAND W/D (SC0220004),8:2 FTS,< MRL,1/9/2023,BEECH ISLAND W/D (SC0220004),PINEY HEIGHTS WELL PLANT (B02430),S,GW,SC,N/A
SC0220004,BEECH ISLAND W/D (SC0220004),9Cl-PF3ONS,< MRL,1/9/2023,BEECH ISLAND W/D (SC0220004),PLANT(B02008) WELL 5(G02113) DEMEDICS RD,S,GW,SC,N/A
SC0220004,BEECH ISLAND W/D (SC0220004),9Cl-PF3ONS,< MRL,1/9/2023,BEECH ISLAND W/D (SC0220004),PINEY HEIGHTS WELL PLANT (B02430),S,GW,SC,N/A
SC0220004,BEECH ISLAND W/D (SC0220004),11Cl-PF3OUdS,< MRL,1/9/2023,BEECH ISLAND W/D (SC0220004),PLANT(B02008) WELL 5(G02113) DEMEDICS RD,S,GW,SC,N/A
SC0220004,BEECH ISLAND W/D (SC0220004),11Cl-PF3OUdS,< MRL,1/9/2023,BEECH ISLAND W/D (SC0220004),PINEY HEIGHTS WELL PLANT (B02430),S,GW,SC,N/A
SC0220004,BEECH ISLAND W/D (SC0220004),ADONA,< MRL,1/9/2023,BEECH ISLAND W/D (SC0220004),PLANT(B02008) WELL 5(G02113) DEMEDICS RD,S,GW,SC,N/A
SC0220004,BEECH ISLAND W/D (SC0220004),ADONA,< MRL,1/9/2023,BEECH ISLAND W/D (SC0220004),PINEY HEIGHTS WELL PLANT (B02430),S,GW,SC,N/A
SC0220004,BEECH ISLAND W/D (SC0220004),HFPO-DA,< MRL,1/9/2023,BEECH ISLAND W/D (SC0220004),PLANT(B02008) WELL 5(G02113) DEMEDICS RD,S,GW,SC,N/A
SC0220004,BEECH ISLAND W/D (SC0220004),HFPO-DA,< MRL,1/9/2023,BEECH ISLAND W/D (SC0220004),PINEY HEIGHTS WELL PLANT (B02430),S,GW,SC,N/A
SC0220004,BEECH ISLAND W/D (SC0220004),lithium,< MRL,1/9/2023,BEECH ISLAND W/D (SC0220004),PLANT(B02008) WELL 5(G02113) DEMEDICS RD,S,GW,SC,N
SC0220004,BEECH ISLAND W/D (SC0220004),lithium,< MRL,1/9/2023,BEECH ISLAND W/D (SC0220004),PLANT (B02009) WELL 6(G02308)STORM BRNCH,S,GW,SC,N
SC0220004,BEECH ISLAND W/D (SC0220004),lithium,< MRL,1/9/2023,BEECH ISLAND W/D (SC0220004),PINEY HEIGHTS WELL PLANT (B02430),S,GW,SC,N
SC0220004,BEECH ISLAND W/D (SC0220004),NEtFOSAA,< MRL,1/9/2023,BEECH ISLAND W/D (SC0220004),PLANT(B02008) WELL 5(G02113) DEMEDICS RD,S,GW,SC,N/A
SC0220004,BEECH ISLAND W/D (SC0220004),NEtFOSAA,< MRL,1/9/2023,BEECH ISLAND W/D (SC0220004),PLANT (B02009) WELL 6(G02308)STORM BRNCH,S,GW,SC,N/A
SC0220004,BEECH ISLAND W/D (SC0220004),NEtFOSAA,< MRL,1/9/2023,BEECH ISLAND W/D (SC0220004),PINEY HEIGHTS WELL PLANT (B02430),S,GW,SC,N/A
SC0220004,BEECH ISLAND W/D (SC0220004),NFDHA,< MRL,1/9/2023,BEECH ISLAND W/D (SC0220004),PLANT(B02008) WELL 5(G02113) DEMEDICS RD,S,GW,SC,N/A
SC0220004,BEECH ISLAND W/D (SC0220004),NFDHA,< MRL,1/9/2023,BEECH ISLAND W/D (SC0220004),PINEY HEIGHTS WELL PLANT (B02430),S,GW,SC,N/A
SC0220004,BEECH ISLAND W/D (SC0220004),NMeFOSAA,< MRL,1/9/2023,BEECH ISLAND W/D (SC0220004),PLANT(B02008) WELL 5(G02113) DEMEDICS RD,S,GW,SC,N/A
SC0220004,BEECH ISLAND W/D (SC0220004),NMeFOSAA,< MRL,1/9/2023,BEECH ISLAND W/D (SC0220004),PLANT (B02009) WELL 6(G02308)STORM BRNCH,S,GW,SC,N/A
SC0220004,BEECH ISLAND W/D (SC0220004),NMeFOSAA,< MRL,1/9/2023,BEECH ISLAND W/D (SC0220004),PINEY HEIGHTS WELL PLANT (B02430),S,GW,SC,N/A
SC0220004,BEECH ISLAND W/D (SC0220004),PFBA,< MRL,1/9/2023,BEECH ISLAND W/D (SC0220004),PLANT(B02008) WELL 5(G02113) DEMEDICS RD,S,GW,SC,N/A
SC0220004,BEECH ISLAND W/D (SC0220004),PFBA,< MRL,1/9/2023,BEECH ISLAND W/D (SC0220004),PINEY HEIGHTS WELL PLANT (B02430),S,GW,SC,N/A
SC0220004,BEECH ISLAND W/D (SC0220004),PFBS,< MRL,1/9/2023,BEECH ISLAND W/D (SC0220004),PLANT(B02008) WELL 5(G02113) DEMEDICS RD,S,GW,SC,N/A
SC0220004,BEECH ISLAND W/D (SC0220004),PFBS,< MRL,1/9/2023,BEECH ISLAND W/D (SC0220004),PINEY HEIGHTS WELL PLANT (B02430),S,GW,SC,N/A
SC0220004,BEECH ISLAND W/D (SC0220004),PFDA,< MRL,1/9/2023,BEECH ISLAND W/D (SC0220004),PLANT(B02008) WELL 5(G02113) DEMEDICS RD,S,GW,SC,N/A
SC0220004,BEECH ISLAND W/D (SC0220004),PFDA,< MRL,1/9/2023,BEECH ISLAND W/D (SC0220004),PINEY HEIGHTS WELL PLANT (B02430),S,GW,SC,N/A
SC0220004,BEECH ISLAND W/D (SC0220004),PFDoA,< MRL,1/9/2023,BEECH ISLAND W/D (SC0220004),PLANT(B02008) WELL 5(G02113) DEMEDICS RD,S,GW,SC,N/A
SC0220004,BEECH ISLAND W/D (SC0220004),PFDoA,< MRL,1/9/2023,BEECH ISLAND W/D (SC0220004),PINEY HEIGHTS WELL PLANT (B02430),S,GW,SC,N/A
SC0220004,BEECH ISLAND W/D (SC0220004),PFEESA,< MRL,1/9/2023,BEECH ISLAND W/D (SC0220004),PLANT(B02008) WELL 5(G02113) DEMEDICS RD,S,GW,SC,N/A
SC0220004,BEECH ISLAND W/D (SC0220004),PFEESA,< MRL,1/9/2023,BEECH ISLAND W/D (SC0220004),PINEY HEIGHTS WELL PLANT (B02430),S,GW,SC,N/A
SC0220004,BEECH ISLAND W/D (SC0220004),PFHpA,< MRL,1/9/2023,BEECH ISLAND W/D (SC0220004),PLANT(B02008) WELL 5(G02113) DEMEDICS RD,S,GW,SC,N/A
SC0220004,BEECH ISLAND W/D (SC0220004),PFHpA,< MRL,1/9/2023,BEECH ISLAND W/D (SC0220004),PINEY HEIGHTS WELL PLANT (B02430),S,GW,SC,N/A
SC0220004,BEECH ISLAND W/D (SC0220004),PFHpS,< MRL,1/9/2023,BEECH ISLAND W/D (SC0220004),PLANT(B02008) WELL 5(G02113) DEMEDICS RD,S,GW,SC,N/A
SC0220004,BEECH ISLAND W/D (SC0220004),PFHpS,< MRL,1/9/2023,BEECH ISLAND W/D (SC0220004),PINEY HEIGHTS WELL PLANT (B02430),S,GW,SC,N/A
SC0220004,BEECH ISLAND W/D (SC0220004),PFHxA,< MRL,1/9/2023,BEECH ISLAND W/D (SC0220004),PLANT(B02008) WELL 5(G02113) DEMEDICS RD,S,GW,SC,N/A
SC0220004,BEECH ISLAND W/D (SC0220004),PFHxA,< MRL,1/9/2023,BEECH ISLAND W/D (SC0220004),PINEY HEIGHTS WELL PLANT (B02430),S,GW,SC,N/A
