PWS ID,PWS Name,Contaminant,Result (µg/L),Collection Date,Facility Name,Sample Point Name,PWS Size,Facility Water Type,State,Result > Health-Based Ref Conc
SD4600020,ABERDEEN,4:2 FTS,< MRL,1/31/2023,Treatment Plant,Entry Point Tap,L,SW,SD,N/A
SD4600020,ABERDEEN,6:2 FTS,< MRL,1/31/2023,Treatment Plant,Entry Point Tap,L,SW,SD,N/A
SD4600020,ABERDEEN,8:2 FTS,< MRL,1/31/2023,Treatment Plant,Entry Point Tap,L,SW,SD,N/A
SD4600020,ABERDEEN,9Cl-PF3ONS,< MRL,1/31/2023,Treatment Plant,Entry Point Tap,L,SW,SD,N/A
SD4600020,ABERDEEN,11Cl-PF3OUdS,< MRL,1/31/2023,Treatment Plant,Entry Point Tap,L,SW,SD,N/A
SD4600020,ABERDEEN,ADONA,< MRL,1/31/2023,Treatment Plant,Entry Point Tap,L,SW,SD,N/A
SD4600020,ABERDEEN,HFPO-DA,< MRL,1/31/2023,Treatment Plant,Entry Point Tap,L,SW,SD,N/A
SD4600020,ABERDEEN,lithium,100,1/31/2023,Treatment Plant,Entry Point Tap,L,SW,SD,Y
SD4600020,ABERDEEN,NEtFOSAA,< MRL,1/31/2023,Treatment Plant,Entry Point Tap,L,SW,SD,N/A
SD4600020,ABERDEEN,NFDHA,< MRL,1/31/2023,Treatment Plant,Entry Point Tap,L,SW,SD,N/A
SD4600020,ABERDEEN,NMeFOSAA,< MRL,1/31/2023,Treatment Plant,Entry Point Tap,L,SW,SD,N/A
SD4600020,ABERDEEN,PFBA,0.0075,1/31/2023,Treatment Plant,Entry Point Tap,L,SW,SD,N/A
SD4600020,ABERDEEN,PFBS,< MRL,1/31/2023,Treatment Plant,Entry Point Tap,L,SW,SD,N/A
SD4600020,ABERDEEN,PFDA,< MRL,1/31/2023,Treatment Plant,Entry Point Tap,L,SW,SD,N/A
SD4600020,ABERDEEN,PFDoA,< MRL,1/31/2023,Treatment Plant,Entry Point Tap,L,SW,SD,N/A
SD4600020,ABERDEEN,PFEESA,< MRL,1/31/2023,Treatment Plant,Entry Point Tap,L,SW,SD,N/A
SD4600020,ABERDEEN,PFHpA,< MRL,1/31/2023,Treatment Plant,Entry Point Tap,L,SW,SD,N/A
SD4600020,ABERDEEN,PFHpS,< MRL,1/31/2023,Treatment Plant,Entry Point Tap,L,SW,SD,N/A
SD4600020,ABERDEEN,PFHxA,< MRL,1/31/2023,Treatment Plant,Entry Point Tap,L,SW,SD,N/A
SD4600020,ABERDEEN,PFHxS,< MRL,1/31/2023,Treatment Plant,Entry Point Tap,L,SW,SD,N/A
SD4600020,ABERDEEN,PFMBA,< MRL,1/31/2023,Treatment Plant,Entry Point Tap,L,SW,SD,N/A
SD4600020,ABERDEEN,PFMPA,< MRL,1/31/2023,Treatment Plant,Entry Point Tap,L,SW,SD,N/A
SD4600020,ABERDEEN,PFNA,< MRL,1/31/2023,Treatment Plant,Entry Point Tap,L,SW,SD,N/A
SD4600020,ABERDEEN,PFOA,< MRL,1/31/2023,Treatment Plant,Entry Point Tap,L,SW,SD,N/A
SD4600020,ABERDEEN,PFOS,< MRL,1/31/2023,Treatment Plant,Entry Point Tap,L,SW,SD,N/A
SD4600020,ABERDEEN,PFPeA,< MRL,1/31/2023,Treatment Plant,Entry Point Tap,L,SW,SD,N/A
SD4600020,ABERDEEN,PFPeS,< MRL,1/31/2023,Treatment Plant,Entry Point Tap,L,SW,SD,N/A
SD4600020,ABERDEEN,PFTA,< MRL,1/31/2023,Treatment Plant,Entry Point Tap,L,SW,SD,N/A
SD4600020,ABERDEEN,PFTrDA,< MRL,1/31/2023,Treatment Plant,Entry Point Tap,L,SW,SD,N/A
SD4600020,ABERDEEN,PFUnA,< MRL,1/31/2023,Treatment Plant,Entry Point Tap,L,SW,SD,N/A
SD4600020,ABERDEEN,4:2 FTS,< MRL,4/17/2023,Treatment Plant,Entry Point Tap,L,SW,SD,N/A
SD4600020,ABERDEEN,6:2 FTS,< MRL,4/17/2023,Treatment Plant,Entry Point Tap,L,SW,SD,N/A
SD4600020,ABERDEEN,8:2 FTS,< MRL,4/17/2023,Treatment Plant,Entry Point Tap,L,SW,SD,N/A
SD4600020,ABERDEEN,9Cl-PF3ONS,< MRL,4/17/2023,Treatment Plant,Entry Point Tap,L,SW,SD,N/A
SD4600020,ABERDEEN,11Cl-PF3OUdS,< MRL,4/17/2023,Treatment Plant,Entry Point Tap,L,SW,SD,N/A
SD4600020,ABERDEEN,ADONA,< MRL,4/17/2023,Treatment Plant,Entry Point Tap,L,SW,SD,N/A
SD4600020,ABERDEEN,HFPO-DA,< MRL,4/17/2023,Treatment Plant,Entry Point Tap,L,SW,SD,N/A
SD4600020,ABERDEEN,lithium,88,4/17/2023,Treatment Plant,Entry Point Tap,L,SW,SD,Y
SD4600020,ABERDEEN,NEtFOSAA,< MRL,4/17/2023,Treatment Plant,Entry Point Tap,L,SW,SD,N/A
SD4600020,ABERDEEN,NFDHA,< MRL,4/17/2023,Treatment Plant,Entry Point Tap,L,SW,SD,N/A
SD4600020,ABERDEEN,NMeFOSAA,< MRL,4/17/2023,Treatment Plant,Entry Point Tap,L,SW,SD,N/A
SD4600020,ABERDEEN,PFBA,0.0081,4/17/2023,Treatment Plant,Entry Point Tap,L,SW,SD,N/A
SD4600020,ABERDEEN,PFBS,< MRL,4/17/2023,Treatment Plant,Entry Point Tap,L,SW,SD,N/A
SD4600020,ABERDEEN,PFDA,< MRL,4/17/2023,Treatment Plant,Entry Point Tap,L,SW,SD,N/A
SD4600020,ABERDEEN,PFDoA,< MRL,4/17/2023,Treatment Plant,Entry Point Tap,L,SW,SD,N/A
SD4600020,ABERDEEN,PFEESA,< MRL,4/17/2023,Treatment Plant,Entry Point Tap,L,SW,SD,N/A
SD4600020,ABERDEEN,PFHpA,< MRL,4/17/2023,Treatment Plant,Entry Point Tap,L,SW,SD,N/A
SD4600020,ABERDEEN,PFHpS,< MRL,4/17/2023,Treatment Plant,Entry Point Tap,L,SW,SD,N/A
SD4600020,ABERDEEN,PFHxA,< MRL,4/17/2023,Treatment Plant,Entry Point Tap,L,SW,SD,N/A
SD4600020,ABERDEEN,PFHxS,< MRL,4/17/2023,Treatment Plant,Entry Point Tap,L,SW,SD,N/A
SD4600020,ABERDEEN,PFMBA,< MRL,4/17/2023,Treatment Plant,Entry Point Tap,L,SW,SD,N/A
SD4600020,ABERDEEN,PFMPA,< MRL,4/17/2023,Treatment Plant,Entry Point Tap,L,SW,SD,N/A
SD4600020,ABERDEEN,PFNA,< MRL,4/17/2023,Treatment Plant,Entry Point Tap,L,SW,SD,N/A
SD4600020,ABERDEEN,PFOA,< MRL,4/17/2023,Treatment Plant,Entry Point Tap,L,SW,SD,N/A
SD4600020,ABERDEEN,PFOS,< MRL,4/17/2023,Treatment Plant,Entry Point Tap,L,SW,SD,N/A
SD4600020,ABERDEEN,PFPeA,< MRL,4/17/2023,Treatment Plant,Entry Point Tap,L,SW,SD,N/A
SD4600020,ABERDEEN,PFPeS,< MRL,4/17/2023,Treatment Plant,Entry Point Tap,L,SW,SD,N/A
SD4600020,ABERDEEN,PFTA,< MRL,4/17/2023,Treatment Plant,Entry Point Tap,L,SW,SD,N/A
SD4600020,ABERDEEN,PFTrDA,< MRL,4/17/2023,Treatment Plant,Entry Point Tap,L,SW,SD,N/A
SD4600020,ABERDEEN,PFUnA,< MRL,4/17/2023,Treatment Plant,Entry Point Tap,L,SW,SD,N/A
SD4600020,ABERDEEN,4:2 FTS,< MRL,7/17/2023,Treatment Plant,Entry Point Tap,L,SW,SD,N/A
SD4600020,ABERDEEN,6:2 FTS,< MRL,7/17/2023,Treatment Plant,Entry Point Tap,L,SW,SD,N/A
SD4600020,ABERDEEN,8:2 FTS,< MRL,7/17/2023,Treatment Plant,Entry Point Tap,L,SW,SD,N/A
