PWS ID,PWS Name,Contaminant,Result (µg/L),Collection Date,Facility Name,Sample Point Name,PWS Size,Facility Water Type,State,Result > Health-Based Ref Conc
UTAH02005,CORINNE CITY,4:2 FTS,< MRL,5/16/2023,Blending Point Sample Station,Blending Point Sample Station,S,GW,UT,N/A
UTAH02005,CORINNE CITY,6:2 FTS,< MRL,5/16/2023,Blending Point Sample Station,Blending Point Sample Station,S,GW,UT,N/A
UTAH02005,CORINNE CITY,8:2 FTS,< MRL,5/16/2023,Blending Point Sample Station,Blending Point Sample Station,S,GW,UT,N/A
UTAH02005,CORINNE CITY,9Cl-PF3ONS,< MRL,5/16/2023,Blending Point Sample Station,Blending Point Sample Station,S,GW,UT,N/A
UTAH02005,CORINNE CITY,11Cl-PF3OUdS,< MRL,5/16/2023,Blending Point Sample Station,Blending Point Sample Station,S,GW,UT,N/A
UTAH02005,CORINNE CITY,ADONA,< MRL,5/16/2023,Blending Point Sample Station,Blending Point Sample Station,S,GW,UT,N/A
UTAH02005,CORINNE CITY,HFPO-DA,< MRL,5/16/2023,Blending Point Sample Station,Blending Point Sample Station,S,GW,UT,N/A
UTAH02005,CORINNE CITY,lithium,< MRL,5/16/2023,Blending Point Sample Station,Blending Point Sample Station,S,GW,UT,N
UTAH02005,CORINNE CITY,NEtFOSAA,< MRL,5/16/2023,Blending Point Sample Station,Blending Point Sample Station,S,GW,UT,N/A
UTAH02005,CORINNE CITY,NFDHA,< MRL,5/16/2023,Blending Point Sample Station,Blending Point Sample Station,S,GW,UT,N/A
UTAH02005,CORINNE CITY,NMeFOSAA,< MRL,5/16/2023,Blending Point Sample Station,Blending Point Sample Station,S,GW,UT,N/A
UTAH02005,CORINNE CITY,PFBA,< MRL,5/16/2023,Blending Point Sample Station,Blending Point Sample Station,S,GW,UT,N/A
UTAH02005,CORINNE CITY,PFBS,< MRL,5/16/2023,Blending Point Sample Station,Blending Point Sample Station,S,GW,UT,N/A
UTAH02005,CORINNE CITY,PFDA,< MRL,5/16/2023,Blending Point Sample Station,Blending Point Sample Station,S,GW,UT,N/A
UTAH02005,CORINNE CITY,PFDoA,< MRL,5/16/2023,Blending Point Sample Station,Blending Point Sample Station,S,GW,UT,N/A
UTAH02005,CORINNE CITY,PFEESA,< MRL,5/16/2023,Blending Point Sample Station,Blending Point Sample Station,S,GW,UT,N/A
UTAH02005,CORINNE CITY,PFHpA,< MRL,5/16/2023,Blending Point Sample Station,Blending Point Sample Station,S,GW,UT,N/A
UTAH02005,CORINNE CITY,PFHpS,< MRL,5/16/2023,Blending Point Sample Station,Blending Point Sample Station,S,GW,UT,N/A
UTAH02005,CORINNE CITY,PFHxA,< MRL,5/16/2023,Blending Point Sample Station,Blending Point Sample Station,S,GW,UT,N/A
UTAH02005,CORINNE CITY,PFHxS,< MRL,5/16/2023,Blending Point Sample Station,Blending Point Sample Station,S,GW,UT,N/A
UTAH02005,CORINNE CITY,PFMBA,< MRL,5/16/2023,Blending Point Sample Station,Blending Point Sample Station,S,GW,UT,N/A
UTAH02005,CORINNE CITY,PFMPA,< MRL,5/16/2023,Blending Point Sample Station,Blending Point Sample Station,S,GW,UT,N/A
UTAH02005,CORINNE CITY,PFNA,< MRL,5/16/2023,Blending Point Sample Station,Blending Point Sample Station,S,GW,UT,N/A
UTAH02005,CORINNE CITY,PFOA,< MRL,5/16/2023,Blending Point Sample Station,Blending Point Sample Station,S,GW,UT,N/A
UTAH02005,CORINNE CITY,PFOS,< MRL,5/16/2023,Blending Point Sample Station,Blending Point Sample Station,S,GW,UT,N/A
UTAH02005,CORINNE CITY,PFPeA,< MRL,5/16/2023,Blending Point Sample Station,Blending Point Sample Station,S,GW,UT,N/A
UTAH02005,CORINNE CITY,PFPeS,< MRL,5/16/2023,Blending Point Sample Station,Blending Point Sample Station,S,GW,UT,N/A
UTAH02005,CORINNE CITY,PFTA,< MRL,5/16/2023,Blending Point Sample Station,Blending Point Sample Station,S,GW,UT,N/A
