PWS ID,PWS Name,Contaminant,Result (µg/L),Collection Date,Facility Name,Sample Point Name,PWS Size,Facility Water Type,State,Result > Health-Based Ref Conc
VT0005010,VERGENNES PANTON WATER DISTRICT,4:2 FTS,< MRL,1/22/2024,VERGENNES PANTON WATER DISTRICT,LAB SINK ^ 1311 ADAMS FERRY RD,S,SW,VT,N/A
VT0005010,VERGENNES PANTON WATER DISTRICT,6:2 FTS,< MRL,1/22/2024,VERGENNES PANTON WATER DISTRICT,LAB SINK ^ 1311 ADAMS FERRY RD,S,SW,VT,N/A
VT0005010,VERGENNES PANTON WATER DISTRICT,8:2 FTS,< MRL,1/22/2024,VERGENNES PANTON WATER DISTRICT,LAB SINK ^ 1311 ADAMS FERRY RD,S,SW,VT,N/A
VT0005010,VERGENNES PANTON WATER DISTRICT,9Cl-PF3ONS,< MRL,1/22/2024,VERGENNES PANTON WATER DISTRICT,LAB SINK ^ 1311 ADAMS FERRY RD,S,SW,VT,N/A
VT0005010,VERGENNES PANTON WATER DISTRICT,11Cl-PF3OUdS,< MRL,1/22/2024,VERGENNES PANTON WATER DISTRICT,LAB SINK ^ 1311 ADAMS FERRY RD,S,SW,VT,N/A
VT0005010,VERGENNES PANTON WATER DISTRICT,ADONA,< MRL,1/22/2024,VERGENNES PANTON WATER DISTRICT,LAB SINK ^ 1311 ADAMS FERRY RD,S,SW,VT,N/A
VT0005010,VERGENNES PANTON WATER DISTRICT,HFPO-DA,< MRL,1/22/2024,VERGENNES PANTON WATER DISTRICT,LAB SINK ^ 1311 ADAMS FERRY RD,S,SW,VT,N/A
VT0005010,VERGENNES PANTON WATER DISTRICT,lithium,< MRL,1/22/2024,VERGENNES PANTON WATER DISTRICT,LAB SINK ^ 1311 ADAMS FERRY RD,S,SW,VT,N
VT0005010,VERGENNES PANTON WATER DISTRICT,NEtFOSAA,< MRL,1/22/2024,VERGENNES PANTON WATER DISTRICT,LAB SINK ^ 1311 ADAMS FERRY RD,S,SW,VT,N/A
VT0005010,VERGENNES PANTON WATER DISTRICT,NFDHA,< MRL,1/22/2024,VERGENNES PANTON WATER DISTRICT,LAB SINK ^ 1311 ADAMS FERRY RD,S,SW,VT,N/A
VT0005010,VERGENNES PANTON WATER DISTRICT,NMeFOSAA,< MRL,1/22/2024,VERGENNES PANTON WATER DISTRICT,LAB SINK ^ 1311 ADAMS FERRY RD,S,SW,VT,N/A
VT0005010,VERGENNES PANTON WATER DISTRICT,PFBA,< MRL,1/22/2024,VERGENNES PANTON WATER DISTRICT,LAB SINK ^ 1311 ADAMS FERRY RD,S,SW,VT,N/A
VT0005010,VERGENNES PANTON WATER DISTRICT,PFBS,< MRL,1/22/2024,VERGENNES PANTON WATER DISTRICT,LAB SINK ^ 1311 ADAMS FERRY RD,S,SW,VT,N/A
VT0005010,VERGENNES PANTON WATER DISTRICT,PFDA,< MRL,1/22/2024,VERGENNES PANTON WATER DISTRICT,LAB SINK ^ 1311 ADAMS FERRY RD,S,SW,VT,N/A
VT0005010,VERGENNES PANTON WATER DISTRICT,PFDoA,< MRL,1/22/2024,VERGENNES PANTON WATER DISTRICT,LAB SINK ^ 1311 ADAMS FERRY RD,S,SW,VT,N/A
VT0005010,VERGENNES PANTON WATER DISTRICT,PFEESA,< MRL,1/22/2024,VERGENNES PANTON WATER DISTRICT,LAB SINK ^ 1311 ADAMS FERRY RD,S,SW,VT,N/A
VT0005010,VERGENNES PANTON WATER DISTRICT,PFHpA,< MRL,1/22/2024,VERGENNES PANTON WATER DISTRICT,LAB SINK ^ 1311 ADAMS FERRY RD,S,SW,VT,N/A
VT0005010,VERGENNES PANTON WATER DISTRICT,PFHpS,< MRL,1/22/2024,VERGENNES PANTON WATER DISTRICT,LAB SINK ^ 1311 ADAMS FERRY RD,S,SW,VT,N/A
VT0005010,VERGENNES PANTON WATER DISTRICT,PFHxA,< MRL,1/22/2024,VERGENNES PANTON WATER DISTRICT,LAB SINK ^ 1311 ADAMS FERRY RD,S,SW,VT,N/A
VT0005010,VERGENNES PANTON WATER DISTRICT,PFHxS,< MRL,1/22/2024,VERGENNES PANTON WATER DISTRICT,LAB SINK ^ 1311 ADAMS FERRY RD,S,SW,VT,N/A
VT0005010,VERGENNES PANTON WATER DISTRICT,PFMBA,< MRL,1/22/2024,VERGENNES PANTON WATER DISTRICT,LAB SINK ^ 1311 ADAMS FERRY RD,S,SW,VT,N/A
VT0005010,VERGENNES PANTON WATER DISTRICT,PFMPA,< MRL,1/22/2024,VERGENNES PANTON WATER DISTRICT,LAB SINK ^ 1311 ADAMS FERRY RD,S,SW,VT,N/A
VT0005010,VERGENNES PANTON WATER DISTRICT,PFNA,< MRL,1/22/2024,VERGENNES PANTON WATER DISTRICT,LAB SINK ^ 1311 ADAMS FERRY RD,S,SW,VT,N/A
VT0005010,VERGENNES PANTON WATER DISTRICT,PFOA,< MRL,1/22/2024,VERGENNES PANTON WATER DISTRICT,LAB SINK ^ 1311 ADAMS FERRY RD,S,SW,VT,N/A
VT0005010,VERGENNES PANTON WATER DISTRICT,PFOS,< MRL,1/22/2024,VERGENNES PANTON WATER DISTRICT,LAB SINK ^ 1311 ADAMS FERRY RD,S,SW,VT,N/A
VT0005010,VERGENNES PANTON WATER DISTRICT,PFPeA,< MRL,1/22/2024,VERGENNES PANTON WATER DISTRICT,LAB SINK ^ 1311 ADAMS FERRY RD,S,SW,VT,N/A
