PWS ID,PWS Name,Contaminant,Result (µg/L),Collection Date,Facility Name,Sample Point Name,PWS Size,Facility Water Type,State,Result > Health-Based Ref Conc
VA1027061,BUCHANAN CO PSA,4:2 FTS,< MRL,10/25/2023,Flannagan Intertie,Entry Point to Dist. System,L,MX,VA,N/A
VA1027061,BUCHANAN CO PSA,4:2 FTS,< MRL,10/25/2023,Kennel Gap WTP,Kennel Gap WTP Entry Point,L,MX,VA,N/A
VA1027061,BUCHANAN CO PSA,6:2 FTS,< MRL,10/25/2023,Flannagan Intertie,Entry Point to Dist. System,L,MX,VA,N/A
VA1027061,BUCHANAN CO PSA,6:2 FTS,< MRL,10/25/2023,Kennel Gap WTP,Kennel Gap WTP Entry Point,L,MX,VA,N/A
VA1027061,BUCHANAN CO PSA,8:2 FTS,< MRL,10/25/2023,Flannagan Intertie,Entry Point to Dist. System,L,MX,VA,N/A
VA1027061,BUCHANAN CO PSA,8:2 FTS,< MRL,10/25/2023,Kennel Gap WTP,Kennel Gap WTP Entry Point,L,MX,VA,N/A
VA1027061,BUCHANAN CO PSA,9Cl-PF3ONS,< MRL,10/25/2023,Flannagan Intertie,Entry Point to Dist. System,L,MX,VA,N/A
VA1027061,BUCHANAN CO PSA,9Cl-PF3ONS,< MRL,10/25/2023,Kennel Gap WTP,Kennel Gap WTP Entry Point,L,MX,VA,N/A
VA1027061,BUCHANAN CO PSA,11Cl-PF3OUdS,< MRL,10/25/2023,Flannagan Intertie,Entry Point to Dist. System,L,MX,VA,N/A
VA1027061,BUCHANAN CO PSA,11Cl-PF3OUdS,< MRL,10/25/2023,Kennel Gap WTP,Kennel Gap WTP Entry Point,L,MX,VA,N/A
VA1027061,BUCHANAN CO PSA,ADONA,< MRL,10/25/2023,Flannagan Intertie,Entry Point to Dist. System,L,MX,VA,N/A
VA1027061,BUCHANAN CO PSA,ADONA,< MRL,10/25/2023,Kennel Gap WTP,Kennel Gap WTP Entry Point,L,MX,VA,N/A
VA1027061,BUCHANAN CO PSA,HFPO-DA,< MRL,10/25/2023,Flannagan Intertie,Entry Point to Dist. System,L,MX,VA,N/A
VA1027061,BUCHANAN CO PSA,HFPO-DA,< MRL,10/25/2023,Kennel Gap WTP,Kennel Gap WTP Entry Point,L,MX,VA,N/A
VA1027061,BUCHANAN CO PSA,lithium,10.2,10/25/2023,Flannagan Intertie,Entry Point to Dist. System,L,MX,VA,N
VA1027061,BUCHANAN CO PSA,lithium,46.1,10/25/2023,Kennel Gap WTP,Kennel Gap WTP Entry Point,L,MX,VA,Y
VA1027061,BUCHANAN CO PSA,NEtFOSAA,< MRL,10/25/2023,Flannagan Intertie,Entry Point to Dist. System,L,MX,VA,N/A
VA1027061,BUCHANAN CO PSA,NEtFOSAA,< MRL,10/25/2023,Kennel Gap WTP,Kennel Gap WTP Entry Point,L,MX,VA,N/A
VA1027061,BUCHANAN CO PSA,NFDHA,< MRL,10/25/2023,Flannagan Intertie,Entry Point to Dist. System,L,MX,VA,N/A
VA1027061,BUCHANAN CO PSA,NFDHA,< MRL,10/25/2023,Kennel Gap WTP,Kennel Gap WTP Entry Point,L,MX,VA,N/A
VA1027061,BUCHANAN CO PSA,NMeFOSAA,< MRL,10/25/2023,Flannagan Intertie,Entry Point to Dist. System,L,MX,VA,N/A
VA1027061,BUCHANAN CO PSA,NMeFOSAA,< MRL,10/25/2023,Kennel Gap WTP,Kennel Gap WTP Entry Point,L,MX,VA,N/A
VA1027061,BUCHANAN CO PSA,PFBA,< MRL,10/25/2023,Flannagan Intertie,Entry Point to Dist. System,L,MX,VA,N/A
VA1027061,BUCHANAN CO PSA,PFBA,< MRL,10/25/2023,Kennel Gap WTP,Kennel Gap WTP Entry Point,L,MX,VA,N/A
VA1027061,BUCHANAN CO PSA,PFBS,< MRL,10/25/2023,Flannagan Intertie,Entry Point to Dist. System,L,MX,VA,N/A
VA1027061,BUCHANAN CO PSA,PFBS,< MRL,10/25/2023,Kennel Gap WTP,Kennel Gap WTP Entry Point,L,MX,VA,N/A
VA1027061,BUCHANAN CO PSA,PFDA,< MRL,10/25/2023,Flannagan Intertie,Entry Point to Dist. System,L,MX,VA,N/A
VA1027061,BUCHANAN CO PSA,PFDA,< MRL,10/25/2023,Kennel Gap WTP,Kennel Gap WTP Entry Point,L,MX,VA,N/A
VA1027061,BUCHANAN CO PSA,PFDoA,< MRL,10/25/2023,Flannagan Intertie,Entry Point to Dist. System,L,MX,VA,N/A
VA1027061,BUCHANAN CO PSA,PFDoA,< MRL,10/25/2023,Kennel Gap WTP,Kennel Gap WTP Entry Point,L,MX,VA,N/A
VA1027061,BUCHANAN CO PSA,PFEESA,< MRL,10/25/2023,Flannagan Intertie,Entry Point to Dist. System,L,MX,VA,N/A
VA1027061,BUCHANAN CO PSA,PFEESA,< MRL,10/25/2023,Kennel Gap WTP,Kennel Gap WTP Entry Point,L,MX,VA,N/A
VA1027061,BUCHANAN CO PSA,PFHpA,< MRL,10/25/2023,Flannagan Intertie,Entry Point to Dist. System,L,MX,VA,N/A
VA1027061,BUCHANAN CO PSA,PFHpA,< MRL,10/25/2023,Kennel Gap WTP,Kennel Gap WTP Entry Point,L,MX,VA,N/A
VA1027061,BUCHANAN CO PSA,PFHpS,< MRL,10/25/2023,Flannagan Intertie,Entry Point to Dist. System,L,MX,VA,N/A
VA1027061,BUCHANAN CO PSA,PFHpS,< MRL,10/25/2023,Kennel Gap WTP,Kennel Gap WTP Entry Point,L,MX,VA,N/A
VA1027061,BUCHANAN CO PSA,PFHxA,< MRL,10/25/2023,Flannagan Intertie,Entry Point to Dist. System,L,MX,VA,N/A
VA1027061,BUCHANAN CO PSA,PFHxA,< MRL,10/25/2023,Kennel Gap WTP,Kennel Gap WTP Entry Point,L,MX,VA,N/A
VA1027061,BUCHANAN CO PSA,PFHxS,< MRL,10/25/2023,Flannagan Intertie,Entry Point to Dist. System,L,MX,VA,N/A
VA1027061,BUCHANAN CO PSA,PFHxS,< MRL,10/25/2023,Kennel Gap WTP,Kennel Gap WTP Entry Point,L,MX,VA,N/A
VA1027061,BUCHANAN CO PSA,PFMBA,< MRL,10/25/2023,Flannagan Intertie,Entry Point to Dist. System,L,MX,VA,N/A
VA1027061,BUCHANAN CO PSA,PFMBA,< MRL,10/25/2023,Kennel Gap WTP,Kennel Gap WTP Entry Point,L,MX,VA,N/A
VA1027061,BUCHANAN CO PSA,PFMPA,< MRL,10/25/2023,Flannagan Intertie,Entry Point to Dist. System,L,MX,VA,N/A
VA1027061,BUCHANAN CO PSA,PFMPA,< MRL,10/25/2023,Kennel Gap WTP,Kennel Gap WTP Entry Point,L,MX,VA,N/A
VA1027061,BUCHANAN CO PSA,PFNA,< MRL,10/25/2023,Flannagan Intertie,Entry Point to Dist. System,L,MX,VA,N/A
VA1027061,BUCHANAN CO PSA,PFNA,< MRL,10/25/2023,Kennel Gap WTP,Kennel Gap WTP Entry Point,L,MX,VA,N/A
VA1027061,BUCHANAN CO PSA,PFOA,< MRL,10/25/2023,Flannagan Intertie,Entry Point to Dist. System,L,MX,VA,N/A
VA1027061,BUCHANAN CO PSA,PFOA,< MRL,10/25/2023,Kennel Gap WTP,Kennel Gap WTP Entry Point,L,MX,VA,N/A
VA1027061,BUCHANAN CO PSA,PFOS,< MRL,10/25/2023,Flannagan Intertie,Entry Point to Dist. System,L,MX,VA,N/A
VA1027061,BUCHANAN CO PSA,PFOS,< MRL,10/25/2023,Kennel Gap WTP,Kennel Gap WTP Entry Point,L,MX,VA,N/A
VA1027061,BUCHANAN CO PSA,PFPeA,< MRL,10/25/2023,Flannagan Intertie,Entry Point to Dist. System,L,MX,VA,N/A
VA1027061,BUCHANAN CO PSA,PFPeA,< MRL,10/25/2023,Kennel Gap WTP,Kennel Gap WTP Entry Point,L,MX,VA,N/A
VA1027061,BUCHANAN CO PSA,PFPeS,< MRL,10/25/2023,Flannagan Intertie,Entry Point to Dist. System,L,MX,VA,N/A
VA1027061,BUCHANAN CO PSA,PFPeS,< MRL,10/25/2023,Kennel Gap WTP,Kennel Gap WTP Entry Point,L,MX,VA,N/A
VA1027061,BUCHANAN CO PSA,PFTA,< MRL,10/25/2023,Flannagan Intertie,Entry Point to Dist. System,L,MX,VA,N/A
VA1027061,BUCHANAN CO PSA,PFTA,< MRL,10/25/2023,Kennel Gap WTP,Kennel Gap WTP Entry Point,L,MX,VA,N/A
VA1027061,BUCHANAN CO PSA,PFTrDA,< MRL,10/25/2023,Flannagan Intertie,Entry Point to Dist. System,L,MX,VA,N/A
VA1027061,BUCHANAN CO PSA,PFTrDA,< MRL,10/25/2023,Kennel Gap WTP,Kennel Gap WTP Entry Point,L,MX,VA,N/A
VA1027061,BUCHANAN CO PSA,PFUnA,< MRL,10/25/2023,Flannagan Intertie,Entry Point to Dist. System,L,MX,VA,N/A
VA1027061,BUCHANAN CO PSA,PFUnA,< MRL,10/25/2023,Kennel Gap WTP,Kennel Gap WTP Entry Point,L,MX,VA,N/A
VA1027061,BUCHANAN CO PSA,4:2 FTS,< MRL,1/10/2024,Flannagan Intertie,Entry Point to Dist. System,L,MX,VA,N/A
VA1027061,BUCHANAN CO PSA,4:2 FTS,< MRL,1/10/2024,Kennel Gap WTP,Kennel Gap WTP Entry Point,L,MX,VA,N/A
VA1027061,BUCHANAN CO PSA,6:2 FTS,< MRL,1/10/2024,Flannagan Intertie,Entry Point to Dist. System,L,MX,VA,N/A
VA1027061,BUCHANAN CO PSA,6:2 FTS,< MRL,1/10/2024,Kennel Gap WTP,Kennel Gap WTP Entry Point,L,MX,VA,N/A
VA1027061,BUCHANAN CO PSA,8:2 FTS,< MRL,1/10/2024,Flannagan Intertie,Entry Point to Dist. System,L,MX,VA,N/A
VA1027061,BUCHANAN CO PSA,8:2 FTS,< MRL,1/10/2024,Kennel Gap WTP,Kennel Gap WTP Entry Point,L,MX,VA,N/A
VA1027061,BUCHANAN CO PSA,9Cl-PF3ONS,< MRL,1/10/2024,Flannagan Intertie,Entry Point to Dist. System,L,MX,VA,N/A
VA1027061,BUCHANAN CO PSA,9Cl-PF3ONS,< MRL,1/10/2024,Kennel Gap WTP,Kennel Gap WTP Entry Point,L,MX,VA,N/A
VA1027061,BUCHANAN CO PSA,11Cl-PF3OUdS,< MRL,1/10/2024,Flannagan Intertie,Entry Point to Dist. System,L,MX,VA,N/A
VA1027061,BUCHANAN CO PSA,11Cl-PF3OUdS,< MRL,1/10/2024,Kennel Gap WTP,Kennel Gap WTP Entry Point,L,MX,VA,N/A
VA1027061,BUCHANAN CO PSA,ADONA,< MRL,1/10/2024,Flannagan Intertie,Entry Point to Dist. System,L,MX,VA,N/A
