PWS ID,PWS Name,Contaminant,Result (µg/L),Collection Date,Facility Name,Sample Point Name,PWS Size,Facility Water Type,State,Result > Health-Based Ref Conc
WA5300050,ABERDEEN CITY OF,lithium,< MRL,1/8/2024,Aberdeen Water Department,Filtration Plant,L,SW,WA,N
WA5300050,ABERDEEN CITY OF,4:2 FTS,< MRL,1/17/2024,Aberdeen Water Department,Filtration Plant,L,SW,WA,N/A
WA5300050,ABERDEEN CITY OF,6:2 FTS,< MRL,1/17/2024,Aberdeen Water Department,Filtration Plant,L,SW,WA,N/A
WA5300050,ABERDEEN CITY OF,8:2 FTS,< MRL,1/17/2024,Aberdeen Water Department,Filtration Plant,L,SW,WA,N/A
WA5300050,ABERDEEN CITY OF,9Cl-PF3ONS,< MRL,1/17/2024,Aberdeen Water Department,Filtration Plant,L,SW,WA,N/A
WA5300050,ABERDEEN CITY OF,11Cl-PF3OUdS,< MRL,1/17/2024,Aberdeen Water Department,Filtration Plant,L,SW,WA,N/A
WA5300050,ABERDEEN CITY OF,ADONA,< MRL,1/17/2024,Aberdeen Water Department,Filtration Plant,L,SW,WA,N/A
WA5300050,ABERDEEN CITY OF,HFPO-DA,< MRL,1/17/2024,Aberdeen Water Department,Filtration Plant,L,SW,WA,N/A
WA5300050,ABERDEEN CITY OF,NEtFOSAA,< MRL,1/17/2024,Aberdeen Water Department,Filtration Plant,L,SW,WA,N/A
WA5300050,ABERDEEN CITY OF,NFDHA,< MRL,1/17/2024,Aberdeen Water Department,Filtration Plant,L,SW,WA,N/A
WA5300050,ABERDEEN CITY OF,NMeFOSAA,< MRL,1/17/2024,Aberdeen Water Department,Filtration Plant,L,SW,WA,N/A
WA5300050,ABERDEEN CITY OF,PFBA,< MRL,1/17/2024,Aberdeen Water Department,Filtration Plant,L,SW,WA,N/A
WA5300050,ABERDEEN CITY OF,PFBS,< MRL,1/17/2024,Aberdeen Water Department,Filtration Plant,L,SW,WA,N/A
WA5300050,ABERDEEN CITY OF,PFDA,< MRL,1/17/2024,Aberdeen Water Department,Filtration Plant,L,SW,WA,N/A
WA5300050,ABERDEEN CITY OF,PFDoA,< MRL,1/17/2024,Aberdeen Water Department,Filtration Plant,L,SW,WA,N/A
WA5300050,ABERDEEN CITY OF,PFEESA,< MRL,1/17/2024,Aberdeen Water Department,Filtration Plant,L,SW,WA,N/A
WA5300050,ABERDEEN CITY OF,PFHpA,< MRL,1/17/2024,Aberdeen Water Department,Filtration Plant,L,SW,WA,N/A
WA5300050,ABERDEEN CITY OF,PFHpS,< MRL,1/17/2024,Aberdeen Water Department,Filtration Plant,L,SW,WA,N/A
WA5300050,ABERDEEN CITY OF,PFHxA,< MRL,1/17/2024,Aberdeen Water Department,Filtration Plant,L,SW,WA,N/A
