PWS ID,PWS Name,Contaminant,Result (µg/L),Collection Date,Facility Name,Sample Point Name,PWS Size,Facility Water Type,State,Result > Health-Based Ref Conc
WV3300202,BERKELEY CO P S W D-BUNKER HILL,4:2 FTS,< MRL,3/20/2023,Bunker Hill TP,EP after Treatment,L,GU,WV,N/A
WV3300202,BERKELEY CO P S W D-BUNKER HILL,4:2 FTS,< MRL,3/20/2023,Martinsburg Connection,CC Entry Point - Finished,L,GU,WV,N/A
WV3300202,BERKELEY CO P S W D-BUNKER HILL,6:2 FTS,< MRL,3/20/2023,Bunker Hill TP,EP after Treatment,L,GU,WV,N/A
WV3300202,BERKELEY CO P S W D-BUNKER HILL,6:2 FTS,< MRL,3/20/2023,Martinsburg Connection,CC Entry Point - Finished,L,GU,WV,N/A
WV3300202,BERKELEY CO P S W D-BUNKER HILL,8:2 FTS,< MRL,3/20/2023,Bunker Hill TP,EP after Treatment,L,GU,WV,N/A
WV3300202,BERKELEY CO P S W D-BUNKER HILL,8:2 FTS,< MRL,3/20/2023,Martinsburg Connection,CC Entry Point - Finished,L,GU,WV,N/A
WV3300202,BERKELEY CO P S W D-BUNKER HILL,9Cl-PF3ONS,< MRL,3/20/2023,Bunker Hill TP,EP after Treatment,L,GU,WV,N/A
WV3300202,BERKELEY CO P S W D-BUNKER HILL,9Cl-PF3ONS,< MRL,3/20/2023,Martinsburg Connection,CC Entry Point - Finished,L,GU,WV,N/A
WV3300202,BERKELEY CO P S W D-BUNKER HILL,11Cl-PF3OUdS,< MRL,3/20/2023,Bunker Hill TP,EP after Treatment,L,GU,WV,N/A
WV3300202,BERKELEY CO P S W D-BUNKER HILL,11Cl-PF3OUdS,< MRL,3/20/2023,Martinsburg Connection,CC Entry Point - Finished,L,GU,WV,N/A
WV3300202,BERKELEY CO P S W D-BUNKER HILL,ADONA,< MRL,3/20/2023,Bunker Hill TP,EP after Treatment,L,GU,WV,N/A
WV3300202,BERKELEY CO P S W D-BUNKER HILL,ADONA,< MRL,3/20/2023,Martinsburg Connection,CC Entry Point - Finished,L,GU,WV,N/A
WV3300202,BERKELEY CO P S W D-BUNKER HILL,HFPO-DA,< MRL,3/20/2023,Bunker Hill TP,EP after Treatment,L,GU,WV,N/A
WV3300202,BERKELEY CO P S W D-BUNKER HILL,HFPO-DA,< MRL,3/20/2023,Martinsburg Connection,CC Entry Point - Finished,L,GU,WV,N/A
WV3300202,BERKELEY CO P S W D-BUNKER HILL,lithium,< MRL,3/20/2023,Bunker Hill TP,EP after Treatment,L,GU,WV,N
WV3300202,BERKELEY CO P S W D-BUNKER HILL,lithium,< MRL,3/20/2023,Martinsburg Connection,CC Entry Point - Finished,L,GU,WV,N
WV3300202,BERKELEY CO P S W D-BUNKER HILL,NEtFOSAA,< MRL,3/20/2023,Bunker Hill TP,EP after Treatment,L,GU,WV,N/A
WV3300202,BERKELEY CO P S W D-BUNKER HILL,NEtFOSAA,< MRL,3/20/2023,Martinsburg Connection,CC Entry Point - Finished,L,GU,WV,N/A
WV3300202,BERKELEY CO P S W D-BUNKER HILL,NFDHA,< MRL,3/20/2023,Bunker Hill TP,EP after Treatment,L,GU,WV,N/A
WV3300202,BERKELEY CO P S W D-BUNKER HILL,NFDHA,< MRL,3/20/2023,Martinsburg Connection,CC Entry Point - Finished,L,GU,WV,N/A
WV3300202,BERKELEY CO P S W D-BUNKER HILL,NMeFOSAA,< MRL,3/20/2023,Bunker Hill TP,EP after Treatment,L,GU,WV,N/A
WV3300202,BERKELEY CO P S W D-BUNKER HILL,NMeFOSAA,< MRL,3/20/2023,Martinsburg Connection,CC Entry Point - Finished,L,GU,WV,N/A
WV3300202,BERKELEY CO P S W D-BUNKER HILL,PFBA,< MRL,3/20/2023,Bunker Hill TP,EP after Treatment,L,GU,WV,N/A
WV3300202,BERKELEY CO P S W D-BUNKER HILL,PFBA,0.0050,3/20/2023,Martinsburg Connection,CC Entry Point - Finished,L,GU,WV,N/A
WV3300202,BERKELEY CO P S W D-BUNKER HILL,PFBS,0.0042,3/20/2023,Bunker Hill TP,EP after Treatment,L,GU,WV,N/A
WV3300202,BERKELEY CO P S W D-BUNKER HILL,PFBS,< MRL,3/20/2023,Martinsburg Connection,CC Entry Point - Finished,L,GU,WV,N/A
WV3300202,BERKELEY CO P S W D-BUNKER HILL,PFDA,< MRL,3/20/2023,Bunker Hill TP,EP after Treatment,L,GU,WV,N/A
WV3300202,BERKELEY CO P S W D-BUNKER HILL,PFDA,< MRL,3/20/2023,Martinsburg Connection,CC Entry Point - Finished,L,GU,WV,N/A
WV3300202,BERKELEY CO P S W D-BUNKER HILL,PFDoA,< MRL,3/20/2023,Bunker Hill TP,EP after Treatment,L,GU,WV,N/A
WV3300202,BERKELEY CO P S W D-BUNKER HILL,PFDoA,< MRL,3/20/2023,Martinsburg Connection,CC Entry Point - Finished,L,GU,WV,N/A
WV3300202,BERKELEY CO P S W D-BUNKER HILL,PFEESA,< MRL,3/20/2023,Bunker Hill TP,EP after Treatment,L,GU,WV,N/A
WV3300202,BERKELEY CO P S W D-BUNKER HILL,PFEESA,< MRL,3/20/2023,Martinsburg Connection,CC Entry Point - Finished,L,GU,WV,N/A
WV3300202,BERKELEY CO P S W D-BUNKER HILL,PFHpA,< MRL,3/20/2023,Bunker Hill TP,EP after Treatment,L,GU,WV,N/A
WV3300202,BERKELEY CO P S W D-BUNKER HILL,PFHpA,< MRL,3/20/2023,Martinsburg Connection,CC Entry Point - Finished,L,GU,WV,N/A
WV3300202,BERKELEY CO P S W D-BUNKER HILL,PFHpS,< MRL,3/20/2023,Bunker Hill TP,EP after Treatment,L,GU,WV,N/A
WV3300202,BERKELEY CO P S W D-BUNKER HILL,PFHpS,< MRL,3/20/2023,Martinsburg Connection,CC Entry Point - Finished,L,GU,WV,N/A
WV3300202,BERKELEY CO P S W D-BUNKER HILL,PFHxA,< MRL,3/20/2023,Bunker Hill TP,EP after Treatment,L,GU,WV,N/A
WV3300202,BERKELEY CO P S W D-BUNKER HILL,PFHxA,< MRL,3/20/2023,Martinsburg Connection,CC Entry Point - Finished,L,GU,WV,N/A
WV3300202,BERKELEY CO P S W D-BUNKER HILL,PFHxS,< MRL,3/20/2023,Bunker Hill TP,EP after Treatment,L,GU,WV,N/A
WV3300202,BERKELEY CO P S W D-BUNKER HILL,PFHxS,< MRL,3/20/2023,Martinsburg Connection,CC Entry Point - Finished,L,GU,WV,N/A
WV3300202,BERKELEY CO P S W D-BUNKER HILL,PFMBA,< MRL,3/20/2023,Bunker Hill TP,EP after Treatment,L,GU,WV,N/A
WV3300202,BERKELEY CO P S W D-BUNKER HILL,PFMBA,< MRL,3/20/2023,Martinsburg Connection,CC Entry Point - Finished,L,GU,WV,N/A
WV3300202,BERKELEY CO P S W D-BUNKER HILL,PFMPA,< MRL,3/20/2023,Bunker Hill TP,EP after Treatment,L,GU,WV,N/A
WV3300202,BERKELEY CO P S W D-BUNKER HILL,PFMPA,< MRL,3/20/2023,Martinsburg Connection,CC Entry Point - Finished,L,GU,WV,N/A
WV3300202,BERKELEY CO P S W D-BUNKER HILL,PFNA,< MRL,3/20/2023,Bunker Hill TP,EP after Treatment,L,GU,WV,N/A
WV3300202,BERKELEY CO P S W D-BUNKER HILL,PFNA,< MRL,3/20/2023,Martinsburg Connection,CC Entry Point - Finished,L,GU,WV,N/A
WV3300202,BERKELEY CO P S W D-BUNKER HILL,PFOA,< MRL,3/20/2023,Bunker Hill TP,EP after Treatment,L,GU,WV,N/A
WV3300202,BERKELEY CO P S W D-BUNKER HILL,PFOA,< MRL,3/20/2023,Martinsburg Connection,CC Entry Point - Finished,L,GU,WV,N/A
WV3300202,BERKELEY CO P S W D-BUNKER HILL,PFOS,< MRL,3/20/2023,Bunker Hill TP,EP after Treatment,L,GU,WV,N/A
WV3300202,BERKELEY CO P S W D-BUNKER HILL,PFOS,< MRL,3/20/2023,Martinsburg Connection,CC Entry Point - Finished,L,GU,WV,N/A
WV3300202,BERKELEY CO P S W D-BUNKER HILL,PFPeA,< MRL,3/20/2023,Bunker Hill TP,EP after Treatment,L,GU,WV,N/A
WV3300202,BERKELEY CO P S W D-BUNKER HILL,PFPeA,0.0043,3/20/2023,Martinsburg Connection,CC Entry Point - Finished,L,GU,WV,N/A
WV3300202,BERKELEY CO P S W D-BUNKER HILL,PFPeS,< MRL,3/20/2023,Bunker Hill TP,EP after Treatment,L,GU,WV,N/A
WV3300202,BERKELEY CO P S W D-BUNKER HILL,PFPeS,< MRL,3/20/2023,Martinsburg Connection,CC Entry Point - Finished,L,GU,WV,N/A
WV3300202,BERKELEY CO P S W D-BUNKER HILL,PFTA,< MRL,3/20/2023,Bunker Hill TP,EP after Treatment,L,GU,WV,N/A
WV3300202,BERKELEY CO P S W D-BUNKER HILL,PFTA,< MRL,3/20/2023,Martinsburg Connection,CC Entry Point - Finished,L,GU,WV,N/A
WV3300202,BERKELEY CO P S W D-BUNKER HILL,PFTrDA,< MRL,3/20/2023,Bunker Hill TP,EP after Treatment,L,GU,WV,N/A
WV3300202,BERKELEY CO P S W D-BUNKER HILL,PFTrDA,< MRL,3/20/2023,Martinsburg Connection,CC Entry Point - Finished,L,GU,WV,N/A
WV3300202,BERKELEY CO P S W D-BUNKER HILL,PFUnA,< MRL,3/20/2023,Bunker Hill TP,EP after Treatment,L,GU,WV,N/A
WV3300202,BERKELEY CO P S W D-BUNKER HILL,PFUnA,< MRL,3/20/2023,Martinsburg Connection,CC Entry Point - Finished,L,GU,WV,N/A
WV3300202,BERKELEY CO P S W D-BUNKER HILL,4:2 FTS,< MRL,6/12/2023,Bunker Hill TP,EP after Treatment,L,GU,WV,N/A
WV3300202,BERKELEY CO P S W D-BUNKER HILL,4:2 FTS,< MRL,6/12/2023,Martinsburg Connection,CC Entry Point - Finished,L,GU,WV,N/A
WV3300202,BERKELEY CO P S W D-BUNKER HILL,6:2 FTS,< MRL,6/12/2023,Bunker Hill TP,EP after Treatment,L,GU,WV,N/A
WV3300202,BERKELEY CO P S W D-BUNKER HILL,6:2 FTS,< MRL,6/12/2023,Martinsburg Connection,CC Entry Point - Finished,L,GU,WV,N/A
WV3300202,BERKELEY CO P S W D-BUNKER HILL,8:2 FTS,< MRL,6/12/2023,Bunker Hill TP,EP after Treatment,L,GU,WV,N/A
WV3300202,BERKELEY CO P S W D-BUNKER HILL,8:2 FTS,< MRL,6/12/2023,Martinsburg Connection,CC Entry Point - Finished,L,GU,WV,N/A
WV3300202,BERKELEY CO P S W D-BUNKER HILL,9Cl-PF3ONS,< MRL,6/12/2023,Bunker Hill TP,EP after Treatment,L,GU,WV,N/A
WV3300202,BERKELEY CO P S W D-BUNKER HILL,9Cl-PF3ONS,< MRL,6/12/2023,Martinsburg Connection,CC Entry Point - Finished,L,GU,WV,N/A
WV3300202,BERKELEY CO P S W D-BUNKER HILL,11Cl-PF3OUdS,< MRL,6/12/2023,Bunker Hill TP,EP after Treatment,L,GU,WV,N/A
WV3300202,BERKELEY CO P S W D-BUNKER HILL,11Cl-PF3OUdS,< MRL,6/12/2023,Martinsburg Connection,CC Entry Point - Finished,L,GU,WV,N/A
WV3300202,BERKELEY CO P S W D-BUNKER HILL,ADONA,< MRL,6/12/2023,Bunker Hill TP,EP after Treatment,L,GU,WV,N/A
WV3300202,BERKELEY CO P S W D-BUNKER HILL,ADONA,< MRL,6/12/2023,Martinsburg Connection,CC Entry Point - Finished,L,GU,WV,N/A
WV3300202,BERKELEY CO P S W D-BUNKER HILL,HFPO-DA,< MRL,6/12/2023,Bunker Hill TP,EP after Treatment,L,GU,WV,N/A
WV3300202,BERKELEY CO P S W D-BUNKER HILL,HFPO-DA,< MRL,6/12/2023,Martinsburg Connection,CC Entry Point - Finished,L,GU,WV,N/A
WV3300202,BERKELEY CO P S W D-BUNKER HILL,lithium,< MRL,6/12/2023,Bunker Hill TP,EP after Treatment,L,GU,WV,N
WV3300202,BERKELEY CO P S W D-BUNKER HILL,lithium,< MRL,6/12/2023,Martinsburg Connection,CC Entry Point - Finished,L,GU,WV,N
WV3300202,BERKELEY CO P S W D-BUNKER HILL,NEtFOSAA,< MRL,6/12/2023,Bunker Hill TP,EP after Treatment,L,GU,WV,N/A
WV3300202,BERKELEY CO P S W D-BUNKER HILL,NEtFOSAA,< MRL,6/12/2023,Martinsburg Connection,CC Entry Point - Finished,L,GU,WV,N/A
WV3300202,BERKELEY CO P S W D-BUNKER HILL,NFDHA,< MRL,6/12/2023,Bunker Hill TP,EP after Treatment,L,GU,WV,N/A
WV3300202,BERKELEY CO P S W D-BUNKER HILL,NFDHA,< MRL,6/12/2023,Martinsburg Connection,CC Entry Point - Finished,L,GU,WV,N/A
WV3300202,BERKELEY CO P S W D-BUNKER HILL,NMeFOSAA,< MRL,6/12/2023,Bunker Hill TP,EP after Treatment,L,GU,WV,N/A
WV3300202,BERKELEY CO P S W D-BUNKER HILL,NMeFOSAA,< MRL,6/12/2023,Martinsburg Connection,CC Entry Point - Finished,L,GU,WV,N/A
WV3300202,BERKELEY CO P S W D-BUNKER HILL,PFBA,< MRL,6/12/2023,Bunker Hill TP,EP after Treatment,L,GU,WV,N/A
WV3300202,BERKELEY CO P S W D-BUNKER HILL,PFBA,0.0059,6/12/2023,Martinsburg Connection,CC Entry Point - Finished,L,GU,WV,N/A
WV3300202,BERKELEY CO P S W D-BUNKER HILL,PFBS,0.0044,6/12/2023,Bunker Hill TP,EP after Treatment,L,GU,WV,N/A
WV3300202,BERKELEY CO P S W D-BUNKER HILL,PFBS,< MRL,6/12/2023,Martinsburg Connection,CC Entry Point - Finished,L,GU,WV,N/A
WV3300202,BERKELEY CO P S W D-BUNKER HILL,PFDA,< MRL,6/12/2023,Bunker Hill TP,EP after Treatment,L,GU,WV,N/A
WV3300202,BERKELEY CO P S W D-BUNKER HILL,PFDA,< MRL,6/12/2023,Martinsburg Connection,CC Entry Point - Finished,L,GU,WV,N/A
WV3300202,BERKELEY CO P S W D-BUNKER HILL,PFDoA,< MRL,6/12/2023,Bunker Hill TP,EP after Treatment,L,GU,WV,N/A
WV3300202,BERKELEY CO P S W D-BUNKER HILL,PFDoA,< MRL,6/12/2023,Martinsburg Connection,CC Entry Point - Finished,L,GU,WV,N/A
WV3300202,BERKELEY CO P S W D-BUNKER HILL,PFEESA,< MRL,6/12/2023,Bunker Hill TP,EP after Treatment,L,GU,WV,N/A
WV3300202,BERKELEY CO P S W D-BUNKER HILL,PFEESA,< MRL,6/12/2023,Martinsburg Connection,CC Entry Point - Finished,L,GU,WV,N/A
WV3300202,BERKELEY CO P S W D-BUNKER HILL,PFHpA,< MRL,6/12/2023,Bunker Hill TP,EP after Treatment,L,GU,WV,N/A
WV3300202,BERKELEY CO P S W D-BUNKER HILL,PFHpA,< MRL,6/12/2023,Martinsburg Connection,CC Entry Point - Finished,L,GU,WV,N/A
WV3300202,BERKELEY CO P S W D-BUNKER HILL,PFHpS,< MRL,6/12/2023,Bunker Hill TP,EP after Treatment,L,GU,WV,N/A
WV3300202,BERKELEY CO P S W D-BUNKER HILL,PFHpS,< MRL,6/12/2023,Martinsburg Connection,CC Entry Point - Finished,L,GU,WV,N/A
WV3300202,BERKELEY CO P S W D-BUNKER HILL,PFHxA,< MRL,6/12/2023,Bunker Hill TP,EP after Treatment,L,GU,WV,N/A
WV3300202,BERKELEY CO P S W D-BUNKER HILL,PFHxA,< MRL,6/12/2023,Martinsburg Connection,CC Entry Point - Finished,L,GU,WV,N/A
WV3300202,BERKELEY CO P S W D-BUNKER HILL,PFHxS,< MRL,6/12/2023,Bunker Hill TP,EP after Treatment,L,GU,WV,N/A
WV3300202,BERKELEY CO P S W D-BUNKER HILL,PFHxS,< MRL,6/12/2023,Martinsburg Connection,CC Entry Point - Finished,L,GU,WV,N/A
WV3300202,BERKELEY CO P S W D-BUNKER HILL,PFMBA,< MRL,6/12/2023,Bunker Hill TP,EP after Treatment,L,GU,WV,N/A
WV3300202,BERKELEY CO P S W D-BUNKER HILL,PFMBA,< MRL,6/12/2023,Martinsburg Connection,CC Entry Point - Finished,L,GU,WV,N/A
WV3300202,BERKELEY CO P S W D-BUNKER HILL,PFMPA,< MRL,6/12/2023,Bunker Hill TP,EP after Treatment,L,GU,WV,N/A
WV3300202,BERKELEY CO P S W D-BUNKER HILL,PFMPA,< MRL,6/12/2023,Martinsburg Connection,CC Entry Point - Finished,L,GU,WV,N/A
WV3300202,BERKELEY CO P S W D-BUNKER HILL,PFNA,< MRL,6/12/2023,Bunker Hill TP,EP after Treatment,L,GU,WV,N/A
WV3300202,BERKELEY CO P S W D-BUNKER HILL,PFNA,< MRL,6/12/2023,Martinsburg Connection,CC Entry Point - Finished,L,GU,WV,N/A
WV3300202,BERKELEY CO P S W D-BUNKER HILL,PFOA,< MRL,6/12/2023,Bunker Hill TP,EP after Treatment,L,GU,WV,N/A
WV3300202,BERKELEY CO P S W D-BUNKER HILL,PFOA,< MRL,6/12/2023,Martinsburg Connection,CC Entry Point - Finished,L,GU,WV,N/A
WV3300202,BERKELEY CO P S W D-BUNKER HILL,PFOS,< MRL,6/12/2023,Bunker Hill TP,EP after Treatment,L,GU,WV,N/A
WV3300202,BERKELEY CO P S W D-BUNKER HILL,PFOS,< MRL,6/12/2023,Martinsburg Connection,CC Entry Point - Finished,L,GU,WV,N/A
WV3300202,BERKELEY CO P S W D-BUNKER HILL,PFPeA,< MRL,6/12/2023,Bunker Hill TP,EP after Treatment,L,GU,WV,N/A
WV3300202,BERKELEY CO P S W D-BUNKER HILL,PFPeA,0.0085,6/12/2023,Martinsburg Connection,CC Entry Point - Finished,L,GU,WV,N/A
WV3300202,BERKELEY CO P S W D-BUNKER HILL,PFPeS,< MRL,6/12/2023,Bunker Hill TP,EP after Treatment,L,GU,WV,N/A
WV3300202,BERKELEY CO P S W D-BUNKER HILL,PFPeS,< MRL,6/12/2023,Martinsburg Connection,CC Entry Point - Finished,L,GU,WV,N/A
WV3300202,BERKELEY CO P S W D-BUNKER HILL,PFTA,< MRL,6/12/2023,Bunker Hill TP,EP after Treatment,L,GU,WV,N/A
WV3300202,BERKELEY CO P S W D-BUNKER HILL,PFTA,< MRL,6/12/2023,Martinsburg Connection,CC Entry Point - Finished,L,GU,WV,N/A
WV3300202,BERKELEY CO P S W D-BUNKER HILL,PFTrDA,< MRL,6/12/2023,Bunker Hill TP,EP after Treatment,L,GU,WV,N/A
WV3300202,BERKELEY CO P S W D-BUNKER HILL,PFTrDA,< MRL,6/12/2023,Martinsburg Connection,CC Entry Point - Finished,L,GU,WV,N/A
WV3300202,BERKELEY CO P S W D-BUNKER HILL,PFUnA,< MRL,6/12/2023,Bunker Hill TP,EP after Treatment,L,GU,WV,N/A
WV3300202,BERKELEY CO P S W D-BUNKER HILL,PFUnA,< MRL,6/12/2023,Martinsburg Connection,CC Entry Point - Finished,L,GU,WV,N/A
WV3300202,BERKELEY CO P S W D-BUNKER HILL,4:2 FTS,< MRL,9/12/2023,Bunker Hill TP,EP after Treatment,L,GU,WV,N/A
WV3300202,BERKELEY CO P S W D-BUNKER HILL,4:2 FTS,< MRL,9/12/2023,Martinsburg Connection,CC Entry Point - Finished,L,GU,WV,N/A
WV3300202,BERKELEY CO P S W D-BUNKER HILL,6:2 FTS,< MRL,9/12/2023,Bunker Hill TP,EP after Treatment,L,GU,WV,N/A
WV3300202,BERKELEY CO P S W D-BUNKER HILL,6:2 FTS,< MRL,9/12/2023,Martinsburg Connection,CC Entry Point - Finished,L,GU,WV,N/A
WV3300202,BERKELEY CO P S W D-BUNKER HILL,8:2 FTS,< MRL,9/12/2023,Bunker Hill TP,EP after Treatment,L,GU,WV,N/A
WV3300202,BERKELEY CO P S W D-BUNKER HILL,8:2 FTS,< MRL,9/12/2023,Martinsburg Connection,CC Entry Point - Finished,L,GU,WV,N/A
WV3300202,BERKELEY CO P S W D-BUNKER HILL,9Cl-PF3ONS,< MRL,9/12/2023,Bunker Hill TP,EP after Treatment,L,GU,WV,N/A
WV3300202,BERKELEY CO P S W D-BUNKER HILL,9Cl-PF3ONS,< MRL,9/12/2023,Martinsburg Connection,CC Entry Point - Finished,L,GU,WV,N/A
WV3300202,BERKELEY CO P S W D-BUNKER HILL,11Cl-PF3OUdS,< MRL,9/12/2023,Bunker Hill TP,EP after Treatment,L,GU,WV,N/A
WV3300202,BERKELEY CO P S W D-BUNKER HILL,11Cl-PF3OUdS,< MRL,9/12/2023,Martinsburg Connection,CC Entry Point - Finished,L,GU,WV,N/A
WV3300202,BERKELEY CO P S W D-BUNKER HILL,ADONA,< MRL,9/12/2023,Bunker Hill TP,EP after Treatment,L,GU,WV,N/A
WV3300202,BERKELEY CO P S W D-BUNKER HILL,ADONA,< MRL,9/12/2023,Martinsburg Connection,CC Entry Point - Finished,L,GU,WV,N/A
WV3300202,BERKELEY CO P S W D-BUNKER HILL,HFPO-DA,< MRL,9/12/2023,Bunker Hill TP,EP after Treatment,L,GU,WV,N/A
WV3300202,BERKELEY CO P S W D-BUNKER HILL,HFPO-DA,< MRL,9/12/2023,Martinsburg Connection,CC Entry Point - Finished,L,GU,WV,N/A
WV3300202,BERKELEY CO P S W D-BUNKER HILL,lithium,< MRL,9/12/2023,Bunker Hill TP,EP after Treatment,L,GU,WV,N
WV3300202,BERKELEY CO P S W D-BUNKER HILL,lithium,< MRL,9/12/2023,Martinsburg Connection,CC Entry Point - Finished,L,GU,WV,N
WV3300202,BERKELEY CO P S W D-BUNKER HILL,NEtFOSAA,< MRL,9/12/2023,Bunker Hill TP,EP after Treatment,L,GU,WV,N/A
WV3300202,BERKELEY CO P S W D-BUNKER HILL,NEtFOSAA,< MRL,9/12/2023,Martinsburg Connection,CC Entry Point - Finished,L,GU,WV,N/A
WV3300202,BERKELEY CO P S W D-BUNKER HILL,NFDHA,< MRL,9/12/2023,Bunker Hill TP,EP after Treatment,L,GU,WV,N/A
WV3300202,BERKELEY CO P S W D-BUNKER HILL,NFDHA,< MRL,9/12/2023,Martinsburg Connection,CC Entry Point - Finished,L,GU,WV,N/A
WV3300202,BERKELEY CO P S W D-BUNKER HILL,NMeFOSAA,< MRL,9/12/2023,Bunker Hill TP,EP after Treatment,L,GU,WV,N/A
WV3300202,BERKELEY CO P S W D-BUNKER HILL,NMeFOSAA,< MRL,9/12/2023,Martinsburg Connection,CC Entry Point - Finished,L,GU,WV,N/A
WV3300202,BERKELEY CO P S W D-BUNKER HILL,PFBA,< MRL,9/12/2023,Bunker Hill TP,EP after Treatment,L,GU,WV,N/A
WV3300202,BERKELEY CO P S W D-BUNKER HILL,PFBA,0.0086,9/12/2023,Martinsburg Connection,CC Entry Point - Finished,L,GU,WV,N/A
WV3300202,BERKELEY CO P S W D-BUNKER HILL,PFBS,0.004,9/12/2023,Bunker Hill TP,EP after Treatment,L,GU,WV,N/A
WV3300202,BERKELEY CO P S W D-BUNKER HILL,PFBS,< MRL,9/12/2023,Martinsburg Connection,CC Entry Point - Finished,L,GU,WV,N/A
WV3300202,BERKELEY CO P S W D-BUNKER HILL,PFDA,< MRL,9/12/2023,Bunker Hill TP,EP after Treatment,L,GU,WV,N/A
WV3300202,BERKELEY CO P S W D-BUNKER HILL,PFDA,< MRL,9/12/2023,Martinsburg Connection,CC Entry Point - Finished,L,GU,WV,N/A
WV3300202,BERKELEY CO P S W D-BUNKER HILL,PFDoA,< MRL,9/12/2023,Bunker Hill TP,EP after Treatment,L,GU,WV,N/A
WV3300202,BERKELEY CO P S W D-BUNKER HILL,PFDoA,< MRL,9/12/2023,Martinsburg Connection,CC Entry Point - Finished,L,GU,WV,N/A
WV3300202,BERKELEY CO P S W D-BUNKER HILL,PFEESA,< MRL,9/12/2023,Bunker Hill TP,EP after Treatment,L,GU,WV,N/A
WV3300202,BERKELEY CO P S W D-BUNKER HILL,PFEESA,< MRL,9/12/2023,Martinsburg Connection,CC Entry Point - Finished,L,GU,WV,N/A
WV3300202,BERKELEY CO P S W D-BUNKER HILL,PFHpA,< MRL,9/12/2023,Bunker Hill TP,EP after Treatment,L,GU,WV,N/A
