PWS ID,PWS Name,Contaminant,Result (µg/L),Collection Date,Facility Name,Sample Point Name,PWS Size,Facility Water Type,State,Result > Health-Based Ref Conc
WI1110038,COLUMBUS WATER & LIGHT DEPARTMENT,4:2 FTS,< MRL,1/23/2024,Entry Point Facility,Entry Point,S,GW,WI,N/A
WI1110038,COLUMBUS WATER & LIGHT DEPARTMENT,4:2 FTS,< MRL,1/23/2024,Entry Point Facility,Entry Point,S,GW,WI,N/A
WI1110038,COLUMBUS WATER & LIGHT DEPARTMENT,6:2 FTS,< MRL,1/23/2024,Entry Point Facility,Entry Point,S,GW,WI,N/A
WI1110038,COLUMBUS WATER & LIGHT DEPARTMENT,6:2 FTS,< MRL,1/23/2024,Entry Point Facility,Entry Point,S,GW,WI,N/A
WI1110038,COLUMBUS WATER & LIGHT DEPARTMENT,8:2 FTS,< MRL,1/23/2024,Entry Point Facility,Entry Point,S,GW,WI,N/A
WI1110038,COLUMBUS WATER & LIGHT DEPARTMENT,8:2 FTS,< MRL,1/23/2024,Entry Point Facility,Entry Point,S,GW,WI,N/A
WI1110038,COLUMBUS WATER & LIGHT DEPARTMENT,9Cl-PF3ONS,< MRL,1/23/2024,Entry Point Facility,Entry Point,S,GW,WI,N/A
WI1110038,COLUMBUS WATER & LIGHT DEPARTMENT,9Cl-PF3ONS,< MRL,1/23/2024,Entry Point Facility,Entry Point,S,GW,WI,N/A
WI1110038,COLUMBUS WATER & LIGHT DEPARTMENT,11Cl-PF3OUdS,< MRL,1/23/2024,Entry Point Facility,Entry Point,S,GW,WI,N/A
WI1110038,COLUMBUS WATER & LIGHT DEPARTMENT,11Cl-PF3OUdS,< MRL,1/23/2024,Entry Point Facility,Entry Point,S,GW,WI,N/A
WI1110038,COLUMBUS WATER & LIGHT DEPARTMENT,ADONA,< MRL,1/23/2024,Entry Point Facility,Entry Point,S,GW,WI,N/A
WI1110038,COLUMBUS WATER & LIGHT DEPARTMENT,ADONA,< MRL,1/23/2024,Entry Point Facility,Entry Point,S,GW,WI,N/A
WI1110038,COLUMBUS WATER & LIGHT DEPARTMENT,HFPO-DA,< MRL,1/23/2024,Entry Point Facility,Entry Point,S,GW,WI,N/A
WI1110038,COLUMBUS WATER & LIGHT DEPARTMENT,HFPO-DA,< MRL,1/23/2024,Entry Point Facility,Entry Point,S,GW,WI,N/A
WI1110038,COLUMBUS WATER & LIGHT DEPARTMENT,lithium,< MRL,1/23/2024,Entry Point Facility,Entry Point,S,GW,WI,N
WI1110038,COLUMBUS WATER & LIGHT DEPARTMENT,lithium,< MRL,1/23/2024,Entry Point Facility,Entry Point,S,GW,WI,N
WI1110038,COLUMBUS WATER & LIGHT DEPARTMENT,NEtFOSAA,< MRL,1/23/2024,Entry Point Facility,Entry Point,S,GW,WI,N/A
WI1110038,COLUMBUS WATER & LIGHT DEPARTMENT,NEtFOSAA,< MRL,1/23/2024,Entry Point Facility,Entry Point,S,GW,WI,N/A
WI1110038,COLUMBUS WATER & LIGHT DEPARTMENT,NFDHA,< MRL,1/23/2024,Entry Point Facility,Entry Point,S,GW,WI,N/A
WI1110038,COLUMBUS WATER & LIGHT DEPARTMENT,NFDHA,< MRL,1/23/2024,Entry Point Facility,Entry Point,S,GW,WI,N/A
WI1110038,COLUMBUS WATER & LIGHT DEPARTMENT,NMeFOSAA,< MRL,1/23/2024,Entry Point Facility,Entry Point,S,GW,WI,N/A
WI1110038,COLUMBUS WATER & LIGHT DEPARTMENT,NMeFOSAA,< MRL,1/23/2024,Entry Point Facility,Entry Point,S,GW,WI,N/A
WI1110038,COLUMBUS WATER & LIGHT DEPARTMENT,PFBA,< MRL,1/23/2024,Entry Point Facility,Entry Point,S,GW,WI,N/A
WI1110038,COLUMBUS WATER & LIGHT DEPARTMENT,PFBA,< MRL,1/23/2024,Entry Point Facility,Entry Point,S,GW,WI,N/A
WI1110038,COLUMBUS WATER & LIGHT DEPARTMENT,PFBS,< MRL,1/23/2024,Entry Point Facility,Entry Point,S,GW,WI,N/A
WI1110038,COLUMBUS WATER & LIGHT DEPARTMENT,PFBS,< MRL,1/23/2024,Entry Point Facility,Entry Point,S,GW,WI,N/A
WI1110038,COLUMBUS WATER & LIGHT DEPARTMENT,PFDA,< MRL,1/23/2024,Entry Point Facility,Entry Point,S,GW,WI,N/A
