PWS ID,PWS Name,Contaminant,Result (µg/L),Collection Date,Facility Name,Sample Point Name,PWS Size,Facility Water Type,State,Result > Health-Based Ref Conc
WY5600011,CHEYENNE BOARD OF PUBLIC UTILITIES,4:2 FTS,< MRL,10/25/2023,Sherard,Entry Point to Dist. System,L,MX,WY,N/A
WY5600011,CHEYENNE BOARD OF PUBLIC UTILITIES,4:2 FTS,< MRL,10/25/2023,Round Top,Entry Point to Dist. System,L,MX,WY,N/A
WY5600011,CHEYENNE BOARD OF PUBLIC UTILITIES,6:2 FTS,< MRL,10/25/2023,Sherard,Entry Point to Dist. System,L,MX,WY,N/A
WY5600011,CHEYENNE BOARD OF PUBLIC UTILITIES,6:2 FTS,< MRL,10/25/2023,Round Top,Entry Point to Dist. System,L,MX,WY,N/A
WY5600011,CHEYENNE BOARD OF PUBLIC UTILITIES,8:2 FTS,< MRL,10/25/2023,Sherard,Entry Point to Dist. System,L,MX,WY,N/A
WY5600011,CHEYENNE BOARD OF PUBLIC UTILITIES,8:2 FTS,< MRL,10/25/2023,Round Top,Entry Point to Dist. System,L,MX,WY,N/A
WY5600011,CHEYENNE BOARD OF PUBLIC UTILITIES,9Cl-PF3ONS,< MRL,10/25/2023,Sherard,Entry Point to Dist. System,L,MX,WY,N/A
WY5600011,CHEYENNE BOARD OF PUBLIC UTILITIES,9Cl-PF3ONS,< MRL,10/25/2023,Round Top,Entry Point to Dist. System,L,MX,WY,N/A
WY5600011,CHEYENNE BOARD OF PUBLIC UTILITIES,11Cl-PF3OUdS,< MRL,10/25/2023,Sherard,Entry Point to Dist. System,L,MX,WY,N/A
WY5600011,CHEYENNE BOARD OF PUBLIC UTILITIES,11Cl-PF3OUdS,< MRL,10/25/2023,Round Top,Entry Point to Dist. System,L,MX,WY,N/A
WY5600011,CHEYENNE BOARD OF PUBLIC UTILITIES,ADONA,< MRL,10/25/2023,Sherard,Entry Point to Dist. System,L,MX,WY,N/A
WY5600011,CHEYENNE BOARD OF PUBLIC UTILITIES,ADONA,< MRL,10/25/2023,Round Top,Entry Point to Dist. System,L,MX,WY,N/A
